file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P01BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Feb_06_1629
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1466.688000         Stim
      2     0    28        0  1466.688000         Stim
      3     1    18        1   427.761787         Stim
      4     4    26        1   384.742439         Stim
      5     1    17        1   247.565296         Stim
      6     4    16        0   230.564021         Stim
      7     1    27        0   417.110785         Stim
      8     1    16        1   392.189024         Stim
      9     1    15        1   433.520439         Stim
     10     1    15        1   402.712042         Stim
     11     1    27        0   276.982174         Stim
     12     1    16        1   265.929715         Stim
     13     1    27        0   432.181442         Stim
     14     0    18        0  1466.688000         Stim
     15     0    18        0  1466.688000         Stim
     16     4    28        1   547.942485         Stim
     17     4    26        1   551.436675         Stim
     18     4    25        1   491.234340         Stim
     19     1    27        0   370.494016         Stim
     20     4    26        1   275.239305         Stim
     21     4    27        1   377.496885         Stim
     22     4    18        0   366.787325         Stim
     23     4    28        1   754.218021         Stim
     24     4    26        1   577.800061         Stim
     25     4    27        1   595.041003         Stim
     26     4    18        0   304.410479         Stim
     27     4    26        1   464.028195         Stim
     28     4    27        1   479.040293         Stim
     29     1    16        1   439.841735         Stim
     30     1    15        1   468.654918         Stim
     31     1    27        0   464.119353         Stim
     32     1    28        0   453.219026         Stim
     33     1    16        1   540.478996         Stim
     34     4    17        0   409.017642         Stim
     35     4    26        1   736.654102         Stim
     36     4    27        1   602.117523         Stim
     37     4    26        1   420.427489         Stim
     38     1    17        1   300.561920         Stim
     39     1    16        1   270.921070         Stim
     40     1    17        1   332.319326         Stim
     41     1    18        1   517.658096         Stim
     42     4    28        1   511.263148         Stim
     43     4    28        1   410.106709         Stim
     44     4    18        0   284.817539         Stim
     45     4    26        1   479.389229         Stim
     46     1    15        1   409.713100         Stim
     47     4    27        1   394.543437         Stim
     48     1    16        1   446.016334         Stim
     49     4    27        1   523.620193         Stim
     50     1    18        1   421.085517         Stim
     51     1    18        1   577.513909         Stim
     52     1    18        1   655.050155         Stim
     53     1    18        1   545.257850         Stim
     54     1    16        1   392.228868         Stim
     55     1    27        0   315.887336         Stim
     56     1    28        0   725.163964         Stim
     57     4    26        1   654.281047         Stim
     58     4    17        0   306.760666         Stim
     59     1    16        1   404.968052         Stim
     60     1    25        0   275.722261         Stim
     61     4    15        0   270.891489         Stim
     62     1    25        0   313.931966         Stim
     63     4    27        1   330.908489         Stim
     64     1    28        0   282.316428         Stim
     65     4    26        1   265.751625         Stim
     66     4    15        0   218.278816         Stim
     67     1    25        0   247.104072         Stim
     68     0    17        0  1466.688000         Stim
     69     1    16        1   456.163249         Stim
     70     4    27        1   595.563200         Stim
     71     1    16        1   333.033498         Stim
     72     4    25        1   324.317945         Stim
     73     4    25        1   466.605371         Stim
     74     4    17        0   366.292899         Stim
     75     1    18        1   379.497532         Stim
     76     1    26        0   342.480126         Stim
     77     1    27        0   408.071048         Stim
     78     1    28        0   460.854567         Stim
     79     4    26        1   456.582214         Stim
     80     4    17        0   396.615320         Stim
     81     4    28        1   512.920897         Stim
     82     4    28        1   554.611510         Stim
     83     4    16        0   262.162051         Stim
     84     1    15        1   270.185166         Stim
     85     1    17        1   501.328130         Stim
     86     1    26        0   392.778835         Stim
     87     1    15        1   411.664848         Stim
     88     4    15        0   283.155565         Stim
     89     4    25        1   575.991389         Stim
     90     4    25        1   511.647703         Stim
     91     4    27        1   239.844633         Stim
     92     4    16        0   265.146118         Stim
     93     4    25        1   294.751954         Stim
     94     1    25        0   392.779439         Stim
     95     4    25        1   286.125144         Stim
     96     4    15        0   255.194197         Stim
     97     4    17        0   286.690203         Stim
     98     4    26        1   444.956848         Stim
     99     1    15        1   389.149417         Stim
    100     4    25        1   361.541211         Stim
    101     1    27        0   288.795289         Stim
    102     4    26        1   462.456172         Stim
    103     1    25        0   483.676071         Stim
    104     1    17        1   749.916086         Stim
    105     4    16        0   445.179008         Stim
    106     4    25        1   487.810179         Stim
    107     4    25        1   433.133470         Stim
    108     4    15        0   294.027519         Stim
    109     4    27        1   472.656212         Stim
    110     4    26        1   461.034469         Stim
    111     1    15        1   333.809247         Stim
    112     1    27        0   370.096784         Stim
    113     1    16        1   470.608477         Stim
    114     4    27        1   430.797168         Stim
    115     4    26        1   573.304944         Stim
    116     1    17        1   505.008862         Stim
    117     1    16        1   573.422664         Stim
    118     1    17        1   648.004424         Stim
    119     1    16        1   632.276343         Stim
    120     1    25        0   439.569468         Stim
    121     4    25        1   463.840446         Stim
    122     1    17        1   574.968729         Stim
    123     4    28        1   424.013441         Stim
    124     4    28        1   585.770050         Stim
    125     4    16        0   276.054898         Stim
    126     4    25        1   499.615446         Stim
    127     4    25        1   456.760304         Stim
    128     4    15        0   228.348458         Stim
    129     1    17        1   356.778053         Stim
    130     1    16        1   408.234649         Stim
    131     1    27        0   190.043973         Stim
    132     4    26        1   234.314178         Stim
    133     4    15        0   256.304393         Stim
    134     1    17        1   244.839006         Stim
    135     4    16        0   232.495243         Stim
    136     1    17        1   298.698312         Stim
    137     1    18        1   351.275971         Stim
    138     4    28        1   572.917371         Stim
    139     1    28        0   310.976272         Stim
    140     1    18        1   417.955356         Stim
    141     4    18        0   446.434091         Stim
    142     1    18        1   310.715476         Stim
    143     1    16        1   426.673927         Stim
    144     1    27        0   273.915401         Stim
    145     1    26        0   315.385061         Stim
    146     4    17        0   256.685325         Stim
    147     4    26        1   396.144438         Stim
    148     1    15        1   403.903737         Stim
    149     1    15        1   480.089516         Stim
    150     4    17        0   484.472346         Stim
    151     4    28        1   433.027823         Stim
    152     4    28        1   581.233881         Stim
    153     4    18        0   321.907992         Stim
    154     1    16        1   481.325885         Stim
    155     1    17        1   416.301833         Stim
    156     1    18        1   327.075626         Stim
