file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P01BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Feb_06_1635
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0   225        0  1516.789000         Stim
      2     4   161        1   461.671971         Stim
      3     4   241        1   454.283945         Stim
      4     1   164        1   372.773571         Stim
      5     4   241        1   519.112398         Stim
      6     1   261        0   425.823320         Stim
      7     1   362        0   629.433540         Stim
      8     4   283        0   371.683900         Stim
      9     4   263        1   567.040394         Stim
     10     1   261        1   480.608694         Stim
     11     4   262        1   684.098175         Stim
     12     1   362        1   544.645099         Stim
     13     1   284        1   437.105787         Stim
     14     4   262        1   579.134228         Stim
     15     4   166        1   624.465126         Stim
     16     1   243        1   523.038835         Stim
     17     1   161        1   516.948753         Stim
     18     1   344        0   472.792647         Stim
     19     4   386        1   557.580485         Stim
     20     4   182        1   516.835259         Stim
     21     1   242        1   529.184456         Stim
     22     1   161        1   570.456708         Stim
     23     4   142        0   443.380599         Stim
     24     1   341        0   436.517184         Stim
     25     4   382        1   592.701079         Stim
     26     4   181        1   483.903061         Stim
     27     1   142        1   606.584870         Stim
     28     1   142        1   654.495962         Stim
     29     4   341        1   579.321977         Stim
     30     1   281        1   567.781129         Stim
     31     4   361        1   516.912532         Stim
     32     1   183        1   446.959910         Stim
     33     1   342        1   711.755281         Stim
     34     4   181        1   573.749867         Stim
     35     1   341        1   726.105125         Stim
     36     1   285        1   673.574554         Stim
     37     4   362        1   863.661993         Stim
     38     4   185        1   735.050083         Stim
     39     1   342        1   711.216785         Stim
     40     1   381        1   780.630306         Stim
     41     4   281        1   546.202030         Stim
     42     1   266        1   458.227888         Stim
     43     4   163        1   577.346685         Stim
     44     4   241        1   639.269552         Stim
     45     1   364        0   568.838200         Stim
     46     1   383        1  1011.240812         Stim
     47     1   181        1   806.910986         Stim
     48     1   141        1   612.227009         Stim
     49     1   243        1   480.898468         Stim
     50     4   361        1   725.271422         Stim
     51     4   383        0   633.980575         Stim
     52     1   184        1   541.243879         Stim
     53     1   142        1   529.047417         Stim
     54     4   343        0   791.501657         Stim
     55     4   281        1   618.856794         Stim
     56     4   161        1   546.340880         Stim
     57     4   241        1   431.991882         Stim
     58     4   261        0   317.524558         Stim
     59     1   262        1   490.139840         Stim
     60     4   264        1   663.067836         Stim
     61     4   163        1   550.341571         Stim
     62     1   144        1   680.628133         Stim
     63     1   341        1   625.955046         Stim
     64     0   181        0  1516.789000         Stim
     65     0   341        0  1516.789000         Stim
     66     0   183        0  1516.789000         Stim
     67     1   343        1  1328.484652         Stim
     68     0   182        0  1516.789000         Stim
     69     1   341        1  1372.406524         Stim
     70     0   384        0  1516.789000         Stim
     71     1   385        1   715.588144         Stim
     72     1   282        1   948.399120         Stim
