file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P01BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Feb_06_1626
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  6627.222807         Stim
      2     4     6        1  2974.687648         Stim
      3     1     7        1  5162.912083         Stim
      4     4     8        1  1936.929508         Stim
      5     4     6        1   697.762221         Stim
      6     4     8        1   777.283418         Stim
      7     1     5        1   827.043630         Stim
      8     1     7        1  2031.021501         Stim
      9     1     5        1   801.091965         Stim
     10     1     7        1   868.432396         Stim
     11     4     8        1   850.829236         Stim
     12     4     6        1   679.203412         Stim
     13     1     5        1   524.391113         Stim
     14     4     8        1   614.825315         Stim
     15     4     6        1   799.234393         Stim
     16     1     7        1   880.677757         Stim
     17     4     6        1   530.161839         Stim
     18     1     7        1   558.228250         Stim
     19     4     6        1   476.481831         Stim
     20     4     8        1  1580.510050         Stim
     21     4     6        1   742.232853         Stim
     22     4     8        1   748.301201         Stim
     23     4     8        1   495.763264         Stim
     24     1     5        1   603.455312         Stim
     25     1     7        1   571.557849         Stim
     26     1     5        1   570.259903         Stim
     27     1     7        1   523.515754         Stim
     28     1     5        1   539.601827         Stim
     29     1     5        1   616.440804         Stim
     30     4     6        1   677.104362         Stim
     31     1     7        1   766.296762         Stim
     32     4     8        1   649.136353         Stim
     33     4     6        1   738.338412         Stim
     34     4     8        1   615.162780         Stim
     35     1     5        1   722.742541         Stim
     36     1     7        1   929.493185         Stim
     37     1     5        1   756.151658         Stim
     38     1     7        1   754.174555         Stim
     39     4     8        1   777.524896         Stim
     40     4     6        1   705.734625         Stim
