file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P02BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Feb_19_1553
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1466.794000         Stim
      2     4    28        1   579.070589         Stim
      3     1    18        1   338.756056         Stim
      4     4    26        1   346.560213         Stim
      5     1    17        1   373.126462         Stim
      6     4    16        0   385.376338         Stim
      7     4    27        1   488.638483         Stim
      8     1    16        1   436.619829         Stim
      9     1    15        1   564.535672         Stim
     10     1    15        1   426.665862         Stim
     11     4    27        1   602.684094         Stim
     12     1    16        1   451.071434         Stim
     13     4    27        1   716.152557         Stim
     14     1    18        1   468.476387         Stim
     15     4    18        0   413.779072         Stim
     16     4    28        1   500.136740         Stim
     17     4    26        1   508.443787         Stim
     18     4    25        1   451.139653         Stim
     19     1    27        0   577.293871         Stim
     20     4    26        1   516.733326         Stim
     21     4    27        1   350.038788         Stim
     22     1    18        1   562.905052         Stim
     23     4    28        1   441.331180         Stim
     24     4    26        1   437.136604         Stim
     25     4    27        1   584.318638         Stim
     26     4    18        0   542.602291         Stim
     27     4    26        1   510.814555         Stim
     28     4    27        1   518.599997         Stim
     29     1    16        1   424.843262         Stim
     30     1    15        1   595.085199         Stim
     31     4    27        1   627.501396         Stim
     32     4    28        1   585.739771         Stim
     33     1    16        1   433.053111         Stim
     34     1    17        1   500.241786         Stim
     35     4    26        1   501.651448         Stim
     36     4    27        1   343.577886         Stim
     37     4    26        1   523.939206         Stim
     38     1    17        1   445.489533         Stim
     39     1    16        1   475.722716         Stim
     40     1    17        1   498.030397         Stim
     41     1    18        1   510.178849         Stim
     42     4    28        1   514.776703         Stim
     43     4    28        1   585.013508         Stim
     44     1    18        1   567.466079         Stim
     45     4    26        1   498.727078         Stim
     46     1    15        1   586.720196         Stim
     47     4    27        1   370.830554         Stim
     48     1    16        1   501.559081         Stim
     49     4    27        1   756.093998         Stim
     50     1    18        1   512.448798         Stim
     51     1    18        1   654.281359         Stim
     52     1    18        1   675.347209         Stim
     53     1    18        1   653.766394         Stim
     54     1    16        1   647.103853         Stim
     55     4    27        1   606.343179         Stim
     56     4    28        1   567.681603         Stim
     57     4    26        1   474.007577         Stim
     58     1    17        1   446.407776         Stim
     59     1    16        1   529.175785         Stim
     60     4    25        1   439.418627         Stim
     61     1    15        1   466.420152         Stim
     62     4    25        1   479.664337         Stim
     63     4    27        1   715.045354         Stim
     64     4    28        1   585.563488         Stim
     65     4    26        1   589.265436         Stim
     66     1    15        1   382.523205         Stim
     67     4    25        1   453.207963         Stim
     68     1    17        1   576.649712         Stim
     69     1    16        1   720.915224         Stim
     70     4    27        1   517.015862         Stim
     71     1    16        1   592.160828         Stim
     72     4    25        1   457.732768         Stim
     73     4    25        1   477.178864         Stim
     74     1    17        1   321.027514         Stim
     75     4    18        0   336.573645         Stim
     76     4    26        1   353.776959         Stim
     77     4    27        1   713.049489         Stim
     78     1    28        0   330.481006         Stim
     79     4    26        1   428.335119         Stim
     80     4    17        0   420.182622         Stim
     81     4    28        1   621.438339         Stim
     82     4    28        1   659.839111         Stim
     83     1    16        1   514.300376         Stim
     84     1    15        1   536.589945         Stim
