file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P02BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Feb_19_1601
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1   668.184192         Stim
      2     4   161        1   783.605053         Stim
      3     4   241        1   619.464208         Stim
      4     1   164        1   671.344009         Stim
      5     4   241        1   556.097016         Stim
      6     4   261        1   516.940399         Stim
      7     4   362        1   669.222573         Stim
      8     1   283        1   456.831429         Stim
      9     4   263        1   594.199556         Stim
     10     1   261        1   700.933637         Stim
     11     4   262        1   556.369893         Stim
     12     1   362        1   826.958057         Stim
     13     1   284        1   607.884450         Stim
     14     4   262        1   761.595605         Stim
     15     4   166        1   624.735198         Stim
     16     1   243        1   542.357789         Stim
     17     1   161        1   700.114403         Stim
     18     4   344        1   627.692772         Stim
     19     4   386        1   784.787117         Stim
     20     4   182        1   682.767406         Stim
     21     1   242        1   516.883046         Stim
     22     1   161        1   670.929260         Stim
     23     1   142        1   571.722837         Stim
     24     4   341        1   574.245740         Stim
     25     4   382        1   562.585085         Stim
     26     4   181        1   646.405361         Stim
     27     1   142        1   582.683188         Stim
     28     1   142        1   569.221063         Stim
     29     4   341        1   611.639525         Stim
     30     1   281        1   589.699503         Stim
     31     4   361        1   644.414930         Stim
     32     1   183        1   502.627647         Stim
     33     1   342        1   643.279352         Stim
     34     4   181        1   594.916160         Stim
     35     1   341        1   625.847231         Stim
     36     1   285        1   696.788566         Stim
     37     4   362        1   664.994189         Stim
     38     4   185        1   528.703684         Stim
     39     1   342        1   672.635344         Stim
     40     1   381        1   661.944247         Stim
     41     4   281        1   635.230089         Stim
     42     1   266        1   731.694462         Stim
     43     4   163        1   574.653848         Stim
     44     4   241        1   580.400561         Stim
     45     4   364        1   742.060160         Stim
     46     1   383        1   573.381228         Stim
     47     1   181        1   614.693089         Stim
     48     1   141        1   569.495751         Stim
     49     1   243        1   498.245921         Stim
     50     4   361        1   684.926272         Stim
     51     1   383        1   669.667507         Stim
     52     1   184        1   543.096126         Stim
     53     1   142        1   527.673755         Stim
     54     1   343        1   682.319453         Stim
     55     4   281        1   559.530314         Stim
     56     4   161        1   707.252668         Stim
     57     4   241        1   470.092519         Stim
     58     1   261        1   532.541467         Stim
     59     1   262        1   545.267670         Stim
     60     4   264        1   529.288075         Stim
     61     4   163        1   573.664971         Stim
     62     1   144        1   649.867637         Stim
     63     1   341        1   642.393106         Stim
     64     4   181        1   726.072717         Stim
     65     4   341        1   548.120802         Stim
     66     4   183        1   594.057684         Stim
     67     1   343        1   590.356340         Stim
     68     4   182        1   569.254871         Stim
     69     1   341        1   743.789185         Stim
     70     4   384        1   672.582218         Stim
     71     1   385        1   726.186818         Stim
     72     1   282        1   632.194032         Stim
