file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P03BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Mar_06_1631
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  7730.019832         Stim
      2     4     6        1  1271.756854         Stim
      3     1     7        1  1428.634644         Stim
      4     4     8        1  1381.155540         Stim
      5     4     6        1  2062.197283         Stim
      6     4     8        1  1050.758397         Stim
      7     1     5        1   737.972960         Stim
      8     1     7        1   798.297569         Stim
      9     1     5        1   743.553553         Stim
     10     1     7        1   904.445337         Stim
     11     4     8        1   731.431279         Stim
     12     4     6        1   585.333136         Stim
     13     1     5        1   625.360182         Stim
     14     4     8        1   713.174218         Stim
     15     4     6        1   941.360918         Stim
     16     1     7        1   662.945869         Stim
     17     4     6        1   580.545804         Stim
     18     1     7        1   677.036805         Stim
     19     4     6        1   563.984533         Stim
     20     4     8        1   757.951770         Stim
     21     4     6        1   700.866006         Stim
     22     4     8        1   719.059679         Stim
     23     4     8        1   605.816035         Stim
     24     1     5        1   560.347248         Stim
     25     4     7        0   567.598275         Stim
     26     1     5        1   691.680124         Stim
     27     1     7        1   832.504354         Stim
     28     1     5        1   548.401254         Stim
     29     1     5        1   438.721849         Stim
     30     4     6        1   858.369832         Stim
     31     1     7        1   762.231392         Stim
     32     4     8        1   571.736027         Stim
     33     4     6        1   596.280008         Stim
     34     4     8        1   735.371018         Stim
     35     1     5        1   513.380683         Stim
     36     1     7        1   786.556834         Stim
     37     1     5        1   626.739030         Stim
     38     1     7        1   797.466880         Stim
     39     4     8        1   738.389513         Stim
     40     4     6        1   714.253632         Stim
