file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P04BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Mar_11_1630
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1467.442000         Stim
      2     0    28        0  1467.442000         Stim
      3     4    18        0   386.548603         Stim
      4     1    26        0   434.251364         Stim
      5     1    17        1   359.261853         Stim
      6     4    16        0   408.272234         Stim
      7     4    27        1   547.620657         Stim
      8     1    16        1   410.904377         Stim
      9     1    15        1   578.400732         Stim
     10     1    15        1   562.596102         Stim
     11     4    27        1   482.588314         Stim
     12     1    16        1   465.578996         Stim
     13     4    27        1   399.943856         Stim
     14     1    18        1   310.796917         Stim
     15     1    18        1   645.712656         Stim
     16     4    28        1   361.999644         Stim
     17     4    26        1   483.585027         Stim
     18     4    25        1   446.644471         Stim
     19     4    27        1   415.639819         Stim
     20     4    26        1   461.655533         Stim
     21     4    27        1   280.926019         Stim
     22     1    18        1   481.839119         Stim
     23     4    28        1   659.199068         Stim
     24     4    26        1   680.577985         Stim
     25     4    27        1   592.778812         Stim
     26     1    18        1   463.403252         Stim
     27     4    26        1   526.532423         Stim
     28     4    27        1   528.916445         Stim
     29     1    16        1   585.157672         Stim
     30     1    15        1   584.591399         Stim
     31     4    27        1   789.613600         Stim
     32     4    28        1   727.595845         Stim
     33     1    16        1   560.628635         Stim
     34     1    17        1   671.829430         Stim
     35     4    26        1   575.463115         Stim
     36     4    27        1   833.591517         Stim
     37     4    26        1   677.957614         Stim
     38     1    17        1   576.992596         Stim
     39     1    16        1   639.350235         Stim
     40     1    17        1   829.728726         Stim
     41     1    18        1   632.992644         Stim
     42     4    28        1   650.432100         Stim
     43     4    28        1   791.893483         Stim
     44     1    18        1   841.870693         Stim
     45     4    26        1   938.067971         Stim
     46     1    15        1   659.697122         Stim
     47     4    27        1   710.269885         Stim
     48     1    16        1   753.138800         Stim
     49     4    27        1   653.619951         Stim
     50     1    18        1   761.590937         Stim
     51     1    18        1   606.866210         Stim
     52     1    18        1   643.432169         Stim
     53     1    18        1  1011.482422         Stim
     54     1    16        1   739.892360         Stim
     55     4    27        1   570.291196         Stim
     56     4    28        1   955.080609         Stim
     57     4    26        1   680.272813         Stim
     58     1    17        1   526.872610         Stim
     59     1    16        1   441.484625         Stim
     60     4    25        1   635.413793         Stim
     61     1    15        1   520.852186         Stim
     62     4    25        1   528.078807         Stim
     63     1    27        0   358.122364         Stim
     64     4    28        1   475.470963         Stim
     65     4    26        1   522.327032         Stim
     66     1    15        1   645.754009         Stim
     67     4    25        1   430.145885         Stim
     68     1    17        1   535.433413         Stim
     69     1    16        1   734.739155         Stim
     70     4    27        1   809.356785         Stim
     71     1    16        1   669.912674         Stim
     72     4    25        1   508.242350         Stim
