file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P04BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Mar_11_1636
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1   831.537721         Stim
      2     4   161        1   927.024441         Stim
      3     4   241        1   584.506277         Stim
      4     1   164        1   442.160772         Stim
      5     4   241        1   592.860916         Stim
      6     4   261        1   709.358898         Stim
      7     4   362        1   769.091035         Stim
      8     1   283        1   624.984530         Stim
      9     4   263        1   690.603069         Stim
     10     1   261        1   801.693084         Stim
     11     4   262        1   672.482334         Stim
     12     1   362        1   574.953289         Stim
     13     1   284        1   633.886124         Stim
     14     4   262        1   680.588851         Stim
     15     4   166        1   679.542635         Stim
     16     1   243        1   713.614397         Stim
     17     1   161        1   866.179378         Stim
     18     4   344        1   793.032971         Stim
     19     4   386        1   938.645412         Stim
     20     4   182        1   747.822898         Stim
     21     1   242        1   829.771287         Stim
     22     1   161        1   750.324943         Stim
     23     1   142        1   602.943955         Stim
     24     4   341        1   590.894355         Stim
     25     4   382        1   716.681508         Stim
     26     4   181        1   493.645427         Stim
     27     1   142        1   658.223183         Stim
     28     1   142        1   637.802040         Stim
     29     4   341        1  1049.689244         Stim
     30     1   281        1   700.518882         Stim
     31     4   361        1   617.309056         Stim
     32     1   183        1   773.155161         Stim
     33     1   342        1   922.638542         Stim
     34     4   181        1   673.514364         Stim
     35     1   341        1   642.741232         Stim
     36     1   285        1   631.588734         Stim
     37     4   362        1   690.462708         Stim
     38     4   185        1  1170.439405         Stim
     39     1   342        1   766.374072         Stim
     40     1   381        1  1035.360969         Stim
     41     4   281        1   620.086390         Stim
     42     1   266        1   725.234161         Stim
     43     4   163        1  1024.426105         Stim
     44     4   241        1   611.495703         Stim
     45     1   364        0   685.284751         Stim
     46     1   383        1  1026.009617         Stim
     47     1   181        1   747.598622         Stim
     48     1   141        1   675.396104         Stim
     49     1   243        1   803.140159         Stim
     50     4   361        1  1295.551618         Stim
     51     1   383        1  1215.449955         Stim
     52     1   184        1   664.667405         Stim
     53     1   142        1   718.367951         Stim
     54     1   343        1   613.339411         Stim
     55     4   281        1   524.875562         Stim
     56     4   161        1  1113.643073         Stim
     57     4   241        1   808.462400         Stim
     58     1   261        1   787.200601         Stim
     59     1   262        1   673.480254         Stim
     60     4   264        1   856.310351         Stim
     61     4   163        1   659.702556         Stim
     62     1   144        1   576.276604         Stim
     63     1   341        1   724.930499         Stim
     64     4   181        1   637.806870         Stim
     65     4   341        1   665.532813         Stim
     66     4   183        1   516.352188         Stim
     67     1   343        1   652.897621         Stim
     68     4   182        1   577.956105         Stim
     69     1   341        1   757.188437         Stim
     70     4   384        1   942.094063         Stim
     71     1   385        1   822.470109         Stim
     72     1   282        1   742.399536         Stim
