file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P05BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_16_1520
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4    19        0   472.088542         Stim
      2     1    28        0   377.842831         Stim
      3     1    18        1   283.962967         Stim
      4     4    26        1   408.887390         Stim
      5     1    17        1   308.827351         Stim
      6     1    16        1   404.886607         Stim
      7     1    27        0   431.210459         Stim
      8     1    16        1   478.345691         Stim
      9     1    15        1   640.941292         Stim
     10     1    15        1   386.060828         Stim
     11     1    27        0   457.147635         Stim
     12     1    16        1   347.107673         Stim
     13     4    27        1   657.107428         Stim
     14     1    18        1   293.228401         Stim
     15     1    18        1   491.260851         Stim
     16     4    28        1   517.360425         Stim
     17     1    26        0   349.984651         Stim
     18     4    25        1   441.218153         Stim
     19     1    27        0   275.176578         Stim
     20     4    26        1   626.139540         Stim
     21     4    27        1  1015.335130         Stim
     22     4    18        0   445.396126         Stim
     23     1    28        0   310.823215         Stim
     24     4    26        1   277.098487         Stim
     25     4    27        1   861.218026         Stim
     26     1    18        1   729.817610         Stim
     27     4    26        1   572.071910         Stim
     28     4    27        1   592.426282         Stim
     29     1    16        1   486.546180         Stim
     30     1    15        1   660.182121         Stim
     31     4    27        1   662.174967         Stim
     32     4    28        1   516.222734         Stim
     33     1    16        1   470.154559         Stim
     34     4    17        0   340.330428         Stim
     35     4    26        1   408.492866         Stim
     36     4    27        1   451.495404         Stim
     37     4    26        1   507.885504         Stim
     38     1    17        1   670.884987         Stim
     39     1    16        1   602.198529         Stim
     40     1    17        1   902.646391         Stim
     41     1    18        1   561.737609         Stim
     42     4    28        1   606.859771         Stim
     43     4    28        1   682.865302         Stim
     44     1    18        1   514.861067         Stim
     45     4    26        1   488.870462         Stim
     46     1    15        1   409.528832         Stim
     47     4    27        1   407.141764         Stim
     48     1    16        1   291.187258         Stim
     49     4    27        1   414.484080         Stim
     50     1    18        1   458.523187         Stim
     51     4    18        0   498.572076         Stim
     52     1    18        1   459.237074         Stim
     53     4    18        0   322.474207         Stim
     54     1    16        1   458.909863         Stim
     55     4    27        1   479.207184         Stim
     56     4    28        1   774.608940         Stim
     57     4    26        1   592.714251         Stim
     58     4    17        0   504.314562         Stim
     59     1    16        1   338.972082         Stim
     60     4    25        1   407.886138         Stim
     61     1    15        1   241.320240         Stim
     62     4    25        1   402.689104         Stim
     63     1    27        0   279.704701         Stim
     64     4    28        1   549.860528         Stim
     65     4    26        1   786.881149         Stim
     66     1    15        1   411.697960         Stim
     67     4    25        1   385.002827         Stim
     68     1    17        1   292.416411         Stim
     69     1    16        1   593.481264         Stim
     70     4    27        1   479.060181         Stim
     71     1    16        1   652.683142         Stim
     72     4    25        1   428.140294         Stim
     73     1    25        0   738.515557         Stim
     74     1    17        1   711.476912         Stim
     75     4    18        0   297.442897         Stim
     76     4    26        1   401.849646         Stim
     77     1    27        0   264.866123         Stim
     78     4    28        1   559.935536         Stim
     79     4    26        1   571.028096         Stim
     80     1    17        1   455.017446         Stim
     81     4    28        1   677.413201         Stim
     82     4    28        1   624.317242         Stim
     83     1    16        1   605.850671         Stim
     84     1    15        1   515.864734         Stim
     85     1    17        1   611.503807         Stim
     86     4    26        1   489.364297         Stim
     87     1    15        1   670.331989         Stim
     88     1    15        1   919.476306         Stim
     89     4    25        1   491.079436         Stim
     90     1    25        0   473.849563         Stim
     91     4    27        1   520.961854         Stim
     92     1    16        1   860.520742         Stim
     93     4    25        1   432.850134         Stim
     94     4    25        1   449.808337         Stim
     95     1    25        0   375.849382         Stim
     96     1    15        1   508.900944         Stim
     97     4    17        0   449.552063         Stim
     98     4    26        1   559.546143         Stim
     99     1    15        1   418.720009         Stim
    100     4    25        1   395.742217         Stim
    101     1    27        0   356.034727         Stim
    102     4    26        1   596.088384         Stim
    103     0    25        0  1467.288000         Stim
    104     0    17        0  1467.288000         Stim
    105     1    16        1   716.901545         Stim
    106     4    25        1   350.398494         Stim
    107     4    25        1   578.084858         Stim
    108     1    15        1   972.872308         Stim
    109     4    27        1  1268.841853         Stim
    110     4    26        1  1155.466394         Stim
    111     1    15        1   651.765503         Stim
    112     4    27        1   766.805389         Stim
    113     1    16        1   714.884249         Stim
    114     4    27        1   325.791893         Stim
    115     1    26        0   312.276646         Stim
    116     4    17        0   404.406658         Stim
    117     1    16        1   862.974821         Stim
    118     1    17        1   709.212699         Stim
    119     1    16        1   695.267007         Stim
    120     4    25        1   628.166797         Stim
    121     4    25        1   542.568923         Stim
    122     1    17        1   358.415757         Stim
    123     4    28        1   330.936103         Stim
    124     4    28        1   467.316520         Stim
    125     1    16        1   343.356221         Stim
    126     4    25        1   261.272843         Stim
    127     1    25        0   399.368701         Stim
    128     1    15        1   706.448615         Stim
    129     1    17        1   759.472128         Stim
    130     1    16        1   887.455548         Stim
    131     4    27        1   988.852200         Stim
    132     4    26        1   667.195718         Stim
    133     1    15        1  1018.572824         Stim
    134     1    17        1  1198.714642         Stim
    135     1    16        1   742.826345         Stim
    136     1    17        1   700.195692         Stim
    137     1    18        1   595.591833         Stim
    138     4    28        1   877.475624         Stim
    139     4    28        1   708.289627         Stim
    140     1    18        1   572.887220         Stim
    141     1    18        1   801.667506         Stim
    142     1    18        1   621.637073         Stim
    143     1    16        1   605.063131         Stim
    144     4    27        1   734.102741         Stim
    145     4    26        1   470.723253         Stim
    146     1    17        1  1235.182325         Stim
    147     4    26        1   531.602538         Stim
    148     1    15        1  1020.592837         Stim
    149     1    15        1   845.701180         Stim
    150     4    17        0   799.727485         Stim
    151     4    28        1   503.761564         Stim
    152     4    28        1   690.375450         Stim
    153     1    18        1   563.309971         Stim
    154     4    16        0   330.858225         Stim
    155     1    17        1   699.395475         Stim
    156     4    18        0   308.233905         Stim
