file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P05C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_25_1345
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1466.638000         Stim
      2     1    18        1  1321.606375         Stim
      3     6    28        1   892.907348         Stim
      4     0    28        0  1466.638000         Stim
      5     6    26       -1    83.801535         Stim
      6     1    15        1   450.575954         Stim
      7     6    17        0   870.051505         Stim
      8     0    26        0  1466.638000         Stim
      9     6    15        0   941.471560         Stim
     10     1    15        1  1056.994414         Stim
     11     6    25        1   756.458410         Stim
     12     1    17        1   719.910735         Stim
     13     6    26        1   643.321417         Stim
     14     6    25        1   918.691484         Stim
     15     1    17        1   645.416591         Stim
     16     1    18        1   708.932880         Stim
     17     6    26        1   544.360432         Stim
     18     1    27        0   731.791137         Stim
     19     6    28        1   467.207852         Stim
     20     1    18        1   614.659699         Stim
     21     6    26        1   378.053224         Stim
     22     1    15        1   965.495581         Stim
     23     6    25        1   528.951347         Stim
     24     1    15        1   532.380116         Stim
     25     1    15        1   523.818306         Stim
     26     1    17        1   619.187823         Stim
     27     1    16        1   518.661117         Stim
     28     6    25        1   562.085044         Stim
     29     0    27        0  1466.638000         Stim
     30     1    16        1  1120.935110         Stim
     31     1    15        1   676.328637         Stim
     32     1    17        1   799.757067         Stim
     33     6    26        1   695.215088         Stim
     34     6    27        1   778.673113         Stim
     35     6    26        1  1010.096741         Stim
     36     1    17        1  1189.535841         Stim
     37     6    26        1   688.960657         Stim
     38     1    15        1   384.408475         Stim
     39     6    17        0   315.843665         Stim
     40     1    28        0   403.286173         Stim
     41     6    28        1   630.641402         Stim
     42     1    16        1   418.151013         Stim
     43     6    25        1   405.504504         Stim
     44     1    15        1   404.987426         Stim
     45     1    17        1   652.381891         Stim
     46     1    18        1   679.802080         Stim
     47     1    16        1   407.235943         Stim
     48     6    27        1   774.696176         Stim
     49     1    18        1   338.129001         Stim
     50     6    18        0   313.562548         Stim
     51     1    28        0   461.008962         Stim
     52     6    26        1   624.436777         Stim
     53     1    15        1   463.828588         Stim
     54     6    25        1   519.290182         Stim
     55     1    15        1   410.722969         Stim
     56     6    25        1   398.178487         Stim
     57     1    17        1   553.589642         Stim
     58     1    18        1   641.002870         Stim
     59     6    26        1   396.433465         Stim
     60     1    15        1   495.911829         Stim
     61     6    27        1   595.268848         Stim
     62     1    18        1   550.760659         Stim
     63     6    26        1   666.207747         Stim
     64     1    15        1   449.578022         Stim
     65     6    27        1   485.004004         Stim
     66     1    18        1   584.449165         Stim
     67     6    28        1   699.921005         Stim
     68     6    28        1   687.331546         Stim
     69     6    26        1  1234.722298         Stim
     70     6    27        1   814.184520         Stim
     71     6    16        0   773.642702         Stim
     72     6    27        1   689.020122         Stim
     73     6    28        1   584.446750         Stim
     74     6    28        1   979.880472         Stim
     75     1    16        1   547.356039         Stim
     76     1    17        1   634.788284         Stim
     77     6    26        1   654.190001         Stim
     78     1    15        1   629.651318         Stim
     79     6    27        1   721.056576         Stim
     80     1    18        1   916.483718         Stim
     81     1    16        1  1403.932746         Stim
     82     6    25        1   721.323416         Stim
     83     6    25        1   524.801146         Stim
     84     1    17        1   740.244581         Stim
     85     6    28        1   779.682213         Stim
     86     1    16        1  1055.045941         Stim
     87     1    15        1   565.879963         Stim
     88     1    17        1   641.335514         Stim
     89     1    16        1   596.701753         Stim
     90     6    27        1   700.171544         Stim
     91     1    16        1   479.607142         Stim
     92     1    15        1   643.029222         Stim
     93     1    15        1   990.445692         Stim
     94     6    25        1   745.154551         Stim
     95     1    15        1   648.639797         Stim
     96     1    17        1   896.068069         Stim
     97     1    16        1   443.556019         Stim
     98     1    15        1   662.979410         Stim
     99     1    15        1   610.421356         Stim
    100     1    17        1   725.847012         Stim
    101     6    28        1   909.267878         Stim
    102     1    16        1   840.697937         Stim
    103     1    17        1   476.097778         Stim
    104     6    26        1  1103.515673         Stim
    105     6    25        1  1230.951528         Stim
    106     0    27        0  1466.638000         Stim
    107     6    28        1   613.169744         Stim
    108     1    18        1   896.618049         Stim
    109     1    18        1   688.079542         Stim
    110     6    26        1   795.479785         Stim
    111     1    17        1   690.954106         Stim
    112     6    28        1   798.338048         Stim
    113     6    26        1   549.786574         Stim
    114     6    15        0   313.226282         Stim
    115     6    27        1   592.644825         Stim
    116     1    18        1   660.074057         Stim
    117     6    28        1   683.508253         Stim
    118     6    28        1   958.894620         Stim
    119     1    16        1   962.974187         Stim
    120     1    15        1   650.373349         Stim
    121     0    27        0  1466.638000         Stim
    122     6    28        1   621.350915         Stim
    123     6    26        1   740.745056         Stim
    124     6    27        1   776.183112         Stim
    125     0    26        0  1466.638000         Stim
    126     6    25        1   733.671089         Stim
    127     1    27        0   433.195456         Stim
    128     1    16        1   508.610861         Stim
    129     6    27        1   607.999273         Stim
    130     1    18        1   575.397143         Stim
    131     1    16        1   558.894137         Stim
    132     6    25        1   794.296816         Stim
    133     6    27        1   573.758373         Stim
    134     6    26        1   597.159667         Stim
    135     6    25        1   536.611517         Stim
    136     1    17        1   564.060986         Stim
    137     6    26        1   455.544182         Stim
    138     6    25        1   902.918966         Stim
    139     6    27        1   726.361976         Stim
    140     6    28        1   537.756150         Stim
    141     1    18        1   469.173229         Stim
    142     6    26        1   392.636131         Stim
    143     1    27        0   328.067275         Stim
    144     6    26        1   479.488211         Stim
    145     6    27        1   570.961990         Stim
    146     1    18        1   542.366077         Stim
    147     6    26        1   641.802484         Stim
    148     6    25        1   565.208939         Stim
    149     1    17        1   556.677919         Stim
    150     1    18        1   632.073100         Stim
    151     6    28        1   603.501033         Stim
