file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P05E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_30_1614
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   891.373925         Stim
      2     6   182        1   756.167120         Stim
      3     1   344        1   565.052277         Stim
      4     1   381        1   622.127889         Stim
      5     6   182        1   678.914023         Stim
      6     1   244        1   543.751892         Stim
      7     1   361        1  1040.886837         Stim
      8     1   384        1   561.663655         Stim
      9     1   185        1   618.761303         Stim
     10     1   141        1   651.983745         Stim
     11     6   144        1   956.700739         Stim
     12     1   143        1   741.869163         Stim
     13     1   346        1   806.818357         Stim
     14     6   285        1   768.137172         Stim
     15     6   262        1   840.708803         Stim
     16     0   363        0  1516.628000         Stim
     17     1   281        1  1026.492287         Stim
     18     6   161        1   883.340965         Stim
     19     1   341        1  1180.078126         Stim
     20     6   181        1   700.835625         Stim
     21     6   343        1  1037.613222         Stim
     22     1   382        1   678.601301         Stim
     23     6   184        1  1079.475050         Stim
     24     1   141        1   648.587878         Stim
     25     6   343        1   665.365572         Stim
     26     1   282        1  1290.357761         Stim
     27     6   263        1   699.239718         Stim
     28     6   163        1  1052.197941         Stim
     29     1   141        1   461.213619         Stim
     30     1   141        1   541.995701         Stim
     31     1   241        0   350.784566         Stim
     32     6   362        1   503.482348         Stim
     33     6   381        1  1432.363846         Stim
     34     6   281        0   377.180260         Stim
     35     6   365        1   753.931282         Stim
     36     1   181        1   610.472068         Stim
     37     1   341        1   595.271565         Stim
     38     6   283        1   924.031597         Stim
     39     1   261        1   493.019457         Stim
     40     6   361        1   853.753157         Stim
     41     1   285        1  1326.525099         Stim
     42     6   162        1   911.733127         Stim
     43     6   342        1   880.660796         Stim
     44     6   381        1   761.546777         Stim
     45     6   282        1   794.311003         Stim
     46     1   261        1   611.207386         Stim
     47     1   166        1   707.963926         Stim
     48     6   243        1   645.253892         Stim
     49     6   262        1   654.256107         Stim
     50     6   261        1   975.102412         Stim
     51     1   163        1  1447.855940         Stim
     52     6   244        1  1224.819347         Stim
     53     6   261        1   809.974551         Stim
     54     1   362        1  1082.102998         Stim
     55     1   282        1   818.956542         Stim
     56     1   364        1   987.852457         Stim
     57     1   182        1   828.935258         Stim
     58     1   241        1   685.863324         Stim
     59     6   361        1   638.617312         Stim
     60     6   286        1   599.387657         Stim
     61     6   161        1   912.674310         Stim
     62     1   241        1   969.413052         Stim
     63     1   163        1  1082.187819         Stim
     64     1   342        1   611.217045         Stim
     65     6   182        1   724.135797         Stim
     66     1   241        1   788.983869         Stim
     67     6   362        1  1429.699977         Stim
     68     1   283        1  1230.614356         Stim
     69     1   162        1   647.652128         Stim
     70     6   144        1   736.472603         Stim
     71     6   141        1   728.917177         Stim
     72     6   343        1   977.704400         Stim
