file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P09BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_20_1436
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1467.291000         Stim
      2     4    28        1   388.530116         Stim
      3     1    18        1   363.549374         Stim
      4     4    26        1   199.518116         Stim
      5     1    17        1   267.530318         Stim
      6     1    16        1   334.547602         Stim
      7     4    27        1   292.260519         Stim
      8     1    16        1   234.482461         Stim
      9     4    15        0   184.039818         Stim
     10     1    15        1   392.371542         Stim
     11     1    27        0   315.345300         Stim
     12     1    16        1   395.383768         Stim
     13     4    27        1   245.811741         Stim
     14     1    18        1   341.891167         Stim
     15     1    18        1   387.933345         Stim
     16     4    28        1   311.058937         Stim
     17     4    26        1   376.625799         Stim
     18     4    25        1   310.251169         Stim
     19     1    27        0   234.392508         Stim
     20     4    26        1   227.272316         Stim
     21     1    27        0   257.368318         Stim
     22     1    18        1   349.435166         Stim
     23     1    28        0   159.825793         Stim
     24     4    26        1   360.975443         Stim
     25     4    27        1   469.085363         Stim
     26     4    18        0   306.699223         Stim
     27     4    26        1   266.550794         Stim
     28     1    27        0   185.919177         Stim
     29     1    16        1   320.388115         Stim
     30     4    15        0   218.621107         Stim
     31     4    27        1   407.897231         Stim
     32     4    28        1   379.921469         Stim
     33     4    16        0   310.278638         Stim
     34     4    17        0   283.414010         Stim
     35     4    26        1   264.024255         Stim
     36     4    27        1   389.234347         Stim
     37     1    26        0   276.595976         Stim
     38     1    17        1   327.922152         Stim
     39     4    16        0   174.416632         Stim
     40     4    17       -1    15.970022         Stim
     41     4    18        0   170.085896         Stim
     42     1    28        0   350.868683         Stim
     43     4    28        1   341.859472         Stim
     44     1    18        1   304.905893         Stim
     45     4    26        1   302.055160         Stim
     46     4    15        0   314.662500         Stim
     47     4    27        1   358.993453         Stim
     48     1    16        1   246.672032         Stim
     49     1    27       -1    66.985890         Stim
     50     4    18        0   250.062484         Stim
     51     1    18        1   451.196439         Stim
     52     1    18        1   379.805556         Stim
     53     1    18        1   332.885278         Stim
     54     1    16        1   251.764653         Stim
     55     1    27        0   238.141566         Stim
     56     4    28        1   354.501224         Stim
     57     4    26        1   317.594433         Stim
     58     4    17        0   330.166758         Stim
     59     4    16        0   163.784339         Stim
     60     4    25        1   347.604406         Stim
     61     1    15        1   370.993156         Stim
     62     4    25        1   318.475250         Stim
     63     1    27        0   273.382713         Stim
     64     1    28        0   256.531270         Stim
     65     4    26        1   347.556109         Stim
     66     1    15        1   322.900769         Stim
     67     4    25        1   281.326973         Stim
     68     1    17        1   179.752248         Stim
     69     0    16        0  1467.291000         Stim
     70     1    27       -1    76.651336         Stim
     71     0    16        0  1467.291000         Stim
     72     0    25        0  1467.291000         Stim
     73     1    25        0   245.975045         Stim
     74     4    17        0   295.877666         Stim
     75     1    18        1   425.375932         Stim
     76     1    26        0   276.831726         Stim
     77     1    27        0   269.787602         Stim
     78     1    28        0   279.881684         Stim
     79     4    26        1   372.888212         Stim
     80     1    17        1   280.900450         Stim
     81     4    28        1   204.349330         Stim
     82     1    28        0   174.259365         Stim
     83     1    16        1   268.839772         Stim
     84     4    15        0   279.040410         Stim
     85     1    17        1   366.584542         Stim
     86     4    26        1   406.342670         Stim
     87     1    15        1   303.445209         Stim
     88     1    15        1   223.571253         Stim
     89     4    25        1   178.139429         Stim
     90     4    25        1   404.200394         Stim
     91     1    27        0   217.107900         Stim
     92     1    16        1   232.294001         Stim
     93     4    25        1   321.518266         Stim
     94     1    25        0   280.529468         Stim
     95     4    25        1   287.440474         Stim
