file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P9C2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_23_1212
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   940.085262         Stim
      2     1   262        1   372.843128         Stim
      3     6   361        0   429.745044         Stim
      4     1   385        0   398.551576         Stim
      5     6   182        1   447.746813         Stim
      6     1   141        1   544.608389         Stim
      7     1   145        1   497.388495         Stim
      8     6   243        1   450.601764         Stim
      9     6   261        1   386.933451         Stim
     10     1   161        1   411.680488         Stim
     11     6   343        1   516.743484         Stim
     12     6   281        1   437.439648         Stim
     13     6   164        1   526.265523         Stim
     14     1   344        1   503.314225         Stim
     15     1   383        1   520.395334         Stim
     16     6   181        1   553.393900         Stim
     17     1   341        1   658.169227         Stim
     18     1   281        1   450.967614         Stim
     19     1   361        1   559.678536         Stim
     20     6   181        1   464.512483         Stim
     21     6   341        1   553.277685         Stim
     22     1   281        1   378.028103         Stim
     23     1   265        1   530.815998         Stim
     24     6   361        1   508.024683         Stim
     25     1   382        1   436.802732         Stim
     26     1   183        1   469.692328         Stim
     27     1   244        1   878.664566         Stim
     28     6   162        1   543.739950         Stim
     29     6   143        1   592.603750         Stim
     30     1   142        1   497.643262         Stim
     31     6   246        1   514.504620         Stim
     32     6   161        1   715.154455         Stim
     33     1   142        1   587.904460         Stim
     34     1   144        1   492.790931         Stim
     35     6   241        1   525.906012         Stim
     36     6   163        1   502.650746         Stim
     37     6   342        1   615.670658         Stim
     38     6   281        1   516.824683         Stim
     39     1   364        1   609.322331         Stim
     40     1   186        1   602.435795         Stim
     41     6   342        1   459.735315         Stim
     42     6   282        1   612.593541         Stim
     43     1   363        1   549.506300         Stim
     44     1   382        1   646.452697         Stim
     45     1   284        0   575.359035         Stim
     46     6   361        1   584.496811         Stim
     47     6   281        1   489.247748         Stim
     48     6   364        1   516.879017         Stim
     49     1   381        1   492.435345         Stim
     50     6   181        1   477.210950         Stim
     51     1   242        1   421.972561         Stim
     52     6   363        1   574.884216         Stim
     53     1   182        1   599.770409         Stim
     54     6   346        1   448.720298         Stim
     55     1   283        1   554.053756         Stim
     56     6   261        1   555.023921         Stim
     57     1   161        1   507.794367         Stim
     58     6   144        1   463.878285         Stim
     59     6   245        1   584.343770         Stim
     60     1   263        1   529.550015         Stim
     61     6   362        1   517.008513         Stim
     62     1   182        1   491.425939         Stim
     63     1   242        1   492.328186         Stim
     64     6   163        1   525.206009         Stim
     65     1   242        1   414.201587         Stim
     66     6   161        1   463.049389         Stim
     67     6   341        1   623.848232         Stim
     68     1   382        1   560.619420         Stim
     69     1   283        1   577.471421         Stim
     70     1   161        1   946.477963         Stim
     71     1   241        1   619.253384         Stim
     72     1   361        1   692.029590         Stim
