file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P09E2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_15_1315
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   779.487339         Stim
      2     6    25        1   558.891366         Stim
      3     6    25        1   270.287313         Stim
      4     6    27        1   281.189639         Stim
      5     0    18        0  1466.637000         Stim
      6     6    28        1   528.579893         Stim
      7     6    26        1   332.045830         Stim
      8     1    27       -1    71.460978         Stim
      9     1    16        1   387.693419         Stim
     10     6    27        1   260.270623         Stim
     11     1    16        1   259.762001         Stim
     12     1    17        1   363.201374         Stim
     13     1    16        1   310.601209         Stim
     14     1    15        1   216.774816         Stim
     15     1    15        1   193.509195         Stim
     16     1    15        1   429.607733         Stim
     17     6    27        1   169.065442         Stim
     18     6    28        1   261.830298         Stim
     19     6    28        1   305.240379         Stim
     20     6    26        1   348.622388         Stim
     21     1    17        1   616.083150         Stim
     22     1    16        1   631.486707         Stim
     23     6    27        1   234.934593         Stim
     24     6    18        1    30.395690         Stim
     25     1    18        1   619.030442         Stim
     26     6    28        1   302.631766         Stim
     27     0    28        0  1466.637001         Stim
     28     6    26        1   348.622388         Stim
     29     1    17        1   380.917428         Stim
     30     1    16        1   336.306485         Stim
     31     1    17        1   507.772865         Stim
     32     1    18        1   407.184282         Stim
     33     1    18        1   378.605807         Stim
     34     6    26        1   243.410927         Stim
     35     6    27        1   310.812887         Stim
     36     1    18        1   642.242635         Stim
     37     1    16        1   845.696074         Stim
     38     6    27        1  1017.103290         Stim
     39     6    26        1   492.564003         Stim
     40     6    27        1   791.998240         Stim
     41     6    28        1   979.430530         Stim
     42     6    28        1   314.813948         Stim
     43     6    18        1   378.316663         Stim
     44     6    26        1   486.510341         Stim
     45     1    15        1   225.202249         Stim
     46     1    15        1   364.612446         Stim
     47     6    27        1   232.012052         Stim
     48     1    16        1    27.462585         Stim
     49     1    15        1   216.931816         Stim
     50     6    27        1   290.300467         Stim
     51     6    26        1   324.349786         Stim
     52     6    27        1   281.189639         Stim
     53     6    26        1   244.600227         Stim
     54     1    17        1   416.009860         Stim
     55     1    18        1   607.481547         Stim
     56     6    26        1   322.907533         Stim
     57     6    27        1   216.772401         Stim
     58     1    18        1   281.768019         Stim
     59     6    26        1   486.510341         Stim
     60     6    25        1   941.917449         Stim
     61     6    25        1   617.370854         Stim
     62     1    15        1   772.788919         Stim
     63     1    17        1   872.261250         Stim
     64     0    18        0  1466.637000         Stim
     65     6    26        1   983.084159         Stim
     66     6    25        1   411.937223         Stim
     67     1    15        1   246.779343         Stim
     68     1    17        1   603.336804         Stim
     69     1    18        1   342.862430         Stim
     70     6    28        1   226.293146         Stim
     71     1    18        1   525.694179         Stim
     72     1    16        1   353.180067         Stim
     73     1    15        1   225.202249         Stim
     74     6    27        1   563.984230         Stim
     75     6    26        1   603.396571         Stim
     76     6    25        1   490.847667         Stim
     77     6    27        1   260.270623         Stim
     78     1    16        0   337.693499         Stim
     79     6    27        1   305.137749         Stim
     80     1    18        1   196.558816         Stim
     81     1    18        1   228.675973         Stim
     82     1    18        1   312.090027         Stim
     83     1    18        1   291.538668         Stim
     84     1    16        1   102.975938         Stim
     85     1    15        1   182.289319         Stim
     86     1    15        1  1091.119754         Stim
     87     6    25        1   430.555250         Stim
     88     6    25        1   430.025890         Stim
     89     6    27        1   264.766723         Stim
     90     1    16        1   400.119836         Stim
     91     1    15        1   363.639967         Stim
     92     1    15        1   293.639967         Stim
     93     6    25        1   190.407052         Stim
     94     6    25        1   258.616167         Stim
     95     6    27        1   563.984230         Stim
     96     1    16        1   337.693499         Stim
     97     1    17        1   294.230292         Stim
     98     1    28        0   597.632084         Stim
     99     6    26        1   593.075311         Stim
    100     6    25        1   544.492375         Stim
    101     6    25        1   547.984211         Stim
    102     6    27        1   339.379046         Stim
    103     1    16        1   250.811456         Stim
    104     1    15        1   398.221362         Stim
    105     1    17        1   473.692456         Stim
    106     0    26        0  1466.637000         Stim
    107     6    25        1   389.818076         Stim
    108     1    15        1   437.320379         Stim
    109     1    17        1   472.725017         Stim
    110     1    26       -1    64.161569         Stim
    111     6    27        1   216.772401         Stim
    112     0    26        0  1466.637000         Stim
    113     0    27        0  1466.637000         Stim
    114     6    18        0   533.821269         Stim
    115     1    18        1   377.996004         Stim
    116     1    16        1   801.396432         Stim
    117     1    17        1   216.811943         Stim
    118     6    26       -1    52.321989         Stim
    119     0    27        0  1466.637000         Stim
    120     6    28       -1    15.239652         Stim
    121     6    28        1   366.540683         Stim
    122     1    16        1   362.018624         Stim
    123     6    27        1   389.477586         Stim
    124     6    26        1   576.924969         Stim
    125     6    25        1   444.334838         Stim
    126     0    25        0  1466.637000         Stim
    127     1    15        1   285.128820         Stim
    128     1    17        1   296.625857         Stim
    129     0    28        0  1466.637000         Stim
    130     6    26        1   589.480544         Stim
    131     1    17        1   352.958205         Stim
    132     1    26        0   324.349786         Stim
    133     1    15        1   543.781210         Stim
    134     1    17        1   795.211465         Stim
    135     0    18        0  1466.637000         Stim
    136     1    16        1  1296.656888         Stim
    137     0    17        0  1466.637000         Stim
    138     6    28        1   441.498326         Stim
    139     6    26        1   353.072607         Stim
    140     6    27        1   280.498395         Stim
    141     6    28        1   351.893569         Stim
    142     1    18        1   303.323311         Stim
    143     1    26        0   186.785721         Stim
    144     6    25        1   266.910483         Stim
    145     1    15        1   216.779343         Stim
    146     1    17        1   233.754046         Stim
    147     1    16        1   117.215551         Stim
    148     6    27        1   279.922460         Stim
    149     6    28        1   347.354606         Stim
    150     1    18        1   270.779937         Stim
    151     1    16        1    42.186973         Stim
    152     1    15        1   413.639967         Stim
    153     1    17        1   279.763746         Stim
    154     1    16        1   273.744435         Stim
    155     1    15        1   445.263942         Stim
    156     0    17        0  1466.637000         Stim
