file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P09aBFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_20_1441
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4    19        0   374.039492         Stim
      2     1    28        0   252.774363         Stim
      3     1    18        1   313.850506         Stim
      4     4    26        1   229.125111         Stim
      5     1    17        1   178.801702         Stim
      6     1    16        1   227.988018         Stim
      7     1    27        0   331.695057         Stim
      8     1    16        1   365.475521         Stim
      9     1    15        1   264.470399         Stim
     10     0    15        0  1467.291000         Stim
     11     4    27        1   174.255743         Stim
     12     1    16        1   235.382295         Stim
     13     4    27        1   218.689931         Stim
     14     1    18        1   182.532951         Stim
     15     4    18        0   231.792014         Stim
     16     4    28        1   379.938373         Stim
     17     1    26        0   314.525156         Stim
     18     1    25        0   323.641525         Stim
     19     1    27        0   264.072250         Stim
     20     4    26        1   380.081755         Stim
     21     1    27        0   271.255832         Stim
     22     4    18        0   227.290729         Stim
     23     4    28        1   317.582057         Stim
     24     4    26        1   246.002816         Stim
     25     4    27        1   289.165886         Stim
     26     4    18        0   229.759312         Stim
     27     4    26        1   237.605167         Stim
     28     4    27        1   388.943055         Stim
     29     1    16        1   353.070122         Stim
     30     4    15       -1    18.775779         Stim
     31     4    27        1   240.757757         Stim
     32     1    28        0   375.664688         Stim
     33     4    16        0   271.600552         Stim
     34     4    17        0   210.819927         Stim
     35     1    26        0   278.600303         Stim
     36     1    27        0   376.605273         Stim
     37     4    26        1   318.946146         Stim
     38     1    17        1   396.030345         Stim
     39     1    16        1   383.371086         Stim
     40     1    17        1   439.203075         Stim
     41     1    18        1   348.323127         Stim
     42     4    28        1   449.864949         Stim
     43     4    28        1   459.873305         Stim
     44     4    18        0   334.923413         Stim
     45     4    26        1   291.062149         Stim
     46     1    15        1   393.646886         Stim
     47     1    27        0   277.261268         Stim
     48     1    16        1   296.286078         Stim
     49     4    27        1   195.645901         Stim
     50     1    18        1   236.233229         Stim
     51     4    18        0   319.423382         Stim
     52     1    18        1   471.984997         Stim
     53     1    18        1   458.511328         Stim
     54     1    16        1   351.906164         Stim
     55     1    27        0   300.328541         Stim
     56     4    28        1   419.728800         Stim
     57     4    26        1   286.193203         Stim
     58     4    17        0   179.812620         Stim
     59     1    16        1   351.025044         Stim
     60     4    25        1   316.655961         Stim
     61     4    15        0   281.073414         Stim
     62     4    25        1   341.368050         Stim
     63     1    27        0   366.362073         Stim
     64     4    28        1   267.798669         Stim
     65     4    26        1   209.022371         Stim
     66     4    15        0   255.339540         Stim
     67     4    25        1   218.491611         Stim
     68     4    17        0   288.525044         Stim
