file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P10BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_22_1406
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1467.593000         Stim
      2     1    28        0   427.234228         Stim
      3     1    18        1   441.670566         Stim
      4     4    26        1   342.125455         Stim
      5     1    17        1   487.199394         Stim
      6     1    16        1   466.205035         Stim
      7     4    27        1   318.609130         Stim
      8     1    16        1   254.924854         Stim
      9     1    15        1   434.370293         Stim
     10     1    15        1   480.654655         Stim
     11     4    27        1   638.470339         Stim
     12     1    16        1   518.551778         Stim
     13     4    27        1   462.444573         Stim
     14     1    18        1   705.886099         Stim
     15     1    18        1   826.764245         Stim
     16     4    28        1   754.996091         Stim
     17     4    26        1   476.555515         Stim
     18     4    25        1   408.610005         Stim
     19     4    27        1   537.594668         Stim
     20     4    26        1   459.935887         Stim
     21     4    27        1   492.945434         Stim
     22     1    18        1   448.744752         Stim
     23     4    28        1   559.069272         Stim
     24     4    26        1   558.521110         Stim
     25     1    27        0   397.866515         Stim
     26     1    18        1   594.478235         Stim
     27     4    26        1   491.990679         Stim
     28     4    27        1   498.428562         Stim
     29     1    16        1   488.792565         Stim
     30     1    15        1   494.203550         Stim
     31     4    27        1   610.047421         Stim
     32     4    28        1  1042.478018         Stim
     33     1    16        1   633.518469         Stim
     34     1    17        1   685.006445         Stim
     35     4    26        1   817.556273         Stim
     36     0    27        0  1467.593000         Stim
     37     4    26       -1    62.919988         Stim
     38     1    17        1   634.938981         Stim
     39     1    16        1   408.290043         Stim
     40     1    17        1   367.613473         Stim
     41     1    18        1   520.040207         Stim
     42     4    28        1   463.428004         Stim
     43     4    28        1   590.373964         Stim
     44     1    18        1   791.407804         Stim
     45     4    26        1   380.761510         Stim
     46     1    15        1   332.353927         Stim
     47     4    27        1   321.981714         Stim
     48     1    16        1   531.677478         Stim
     49     4    27        1   310.543362         Stim
     50     1    18        1   675.085198         Stim
     51     1    18        1   869.717679         Stim
     52     1    18        1   821.020921         Stim
     53     1    18        1   721.836222         Stim
     54     1    16        1   556.247868         Stim
     55     4    27        1   611.968100         Stim
     56     4    28        1   497.339483         Stim
     57     4    26        1   460.756922         Stim
     58     1    17        1   710.370100         Stim
     59     1    16        1   710.929430         Stim
     60     4    25        1   686.094316         Stim
     61     1    15        1   879.089858         Stim
     62     4    25        1   562.849053         Stim
     63     4    27        1   640.469499         Stim
     64     4    28        1   418.906755         Stim
     65     4    26        1   470.661869         Stim
     66     1    15        1   663.012053         Stim
     67     4    25        1   826.868988         Stim
     68     1    17        1   983.167265         Stim
     69     1    16        1  1005.548026         Stim
     70     4    27        1   783.111422         Stim
     71     1    16        1   682.729882         Stim
     72     4    25        1   646.952963         Stim
     73     4    25        1   904.353299         Stim
     74     1    17        1   662.632626         Stim
     75     1    18        1   729.285609         Stim
     76     4    26        1   639.671707         Stim
     77     4    27        1   974.662002         Stim
     78     4    28        1   712.041148         Stim
     79     4    26        1   422.835349         Stim
     80     1    17        1   669.813064         Stim
     81     4    28        1   683.182961         Stim
     82     4    28        1   635.194045         Stim
     83     1    16        1   568.533516         Stim
     84     1    15        1   520.986208         Stim
     85     1    17        1   671.572554         Stim
     86     4    26        1   478.084995         Stim
     87     1    15        1   491.017510         Stim
     88     1    15        1   639.468561         Stim
     89     4    25        1   528.044698         Stim
     90     1    25        0   575.644528         Stim
     91     4    27        1   926.019276         Stim
     92     1    16        1   608.572576         Stim
     93     4    25        1   593.557891         Stim
     94     1    25        0   547.584133         Stim
     95     4    25        1   399.986719         Stim
     96     1    15        1   507.987286         Stim
     97     4    17        0   689.389023         Stim
     98     4    26        1   596.285720         Stim
     99     1    15        1   782.749503         Stim
    100     4    25        1   557.852509         Stim
    101     4    27        1  1046.276212         Stim
    102     4    26        1   836.277993         Stim
    103     4    25        1   538.240932         Stim
    104     1    17        1   756.243642         Stim
    105     1    16        1   616.199451         Stim
    106     0    25        0  1467.593000         Stim
    107     4    25        1   608.622683         Stim
    108     1    15        1   579.910894         Stim
    109     0    27        0  1467.593000         Stim
    110     4    26        1   575.992261         Stim
    111     1    15        1   772.920924         Stim
    112     4    27        1   671.090196         Stim
    113     1    16        1   616.162927         Stim
    114     4    27        1   831.164935         Stim
    115     4    26        1   549.414861         Stim
    116     1    17        1   525.901856         Stim
    117     1    16        1   514.061741         Stim
    118     1    17        1   803.849811         Stim
    119     1    16        1   745.767593         Stim
    120     4    25        1   665.717848         Stim
    121     4    25        1   484.774925         Stim
    122     4    17        0   455.110795         Stim
    123     4    28        1   548.473991         Stim
    124     4    28        1   587.941948         Stim
    125     1    16        1   557.923143         Stim
    126     4    25        1   536.876866         Stim
    127     4    25        1   750.265176         Stim
    128     1    15        1   487.986018         Stim
    129     1    17        1   657.034493         Stim
