file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P10BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_22_1412
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1  1127.426809         Stim
      2     4   161        1   677.052060         Stim
      3     4   241        1   677.599015         Stim
      4     1   164        1   514.809728         Stim
      5     4   241        1   704.951266         Stim
      6     4   261        1   546.233047         Stim
      7     4   362        1   538.933077         Stim
      8     1   283        1   533.879785         Stim
      9     4   263        1   589.808898         Stim
     10     1   261        1   726.549327         Stim
     11     4   262        1   702.374966         Stim
     12     1   362        1   811.726318         Stim
     13     1   284        1   640.688643         Stim
     14     4   262        1   642.067198         Stim
     15     4   166        1   753.344059         Stim
     16     1   243        1   713.457736         Stim
     17     1   161        1  1124.992378         Stim
     18     4   344        1   471.851767         Stim
     19     4   386        1   595.042697         Stim
     20     4   182        1   663.648355         Stim
     21     1   242        1   732.540773         Stim
     22     1   161        1   655.622432         Stim
     23     1   142        1   611.325459         Stim
     24     4   341        1   629.715747         Stim
     25     4   382        1   586.490949         Stim
     26     4   181        1   650.437232         Stim
     27     1   142        1   611.632744         Stim
     28     1   142        1   616.562578         Stim
     29     1   341        0   624.543827         Stim
     30     1   281        1   494.290484         Stim
     31     4   361        1   629.106611         Stim
     32     1   183        1   571.952887         Stim
     33     1   342        1   846.484188         Stim
     34     4   181        1   673.393321         Stim
     35     4   341        0  1131.097320         Stim
     36     1   285        1   507.959516         Stim
     37     4   362        1   889.910622         Stim
     38     4   185        1   514.988424         Stim
     39     4   342        0  1060.159860         Stim
     40     1   381        1  1069.122428         Stim
     41     4   281        1   851.927169         Stim
     42     1   266        1   601.119566         Stim
     43     4   163        1   932.782555         Stim
     44     4   241        1   757.339664         Stim
     45     4   364        1  1012.146494         Stim
     46     1   383        1   736.269541         Stim
     47     1   181        1   926.077835         Stim
     48     1   141        1  1056.107809         Stim
     49     1   243        1   941.982982         Stim
     50     4   361        1   776.049914         Stim
     51     1   383        1  1055.911606         Stim
     52     1   184        1   823.458370         Stim
     53     1   142        1  1374.821983         Stim
     54     1   343        1   803.083411         Stim
     55     4   281        1   783.370713         Stim
     56     4   161        1   592.131643         Stim
     57     4   241        1   916.866844         Stim
     58     1   261        1   984.988635         Stim
     59     1   262        1   778.882184         Stim
     60     4   264        1   594.857964         Stim
     61     4   163        1   931.511460         Stim
     62     4   144        0   797.584586         Stim
     63     1   341        1   866.372865         Stim
     64     4   181        1  1151.141149         Stim
     65     4   341        1   531.898131         Stim
     66     4   183        1   732.697433         Stim
     67     1   343        1  1227.274072         Stim
     68     4   182        1   906.260697         Stim
     69     1   341        1   818.824350         Stim
     70     4   384        1  1089.528478         Stim
     71     1   385        1  1005.289038         Stim
     72     1   282        1   658.640341         Stim
