file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P10C1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_25_0955
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   121        1   741.661185         Stim
      2     6   241        1   670.438544         Stim
      3     1   161        1   663.200669         Stim
      4     6   243        1   608.028251         Stim
      5     1   362        1   736.980625         Stim
      6     1   384        1   769.769301         Stim
      7     1   183        1  1242.243614         Stim
      8     1   241        1   683.250771         Stim
      9     6   363        1   996.048117         Stim
     10     1   181        1   893.003941         Stim
     11     6   345        1   701.756584         Stim
     12     1   186        1   758.977690         Stim
     13     1   141        1  1024.246487         Stim
     14     6   341        1   713.084591         Stim
     15     1   283        1   865.803503         Stim
     16     1   262        1   786.835267         Stim
     17     6   261        0  1371.720612         Stim
     18     6   261        1  1324.479429         Stim
     19     6   161        1   813.247562         Stim
     20     1   341        1   878.005078         Stim
     21     6   381        1   742.809441         Stim
     22     1   281        1   615.570094         Stim
     23     6   363        1   744.370936         Stim
     24     1   382        1   665.323614         Stim
     25     6   181        1   770.221178         Stim
     26     1   142        1   730.995146         Stim
     27     1   141        1   707.883331         Stim
     28     6   141        1  1052.658571         Stim
     29     1   242        1   788.775891         Stim
     30     1   162        1   949.597492         Stim
     31     1   141        1  1278.484302         Stim
     32     6   341        1  1407.265826         Stim
     33     1   285        1   838.656191         Stim
     34     1   261        1   767.921044         Stim
     35     1   165        1   960.699108         Stim
     36     0   144        0  1516.636000         Stim
     37     1   341        1   818.946279         Stim
     38     6   184        1   843.778063         Stim
     39     1   241        1   836.837817         Stim
     40     6   264        1  1253.596374         Stim
     41     6   362        1   774.727267         Stim
     42     6   281        1   735.581830         Stim
     43     1   163        1   880.374336         Stim
     44     1   342        1  1177.358716         Stim
     45     6   282        1   730.216964         Stim
     46     1   361        1   874.434739         Stim
     47     6   382        1   891.238091         Stim
     48     6   381        1  1428.096525         Stim
     49     6   184        1  1138.810952         Stim
     50     6   143        0  1203.979292         Stim
     51     1   344        1   972.955017         Stim
     52     6   183        1  1077.298073         Stim
     53     1   244        1   646.393997         Stim
     54     1   261        1  1287.443655         Stim
     55     6   363        1  1104.229258         Stim
     56     6   283        1  1033.198897         Stim
     57     6   162        1   906.205259         Stim
     58     1   341        1  1195.068839         Stim
     59     6   283        1   907.853085         Stim
     60     6   265        1   804.830039         Stim
     61     6   262        1   822.036971         Stim
     62     1   364        1  1446.885175         Stim
     63     6   282        1   744.003881         Stim
     64     6   162        1   696.940490         Stim
     65     1   341        1   825.763670         Stim
     66     6   182        1   874.547331         Stim
     67     6   142        1   723.475037         Stim
     68     6   343        1  1044.303532         Stim
     69     6   382        1  1157.276618         Stim
     70     6   286        1   709.564662         Stim
     71     1   366        1   974.839798         Stim
     72     1   281        1   800.108728         Stim
      1     6   221        1  1053.323557         Stim
      2     1   262        1   622.029786         Stim
      3     1   361        1   766.914661         Stim
      4     6   385        1   655.692031         Stim
      5     6   182        1   632.862148         Stim
      6     1   141        1   777.719855         Stim
      7     1   145        1   730.509461         Stim
      8     6   243        1  1219.696871         Stim
      9     6   261        1  1436.752513         Stim
     10     1   161        1   869.532617         Stim
     11     6   343        1  1270.308867         Stim
     12     6   281        1   783.258891         Stim
     13     6   164        1  1032.072073         Stim
     14     1   344        1   937.081686         Stim
     15     1   383        1   633.544340         Stim
     16     0   181        0  1516.637000         Stim
     17     1   341        1   851.307228         Stim
     18     1   281        1   596.103779         Stim
     19     1   361        1   772.821355         Stim
     20     6   181        1  1045.611771         Stim
     21     0   341        0  1516.637000         Stim
     22     6   281       -1     0.206167         Stim
     23     1   265        1   895.923179         Stim
     24     6   361        1   777.136068         Stim
     25     1   382        1  1289.947843         Stim
     26     1   183        1   802.794330         Stim
     27     1   244        1   683.786261         Stim
     28     6   162        1   828.847721         Stim
     29     6   143        1  1157.739361         Stim
     30     1   142        1   862.713113         Stim
     31     6   246        1   879.644753         Stim
     32     0   161        0  1516.637000         Stim
     33     6   142       -1    17.717670         Stim
     34     1   144        1  1329.895911         Stim
     35     6   241        1  1450.988590         Stim
     36     6   163        1  1035.771908         Stim
     37     0   342        0  1516.637000         Stim
     38     6   281        1   869.604760         Stim
     39     1   364        1  1046.399914         Stim
     40     1   186        1  1295.524912         Stim
     41     6   342        1  1248.771225         Stim
     42     6   282        1   825.687904         Stim
     43     1   363        1   954.534327         Stim
     44     1   382        1   907.571454         Stim
     45     6   284        1  1204.365364         Stim
     46     6   361        1   933.516177         Stim
     47     0   281        0  1516.637000         Stim
     48     6   364        1   679.095740         Stim
     49     1   381        1   832.141560         Stim
     50     6   181        1  1008.909245         Stim
     51     1   242        1  1025.708672         Stim
     52     6   363        1   906.563561         Stim
     53     1   182        1   850.933229         Stim
     54     6   346        1   651.831610         Stim
     55     1   283        1   629.103754         Stim
     56     6   261        1   742.085291         Stim
     57     1   161        1   926.855449         Stim
     58     6   144        1   783.650698         Stim
     59     6   245        1   672.741696         Stim
     60     1   263        1  1369.933027         Stim
     61     6   362        1  1274.926944         Stim
     62     1   182        1   939.820113         Stim
     63     1   242        1   724.723509         Stim
     64     6   163        1   917.548058         Stim
     65     1   242        1  1070.511170         Stim
     66     6   161        1  1319.407966         Stim
     67     6   341        1   920.221586         Stim
     68     1   382        1   856.970627         Stim
     69     1   283        1   825.890751         Stim
     70     1   161        1  1162.163345         Stim
     71     1   241        1   866.986170         Stim
     72     1   361        1   971.718921         Stim
