file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P10C2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_25_1125
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   321        1  1040.758247         Stim
      2     6   284        1   624.802927         Stim
      3     6   163        1  1025.902463         Stim
      4     1   342        1  1322.858468         Stim
      5     6   183        1  1067.765499         Stim
      6     1   344        1  1084.740002         Stim
      7     1   381        1  1005.846324         Stim
      8     1   282        1   630.606991         Stim
      9     1   363        1   783.513656         Stim
     10     6   181        1   992.477476         Stim
     11     1   145        1   881.289258         Stim
     12     6   241        1  1434.452983         Stim
     13     1   263        1   619.241252         Stim
     14     6   164        1   804.184975         Stim
     15     1   142        1   861.290773         Stim
     16     1   243        1   814.183614         Stim
     17     1   261        1   815.189394         Stim
     18     6   365        1  1119.947743         Stim
     19     1   183        1  1057.152887         Stim
     20     6   142        1  1033.436457         Stim
     21     6   241        1  1114.354071         Stim
     22     0   361        0  1516.638000         Stim
     23     1   282        1  1027.912212         Stim
     24     1   162        1   996.804263         Stim
     25     6   343        1  1285.667239         Stim
     26     6   286        1  1006.652880         Stim
     27     1   162        1  1095.931571         Stim
     28     1   141        1   736.866826         Stim
     29     1   344        1   777.654051         Stim
     30     6   281        1   938.728606         Stim
     31     1   362        1  1099.468403         Stim
     32     6   381        1  1308.386643         Stim
     33     1   281        1   580.468304         Stim
     34     6   263        1   725.283449         Stim
     35     0   362        0  1516.638000         Stim
     36     6   281        1   711.152116         Stim
     37     6   161        1   927.886887         Stim
     38     1   244        1  1072.711993         Stim
     39     1   262        1   913.790267         Stim
     40     1   362        1   986.603986         Stim
     41     0   281        0  1516.638000         Stim
     42     6   362        1  1076.257882         Stim
     43     0   285        0  1516.638000         Stim
     44     6   361        1   910.372667         Stim
     45     1   383        1  1039.177132         Stim
     46     6   384        1  1272.120901         Stim
     47     1   181        1  1193.254088         Stim
     48     6   242        1   842.030927         Stim
     49     6   163        1   882.912331         Stim
     50     1   341        1   899.850612         Stim
     51     1   181        1   628.660933         Stim
     52     6   241        1   852.764281         Stim
     53     1   162        1   749.516957         Stim
     54     1   144        1   686.419945         Stim
     55     1   241        1   895.512657         Stim
     56     6   265        1   776.264311         Stim
     57     1   263        1   865.421656         Stim
     58     6   164        1  1066.468127         Stim
     59     1   341        1  1051.540501         Stim
     60     6   181        1   812.294909         Stim
     61     1   242        1   573.106970         Stim
     62     6   362        1  1181.937250         Stim
     63     1   186        1   702.848996         Stim
     64     6   142        1   792.194699         Stim
     65     6   341        1   921.041423         Stim
     66     6   383        1  1281.793235         Stim
     67     1   381        1   906.811686         Stim
     68     0   181        0  1516.638000         Stim
     69     6   241        1   732.318779         Stim
     70     6   366        1   733.117487         Stim
     71     6   181        1   805.739528         Stim
     72     1   141        1   790.557136         Stim
