file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P10E1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_26_1257
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1  1095.587456         Stim
      2     1   242        0  1000.449160         Stim
      3     1   262        1   929.320999         Stim
      4     1   163        1   882.212934         Stim
      5     6   141        1   979.188620         Stim
      6     1   146        1   891.993633         Stim
      7     1   344        1  1301.296980         Stim
      8     6   281        0  1374.393838         Stim
      9     6   161        1  1047.174775         Stim
     10     6   245        1  1055.965089         Stim
     11     1   161        1  1161.129492         Stim
     12     6   243        1   809.934102         Stim
     13     6   261        1   730.251376         Stim
     14     1   165        1   755.011318         Stim
     15     1   143        1  1300.202152         Stim
     16     6   341        1  1005.187979         Stim
     17     1   281        1   941.983506         Stim
     18     1   261        1  1182.731732         Stim
     19     1   361        1  1111.546218         Stim
     20     6   383        1   840.317901         Stim
     21     1   386        1   913.260210         Stim
     22     1   281        1   890.567973         Stim
     23     6   362        1  1027.359818         Stim
     24     6   182        1  1172.215110         Stim
     25     6   242        1  1101.115625         Stim
     26     6   362        1   893.996138         Stim
     27     6   184        1  1006.881082         Stim
     28     1   342        1  1199.974584         Stim
     29     6   282        1   880.834363         Stim
     30     1   163        1   849.730338         Stim
     31     6   241        1   914.717263         Stim
     32     1   162        1  1370.885379         Stim
     33     6   343        1   867.688888         Stim
     34     1   181        1  1268.668286         Stim
     35     1   245        1   733.449225         Stim
     36     6   363        1  1214.634766         Stim
     37     6   181        1   935.632783         Stim
     38     6   143        1   728.422437         Stim
     39     6   241        1   849.403429         Stim
     40     1   361        1   978.169558         Stim
     41     6   286        1   730.960734         Stim
     42     0   161        0  1516.637000         Stim
     43     0   141        0  1516.637000         Stim
     44     6   342        1   693.793050         Stim
     45     6   182        1   862.711604         Stim
     46     1   345        0  1159.545057         Stim
     47     6   283        1   976.919578         Stim
     48     1   263        1   921.761951         Stim
     49     6   264        1  1034.736546         Stim
     50     0   262        0  1516.637000         Stim
     51     6   162        1   820.046842         Stim
     52     1   241        1   836.912979         Stim
     53     1   364        1  1045.688744         Stim
     54     6   383        1  1022.795471         Stim
     55     0   181        0  1516.637000         Stim
     56     6   341        1  1184.537125         Stim
     57     6   283        1   737.338021         Stim
     58     1   361        1   890.312906         Stim
     59     1   382        1   947.067345         Stim
     60     6   184        1   907.983184         Stim
     61     6   341        1  1213.047614         Stim
     62     1   384        1   909.864947         Stim
     63     6   381        1  1062.929785         Stim
     64     6   184        1  1127.684583         Stim
     65     6   341        0  1360.788336         Stim
     66     1   181        1  1057.570956         Stim
     67     1   341        1  1042.354154         Stim
     68     1   281        1   939.142449         Stim
     69     6   162        1   843.890655         Stim
     70     1   244        1   564.812000         Stim
     71     1   261        1   741.209007         Stim
     72     1   362        1   742.010432         Stim
