file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P10E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_26_1404
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1   756.998126         Stim
      2     6   342        1  1046.080551         Stim
      3     1   285        1   726.315793         Stim
      4     1   161        1   799.523130         Stim
      5     6   242        1   816.291466         Stim
      6     6   265        1   673.173046         Stim
      7     1   161        1  1306.367537         Stim
      8     1   241        1   923.122712         Stim
      9     1   165        1   659.941845         Stim
     10     1   241        1  1237.130194         Stim
     11     6   161        1  1013.859663         Stim
     12     6   241        1  1342.640523         Stim
     13     1   362        1   991.436983         Stim
     14     1   281        1  1040.319652         Stim
     15     6   361        1  1121.083924         Stim
     16     6   181        1   993.848803         Stim
     17     6   346        1  1002.637004         Stim
     18     6   381        1   947.947251         Stim
     19     1   284        1   908.737519         Stim
     20     6   362        1  1045.802241         Stim
     21     6   281        1  1430.658366         Stim
     22     1   162        1   895.471906         Stim
     23     6   144        1   920.342629         Stim
     24     1   141        1  1048.751966         Stim
     25     1   341        1  1385.521413         Stim
     26     1   182        1   746.333596         Stim
     27     6   246        1   907.179949         Stim
     28     1   161        1   852.507704         Stim
     29     1   344        1   957.253133         Stim
     30     1   381        1   942.353580         Stim
     31     6   383        1   807.131984         Stim
     32     6   381        1   912.092636         Stim
     33     1   184        1   920.871177         Stim
     34     6   342        1  1201.999124         Stim
     35     1   282        1   954.829843         Stim
     36     6   161        1  1027.728986         Stim
     37     1   342        1   796.508204         Stim
     38     6   183        1   725.408719         Stim
     39     6   243        1   790.403794         Stim
     40     6   161        1   783.382651         Stim
     41     1   242        1   784.173813         Stim
     42     1   361        1  1337.008516         Stim
     43     1   283        1   961.827139         Stim
     44     1   262        1  1434.794985         Stim
     45     6   361        1  1251.004045         Stim
     46     1   283        1   851.792610         Stim
     47     6   261        1   916.750859         Stim
     48     0   364        0  1516.631000         Stim
     49     6   182        1   758.639009         Stim
     50     1   341        1  1183.527723         Stim
     51     6   281        1  1016.290802         Stim
     52     6   163        1   737.079633         Stim
     53     6   345        1   818.044941         Stim
     54     1   381        1  1123.203851         Stim
     55     1   182        1   851.997569         Stim
     56     6   244        1   868.889364         Stim
     57     6   261        1  1133.971615         Stim
     58     6   261        1  1310.763448         Stim
     59     0   162        0  1516.631000         Stim
     60     6   344        1  1184.388915         Stim
     61     1   382        1  1193.493459         Stim
     62     1   282        1  1146.391130         Stim
     63     1   363        1  1187.275552         Stim
     64     6   181        1   900.254192         Stim
     65     6   343        1   917.067807         Stim
     66     0   283        0  1516.631000         Stim
     67     1   163        1  1038.331335         Stim
     68     0   241        0  1516.631000         Stim
     69     1   363        1  1000.093575         Stim
     70     6   182        1  1217.066810         Stim
     71     1   146        1  1425.956374         Stim
     72     6   143        1   731.288549         Stim
      1     6   123        1   980.621525         Stim
      2     1   241        1   845.617566         Stim
      3     1   161        1   798.436754         Stim
      4     1   143        1   815.173396         Stim
      5     6   243        1   920.166648         Stim
      6     1   261        1  1057.124211         Stim
      7     6   164        1  1377.925841         Stim
      8     6   142        1   883.068390         Stim
      9     1   141        1   811.906120         Stim
     10     1   341        1   932.693019         Stim
     11     1   185        1   837.435490         Stim
     12     6   342        1   773.979270         Stim
     13     6   283        1  1014.821675         Stim
     14     1   361        1  1047.808368         Stim
     15     6   184        1  1096.626440         Stim
     16     1   141        1   801.692560         Stim
     17     6   241        1   882.462266         Stim
     18     6   361        1  1243.247583         Stim
     19     1   381        1   996.020950         Stim
     20     6   182        1  1124.794022         Stim
     21     6   245        1   917.687514         Stim
     22     1   362        1  1086.865362         Stim
     23     6   182        1   975.767096         Stim
     24     6   142        1   928.644844         Stim
     25     1   241        1   921.510204         Stim
     26     6   261        1  1034.326325         Stim
     27     1   163        1   979.097762         Stim
     28     1   141        1  1268.030769         Stim
     29     1   241        1  1036.800025         Stim
     30     6   362        1   981.614024         Stim
     31     1   384        1  1174.487775         Stim
     32     1   384        1  1023.543769         Stim
     33     1   282        0  1423.982546         Stim
     34     1   364        1   840.874824         Stim
     35     0   184        0  1516.636000         Stim
     36     1   341        1   819.068229         Stim
     37     1   186        1  1379.834771         Stim
     38     6   243        1   909.158607         Stim
     39     6   262        1  1326.137215         Stim
     40     1   261        1   823.023734         Stim
     41     1   262        1   879.785719         Stim
     42     6   266        1   920.657464         Stim
     43     1   366        1  1033.959571         Stim
     44     1   283        1   859.278911         Stim
     45     1   264        1   868.232227         Stim
     46     6   161        1   869.365993         Stim
     47     6   343        1   822.147751         Stim
     48     1   285        1  1007.165731         Stim
     49     0   262        0  1516.636000         Stim
     50     6   161        1   905.215478         Stim
     51     1   141        1  1017.283904         Stim
     52     6   244        1  1018.081405         Stim
     53     6   363        1  1035.153105         Stim
     54     1   281        1   844.143911         Stim
     55     1   162        1   876.944662         Stim
     56     1   241        1   941.799978         Stim
     57     1   362        1  1134.567779         Stim
     58     6   382        1   783.507619         Stim
     59     6   181        1   816.380211         Stim
     60     6   341        1   929.140791         Stim
     61     6   381        1   913.906179         Stim
     62     6   282        0   850.653712         Stim
     63     6   363        1   867.548525         Stim
     64     1   182        1  1164.511474         Stim
     65     1   342        1   853.417193         Stim
     66     6   281        1  1462.258641         Stim
     67     0   363        0  1516.636000         Stim
     68     6   181        1   824.034344         Stim
     69     6   345        1  1160.819186         Stim
     70     1   183        1  1058.045170         Stim
     71     1   341        1   875.031204         Stim
     72     6   381        1   963.842624         Stim
