file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P11BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_21_1138
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1   761.113754         Stim
      2     4   161        1   636.875640         Stim
      3     4   241        1   409.526351         Stim
      4     1   164        1   446.317531         Stim
      5     4   241        1   560.630301         Stim
      6     4   261        1   751.355638         Stim
      7     4   362        1   560.584720         Stim
      8     1   283        1   458.555399         Stim
      9     4   263        1   415.210309         Stim
     10     1   261        1   606.221203         Stim
     11     4   262        1   679.981961         Stim
     12     1   362        1   582.439134         Stim
     13     1   284        1   348.307128         Stim
     14     4   262        1   572.033837         Stim
     15     4   166        1   430.076744         Stim
     16     1   243        1   472.134416         Stim
     17     1   161        1   461.574568         Stim
     18     4   344        1   747.455048         Stim
     19     4   386        1   563.907255         Stim
     20     4   182        1   647.181324         Stim
     21     1   242        1   580.244637         Stim
     22     1   161        1   385.251652         Stim
     23     1   142        1   453.966274         Stim
     24     4   341        1   547.041021         Stim
     25     4   382        1   476.186538         Stim
     26     4   181        1   404.100178         Stim
     27     1   142        1   508.883336         Stim
     28     1   142        1   381.842786         Stim
     29     4   341        1   501.201993         Stim
     30     1   281        1   503.097652         Stim
     31     4   361        1   659.771157         Stim
     32     0   183        0  1517.443000         Stim
     33     1   342        1   595.108354         Stim
     34     4   181        1   517.128849         Stim
     35     1   341        1   442.931305         Stim
     36     1   285        1   454.716388         Stim
     37     4   362        1   450.549862         Stim
     38     4   185        1   572.473944         Stim
     39     0   342        0  1517.443000         Stim
     40     1   381        1   389.235554         Stim
     41     4   281        1   408.637987         Stim
     42     1   266        1   452.322665         Stim
     43     4   163        1   534.509749         Stim
     44     4   241        1   406.443188         Stim
     45     4   364        1   612.920607         Stim
     46     1   383        1   560.976832         Stim
     47     1   181        1   458.639013         Stim
     48     1   141        1   471.481500         Stim
     49     1   243        1   788.311934         Stim
     50     4   361        1   814.871989         Stim
     51     1   383        1   555.572694         Stim
     52     1   184        1   640.740007         Stim
     53     1   142        1   515.133276         Stim
     54     4   343        0   697.849151         Stim
     55     4   281        1   501.992857         Stim
     56     4   161        1   498.841173         Stim
     57     4   241        1   465.617635         Stim
     58     1   261        1   457.314769         Stim
     59     1   262        1   448.141047         Stim
     60     4   264        1   495.450720         Stim
     61     4   163        1   496.148914         Stim
     62     1   144        1   790.317167         Stim
     63     4   341        0   575.055723         Stim
     64     1   181        0   380.877449         Stim
     65     1   341        0   605.621112         Stim
     66     4   183        1   543.834399         Stim
     67     4   343        0   655.955086         Stim
     68     4   182        1   447.071267         Stim
     69     1   341        1   800.648810         Stim
     70     4   384        1   547.271338         Stim
     71     1   385        1   588.643191         Stim
     72     1   282        1   596.473350         Stim
