file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P12BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_20_1532
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1   666.875350         Stim
      2     4   161        1   819.500657         Stim
      3     4   241        1   620.354126         Stim
      4     1   164        1   555.021504         Stim
      5     4   241        1   523.389354         Stim
      6     4   261        1   545.461406         Stim
      7     4   362        1   629.358808         Stim
      8     1   283        1   576.336500         Stim
      9     4   263        1   557.082581         Stim
     10     1   261        1   548.965960         Stim
     11     4   262        1   455.773791         Stim
     12     1   362        1   585.177274         Stim
     13     1   284        1   556.040874         Stim
     14     4   262        1   576.687257         Stim
     15     4   166        1   563.847488         Stim
     16     1   243        1   602.892933         Stim
     17     1   161        1   577.255049         Stim
     18     4   344        1   654.265897         Stim
     19     4   386        1   588.974328         Stim
     20     4   182        1   606.924529         Stim
     21     1   242        1   667.986182         Stim
     22     1   161        1   642.955936         Stim
     23     1   142        1   558.245936         Stim
     24     4   341        1   563.845073         Stim
     25     4   382        1   599.894290         Stim
     26     4   181        1   543.933106         Stim
     27     1   142        1   507.685267         Stim
     28     1   142        1  1062.977235         Stim
     29     4   341        1   567.900817         Stim
     30     1   281        1   541.843052         Stim
     31     4   361        1   499.421039         Stim
     32     1   183        1   518.420192         Stim
     33     1   342        1   849.885838         Stim
     34     4   181        1   485.961256         Stim
     35     1   341        1   679.668332         Stim
     36     1   285        1   698.484559         Stim
     37     4   362        1   794.338500         Stim
     38     4   185        1   564.192208         Stim
     39     1   342        1   794.263941         Stim
     40     1   381        1   923.585621         Stim
     41     4   281        1   551.422469         Stim
     42     1   266        1   528.185552         Stim
     43     4   163        1   535.209150         Stim
     44     4   241        1   515.074716         Stim
     45     4   364        1   907.549492         Stim
     46     1   383        1   882.462195         Stim
     47     1   181        1   917.418994         Stim
     48     1   141        1   660.209150         Stim
     49     1   243        1   790.004141         Stim
     50     4   361        1   637.588625         Stim
     51     1   383        1   798.327232         Stim
     52     1   184        1   736.502787         Stim
     53     1   142        1   771.240437         Stim
     54     1   343        1   754.928412         Stim
     55     4   281        1   570.701744         Stim
     56     4   161        1   732.526732         Stim
     57     4   241        1   537.319429         Stim
     58     1   261        1   911.113211         Stim
     59     1   262        1   586.776510         Stim
     60     4   264        1   534.295431         Stim
     61     4   163        1   962.601182         Stim
     62     1   144        1   620.108415         Stim
     63     1   341        1   635.843291         Stim
     64     4   181        1   624.614227         Stim
     65     4   341        1   863.450969         Stim
     66     4   183        1   779.175642         Stim
     67     1   343        1   831.749391         Stim
     68     4   182        1   779.905833         Stim
     69     1   341        1   648.181073         Stim
     70     4   384        1   660.957755         Stim
     71     1   385        1   740.357797         Stim
     72     1   282        1   847.645760         Stim
