file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P12BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_20_1524
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1123.256175         Stim
      2     4     6        1   443.198750         Stim
      3     1     7        1  3091.094568         Stim
      4     4     8        1  1313.115184         Stim
      5     4     6        1   914.498230         Stim
      6     4     8        1   897.408622         Stim
      7     1     5        1   573.005815         Stim
      8     1     7        1   809.242666         Stim
      9     1     5        1   910.413507         Stim
     10     1     7        1   809.460305         Stim
     11     4     8        1   676.594225         Stim
     12     4     6        1   669.568816         Stim
     13     1     5        1   614.144333         Stim
     14     4     8        1   721.932473         Stim
     15     4     6        1   765.126333         Stim
     16     1     7        1   631.814713         Stim
     17     4     6        1   580.692290         Stim
     18     1     7        1   886.255928         Stim
     19     4     6        1   535.388151         Stim
     20     4     8        1   712.110967         Stim
     21     4     6        1   670.398620         Stim
     22     4     8        1   665.422213         Stim
     23     4     8        1   663.929834         Stim
     24     1     5        1   624.512200         Stim
     25     1     7        1   765.749063         Stim
     26     1     5        1   462.137229         Stim
     27     1     7        1   753.511497         Stim
     28     1     5        1   628.458069         Stim
     29     1     5        1   507.270818         Stim
     30     4     6        1   490.816619         Stim
     31     1     7        1   834.915867         Stim
     32     4     8        1   570.056073         Stim
     33     4     6        1   582.241116         Stim
     34     4     8        1   544.754458         Stim
     35     1     5        1   609.141665         Stim
     36     1     7        1   740.499971         Stim
     37     1     5        1   679.079712         Stim
     38     1     7        1   647.065109         Stim
     39     4     8        1   544.321294         Stim
     40     4     6        1   495.627306         Stim
