file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P12C1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_29_1413
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   223        1  1206.617802         Stim
      2     6   361        1  1175.557878         Stim
      3     1   181        1  1112.363417         Stim
      4     6   243        1  1057.130748         Stim
      5     1   364        1  1002.140773         Stim
      6     6   285        1  1123.186818         Stim
      7     6   362        1  1027.735870         Stim
      8     1   384        1  1124.658373         Stim
      9     1   281        1  1053.720665         Stim
     10     1   361        1  1078.491691         Stim
     11     6   383        1   983.297020         Stim
     12     1   281        1   976.237178         Stim
     13     6   261        1  1161.041855         Stim
     14     6   263        1  1073.792978         Stim
     15     1   163        1  1050.792044         Stim
     16     1   143        1   915.723815         Stim
     17     6   343        1  1172.726757         Stim
     18     1   181        1   933.729914         Stim
     19     6   144        1   934.479426         Stim
     20     6   341        1  1375.577680         Stim
     21     1   181        1  1032.382965         Stim
     22     1   342        1   945.138012         Stim
     23     1   386        1   930.025217         Stim
     24     6   181        1  1011.304260         Stim
     25     1   142        1  1108.108133         Stim
     26     1   242        1   989.006654         Stim
     27     1   364        1   997.858020         Stim
     28     6   284        1  1270.303083         Stim
     29     6   363        1  1135.385783         Stim
     30     1   381        1   968.366547         Stim
     31     6   184        1  1225.122569         Stim
     32     6   142        1  1154.254590         Stim
     33     6   144        1  1091.138914         Stim
     34     1   342        1   996.200520         Stim
     35     6   281        1  1189.095883         Stim
     36     6   362        1  1085.858220         Stim
     37     1   281        1   998.728576         Stim
     38     1   362        1  1167.516999         Stim
     39     1   181        1  1112.377302         Stim
     40     1   141        1  1057.136182         Stim
     41     6   141        1  1305.945505         Stim
     42     1   146        1  1106.632352         Stim
     43     1   243        1  1148.019725         Stim
     44     6   162        1  1100.995767         Stim
     45     6   242        1  1245.893380         Stim
     46     1   261        1  1118.121650         Stim
     47     6   162        1  1158.837994         Stim
     48     1   341        1  1127.758751         Stim
     49     6   383        1  1296.506423         Stim
     50     6   385        1  1097.501164         Stim
     51     1   281        1  1162.701769         Stim
     52     6   163        1  1099.572811         Stim
     53     6   341        1  1196.450337         Stim
     54     6   182        1  1061.211559         Stim
     55     1   241        1  1222.083770         Stim
     56     1   162        1  1150.902161         Stim
     57     1   242        1  1023.773991         Stim
     58     6   362        1  1168.640814         Stim
     59     6   286        1  1489.478457         Stim
     60     6   161        1  1138.816996         Stim
     61     1   145        1  1155.626834         Stim
     62     6   341        1  1116.798910         Stim
     63     6   282        1  1141.573559         Stim
     64     1   261        1  1062.478153         Stim
     65     1   361        1  1271.255443         Stim
     66     1   285        1  1047.991108         Stim
     67     6   262        1  1320.542124         Stim
     68     1   264        1  1049.427044         Stim
     69     6   161        1  1242.509256         Stim
     70     6   341        0  1267.279981         Stim
     71     1   183        1  1028.086025         Stim
     72     6   241        1  1333.026344         Stim
