file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P12C2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_29_1524
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   942.288205         Stim
      2     6    25        1   841.719841         Stim
      3     6    25        1  1020.584749         Stim
      4     6    27        1   846.360293         Stim
      5     1    18        1   911.593101         Stim
      6     6    28        1   993.076899         Stim
      7     6    26        1   909.720474         Stim
      8     6    27        1   838.382805         Stim
      9     1    16        1   677.140255         Stim
      10    6    27        1   868.073503         Stim
      11    1    16        1   592.025394         Stim
      12    1    17        1  1016.763859         Stim
      13    1    16        1   870.303465         Stim
      14    1    15        1   714.297789         Stim
      15    1    15        1   819.011707         Stim
      16    1    15        1   821.188401         Stim
      17    6    27        1  1036.365974         Stim
      18    6    28        1   729.855694         Stim
      19    6    28        1  1069.123545         Stim
      20    6    26        1   921.753417         Stim
      21    1    17        1   898.525767         Stim
      22    1    16        1   993.756718         Stim
      23    6    27        1   904.555335         Stim
      24    6    18        0  1085.251601         Stim
      25    1    18        1  1373.925884         Stim
      26    6    28        1  1049.892222         Stim
      27    6    28        1   953.857127         Stim
      28    6    26        1   591.454657         Stim
      29    1    17        1   854.516109         Stim
      30    1    16        1   702.392401         Stim
      31    1    17        1   979.083512         Stim
      32    1    18        1   934.529910         Stim
      33    1    18        1   890.231953         Stim
      34    6    26        1   856.058973         Stim
      35    6    27        1   983.448044         Stim
      36    1    18        1   838.249384         Stim
      37    1    16        1   964.697469         Stim
      38    6    27        1   932.592600         Stim
      39    6    26        1   987.554489         Stim
      40    6    27        1   868.769132         Stim
      41    6    28        1   909.280282         Stim
      42    6    28        1   904.744297         Stim
      43    1    18        1   909.284592         Stim
      44    6    26        1  1164.157893         Stim
      45    1    15        1   710.914441         Stim
      46    1    15        1   730.972567         Stim
      47    6    27        1   795.676581         Stim
      48    1    16        1  1039.542722         Stim
      49    1    15        1   821.841016         Stim
      50    6    27        1  1017.387795         Stim
      51    6    26        1   923.011397         Stim
      52    6    27        1   768.595293         Stim
      53    6    26        1   809.864403         Stim
      54    1    17        1   909.923235         Stim
      55    1    18        1   925.154143         Stim
      56    6    26        1   936.175023         Stim
      57    6    27        1   777.756312         Stim
