file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P12C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_29_1530
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   982.662515         Stim
      2     6   182        1  1014.759924         Stim
      3     1   344        1  1031.669072         Stim
      4     1   381        1   624.712707         Stim
      5     6   182        1   905.528881         Stim
      6     1   244        1   962.355961         Stim
      7     1   361        1  1075.489417         Stim
      8     1   384        1   964.114583         Stim
      9     1   185        1  1029.370428         Stim
     10     1   141        1   862.600828         Stim
     11     6   144        1  1055.326546         Stim
     12     1   143        1  1112.408092         Stim
     13     1   346        1   881.401717         Stim
     14     6   285        1  1218.704476         Stim
     15     6   262        1  1035.899906         Stim
     16     6   363        1  1164.785793         Stim
     17     1   281        1   861.798189         Stim
     18     6   161        1   862.557360         Stim
     19     1   341        1   783.312837         Stim
     20     6   181        1   864.087174         Stim
     21     6   343        1   992.189740         Stim
     22     1   382        1  1073.171151         Stim
     23     6   184        1  1074.096344         Stim
     24     1   141        1   955.151529         Stim
     25     6   343        1  1115.903601         Stim
     26     1   282        1  1012.804491         Stim
     27     6   263        1  1061.791126         Stim
     28     6   163        1  1366.785176         Stim
     29     1   141        1   959.753346         Stim
     30     1   141        1  1080.515645         Stim
     31     6   241        1  1025.304408         Stim
     32     6   362        1  1042.088588         Stim
     33     6   381        1   978.917672         Stim
     34     1   281        1   955.740151         Stim
     35     6   365        1  1084.515256         Stim
     36     1   181        1  1109.692582         Stim
     37     1   341        1   966.463939         Stim
     38     6   283        1   967.216772         Stim
     39     1   261        1  1080.271744         Stim
     40     6   361        1  1097.002797         Stim
     41     1   285        1  1105.770549         Stim
     42     6   162        1  1154.296548         Stim
     43     6   342        1   939.177535         Stim
     44     6   381        1   772.086759         Stim
     45     6   282        1   996.825365         Stim
     46     1   261        1   973.678936         Stim
     47     1   166        1   942.498269         Stim
     48     6   243        1  1047.789770         Stim
     49     6   262        1  1056.797196         Stim
     50     6   261        1   953.661561         Stim
     51     1   163        1  1090.453396         Stim
     52     6   244        1  1091.423264         Stim
     53     6   261        1  1012.515010         Stim
     54     1   362        1  1141.279248         Stim
     55     1   282        1  1046.117781         Stim
     56     1   364        1  1095.044044         Stim
     57     1   182        1  1304.153076         Stim
     58     1   241        1  1033.031355         Stim
     59     6   361        1  1137.809095         Stim
     60     6   286        1  1042.585445         Stim
     61     6   161        1  1235.881372         Stim
     62     1   241        1  1052.632469         Stim
     63     1   163        1  1044.740707         Stim
     64     1   342        1  1061.707813         Stim
     65     6   182        1  1062.620630         Stim
     66     1   241        1   935.494270         Stim
     67     6   362        1  1120.435689         Stim
     68     1   283        1   737.219808         Stim
     69     1   162        1   770.147023         Stim
     70     6   144        1   939.038681         Stim
     71     6   141        1  1052.113877         Stim
     72     6   343        1  1132.878253         Stim
      1     6   321        1  1066.910628         Stim
      2     6   284        1  1043.670623         Stim
      3     6   163        1  1124.753458         Stim
      4     1   342        1  1085.743212         Stim
      5     6   183        1  1189.987570         Stim
      6     1   344        1  1014.942547         Stim
      7     1   381        1  1080.047464         Stim
      8     1   282        1  1064.841697         Stim
      9     1   363        1  1153.713360         Stim
     10     6   181        1   906.697975         Stim
     11     1   145        1  1019.443242         Stim
     12     6   241        1  1156.642283         Stim
     13     1   263        1  1069.430836         Stim
     14     6   164        1   790.340380         Stim
     15     1   142        1  1023.529185         Stim
     16     1   243        1  1056.392707         Stim
     17     1   261        1  1017.367670         Stim
     18     6   365        1  1010.169577         Stim
     19     1   183        1  1027.328664         Stim
     20     6   142        1  1164.365305         Stim
     21     6   241        1  1069.223762         Stim
     22     1   361        1  1117.992153         Stim
     23     1   282        1  1086.748398         Stim
     24     1   162        1   766.979632         Stim
     25     6   343        1   791.817067         Stim
     26     6   286        1  1000.842484         Stim
     27     1   162        1  1162.161746         Stim
     28     1   141        1  1052.128970         Stim
     29     1   344        1  1195.814928         Stim
     30     6   281        1  1068.893529         Stim
     31     1   362        1  1341.757873         Stim
     32     0   381        0  1516.637000         Stim
     33     1   281        1   767.325863         Stim
     34     6   263        1   816.064371         Stim
     35     6   362        1   801.061452         Stim
     36     6   281        1   961.956906         Stim
     37     6   161        1   874.706821         Stim
     38     1   244        1   579.440731         Stim
     39     1   262        1   948.575867         Stim
     40     1   362        1   773.464738         Stim
     41     6   281        1  1038.340424         Stim
     42     6   362        1  1127.146282         Stim
     43     1   285        1  1088.006238         Stim
     44     6   361        1   888.522535         Stim
     45     1   383        1  1145.277651         Stim
     46     6   384        1  1226.266911         Stim
     47     1   181        1   875.383887         Stim
     48     6   242        1   972.161499         Stim
     49     6   163        1   949.034086         Stim
     50     1   341        1   894.043205         Stim
     51     1   181        1   854.870561         Stim
     52     6   241        1   903.560771         Stim
     53     1   162        1   888.326629         Stim
     54     1   144        1   713.263194         Stim
     55     1   241        1   930.302624         Stim
     56     6   265        1  1003.104000         Stim
     57     1   263        1   868.318008         Stim
     58     0   164        0  1516.637000         Stim
     59     1   341        1  1046.354136         Stim
     60     6   181        1  1103.142879         Stim
     61     1   242        1   928.003074         Stim
     62     6   362        1  1000.780603         Stim
     63     1   186        1   905.707883         Stim
     64     6   142        1  1098.347270         Stim
     65     6   341        1  1139.164434         Stim
     66     6   383        1  1019.944929         Stim
     67     1   381        1   973.020887         Stim
     68     6   181        1   949.751903         Stim
     69     6   241        1   886.563782         Stim
     70     6   366        1   871.313340         Stim
     71     6   181        1  1024.594138         Stim
     72     1   141        1   969.408257         Stim
