file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P121BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_22_1514
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   121        1  1091.027912         Stim
      2     6   241        1  1083.770395         Stim
      3     1   161        1  1148.525088         Stim
      4     6   243        1  1189.335981         Stim
      5     1   362        1  1062.353732         Stim
      6     1   384        1  1031.158151         Stim
      7     1   183        1  1055.609973         Stim
      8     1   241        1  1008.582664         Stim
      9     6   363        1  1201.405078         Stim
     10     1   181        1  1122.354801         Stim
     11     6   345        1  1119.762464         Stim
     12     1   186        1   961.017145         Stim
     13     1   141        1   962.296108         Stim
     14     6   341        1  1099.113420         Stim
     15     1   283        1   995.844654         Stim
     16     1   262        1  1044.832517         Stim
     17     1   261        1  1069.735010         Stim
     18     6   261        1   958.515365         Stim
     19     6   161        1  1111.315031         Stim
     20     1   341        1   984.090996         Stim
     21     6   381        1  1048.818522         Stim
     22     1   281        1   913.543391         Stim
     23     6   363        1  1034.359029         Stim
     24     1   382        1  1219.399603         Stim
     25     6   181        1  1236.230776         Stim
     26     1   142        1  1077.010638         Stim
     27     1   141        1  1317.873390         Stim
     28     6   141        1  1078.629189         Stim
     29     1   242        1  1063.410529         Stim
     30     1   162        1   968.302131         Stim
     31     1   141        1   608.514867         Stim
     32     6   341        1  1025.290378         Stim
     33     1   285        1  1010.073227         Stim
     34     1   261        1  1123.286026         Stim
     35     1   165        1   988.070360         Stim
     36     6   144        1  1085.267600         Stim
     37     1   341        1  1062.332904         Stim
     38     6   184        1  1111.112486         Stim
     39     1   241        1   920.211082         Stim
     40     6   264        1  1136.991784         Stim
     41     6   362        1  1210.078600         Stim
     42     6   281        1  1130.980328         Stim
     43     1   163        1  1187.759086         Stim
     44     1   342        1   980.790808         Stim
     45     6   282        1  1157.622415         Stim
     46     1   361        1  1094.498046         Stim
     47     6   382        1  1039.281088         Stim
     48     6   381        1  1000.149720         Stim
     49     6   184        1  1136.896398         Stim
     50     1   143        1  1002.002813         Stim
     51     1   344        1  1178.315530         Stim
     52     6   183        1  1043.424964         Stim
     53     1   244        1  1220.415046         Stim
     54     1   261        1  1149.507628         Stim
     55     6   363        1  1166.306201         Stim
     56     6   283        1  1015.280842         Stim
     57     6   162        1   968.269229         Stim
     58     1   341        1  1097.171884         Stim
     59     6   283        1  1049.937803         Stim
     60     6   265        1   970.913183         Stim
     61     6   262        1  1092.114593         Stim
     62     1   364        1  1085.018267         Stim
     63     0   282        0  1516.637000         Stim
     64     6   162        1  1094.942981         Stim
     65     1   341        1  1135.855901         Stim
     66     6   182        1  1032.623359         Stim
     67     6   142        1  1113.486581         Stim
     68     6   343        1  1162.387208         Stim
     69     6   382        1  1138.686101         Stim
     70     6   286        1  1115.560330         Stim
     71     1   366        1  1180.917225         Stim
     72     1   281        1  1014.235214         Stim
