file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P122BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Apr_22_1629
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   942.288205         Stim
      2     6    25        1   973.737043         Stim
      3     6    25        1   869.195050         Stim
      4     6    27        1   904.555335         Stim
      5     1    16        1   876.015179         Stim
      6     6    27        1   983.448044         Stim
      7     6    28        1   790.861982         Stim
      8     1    18        1   882.292268         Stim
      9     1    18        1  1045.705484         Stim
     10     1    16        1  1029.172544         Stim
     11     6    27        1   932.592600         Stim
     12     6    28        1   975.997943         Stim
     13     6    28        1   815.450243         Stim
     14     6    26        1   882.859455         Stim
     15     1    15        1   858.294739         Stim
     16     1    15        1   865.715258         Stim
     17     6    25        1   805.190469         Stim
     18     6    27        1   848.610302         Stim
     19     1    18        1   864.041770         Stim
     20     1    16        1   907.465224         Stim
     21     1    15        1   870.893593         Stim
     22     6    27        1   870.346630         Stim
     23     6    28        1   869.745937         Stim
     24     6    28        1   889.189671         Stim
     25     1    16        1   784.598476         Stim
     26     1    15        1   800.059526         Stim
     27     1    15        1   887.489318         Stim
     28     6    27        1   918.939062         Stim
     29     6    26        1   998.349151         Stim
     30     6    25        1   981.729277         Stim
     31     1    15        1   729.214894         Stim
     32     6    27        1   844.628221         Stim
     33     6    28        1   896.079226         Stim
     34     6    26        1   859.529027         Stim
     35     1    17        1   854.954705         Stim
     36     1    16        1   926.359883         Stim
     37     1    17        1   881.779717         Stim
     38     6    26        1  1085.251601         Stim
     39     6    27        1   960.586095         Stim
     40     6    28        1   888.088804         Stim
     41     6    26        1   987.554489         Stim
     42     6    27        1  1010.968833         Stim
     43     1    18        1   942.389025         Stim
     44     6    28        1   953.857127         Stim
     45     6    28        1   909.280282         Stim
     46     1    18        1   872.696577         Stim
     47     6    26        1  1164.157893         Stim
     48     1    17        1   875.544284         Stim
     49     6    26        1   923.011397         Stim
     50     1    17        1   830.427419         Stim
     51     6    26        1   809.864403         Stim
     52     6    27        1   893.300343         Stim
     53     6    28        1   904.744297         Stim
     54     1    16        1   856.159713         Stim
     55     1    17        1   731.570878         Stim
     56     1    16        1   926.972952         Stim
     57     6    25        1   874.465753         Stim
