file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P13BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_26_1416
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1   644.891968         Stim
      2     4   161        1   593.694374         Stim
      3     4   241        1   730.548401         Stim
      4     1   164        1   569.005971         Stim
      5     4   241        1   530.251436         Stim
      6     4   261        1   533.725181         Stim
      7     1   362        0   395.312376         Stim
      8     1   283        1   612.192640         Stim
      9     4   263        1   485.797279         Stim
     10     1   261        1   551.933667         Stim
     11     4   262        1   534.689004         Stim
     12     1   362        1   749.681166         Stim
     13     1   284        1   435.046732         Stim
     14     4   262        1   631.403586         Stim
     15     4   166        1   597.712061         Stim
     16     4   243        0   732.817443         Stim
     17     1   161        1   516.948695         Stim
     18     4   344        1   825.291569         Stim
     19     4   386        1   642.560743         Stim
     20     4   182        1   620.563979         Stim
     21     1   242        1   731.006315         Stim
     22     1   161        1   529.008096         Stim
     23     1   142        1   462.702669         Stim
     24     4   341        1   652.678011         Stim
     25     4   382        1   637.490790         Stim
     26     4   181        1   489.882883         Stim
     27     1   142        1   574.548327         Stim
     28     1   142        1   454.602999         Stim
     29     4   341        1   473.797644         Stim
     30     1   281        1   860.753170         Stim
     31     1   361        0   580.540749         Stim
     32     1   183        1   761.369588         Stim
     33     1   342        1   523.356468         Stim
     34     4   181        1   586.854344         Stim
     35     1   341        1   893.509548         Stim
     36     1   285        1   620.401883         Stim
     37     4   362        1   778.238442         Stim
     38     4   185        1   692.091495         Stim
     39     1   342        1   676.545368         Stim
     40     4   381        0   888.092462         Stim
     41     4   281        1   723.689656         Stim
     42     1   266        1   576.524571         Stim
     43     1   163        0   540.095223         Stim
     44     4   241        1   628.380510         Stim
     45     1   364        0   618.021155         Stim
     46     1   383        1   701.843216         Stim
     47     1   181        1   714.327025         Stim
     48     4   141        0   497.195618         Stim
     49     1   243        1   634.929250         Stim
     50     4   361        1   584.031096         Stim
     51     1   383        1  1043.009178         Stim
     52     1   184        1   628.809144         Stim
     53     1   142        1   668.049665         Stim
     54     1   343        1   624.114999         Stim
     55     4   281        1   616.718047         Stim
     56     4   161        1   688.512704         Stim
     57     4   241        1   557.385768         Stim
     58     1   261        1   772.994922         Stim
     59     1   262        1   621.838712         Stim
     60     4   264        1   492.829892         Stim
     61     4   163        1   534.594523         Stim
     62     1   144        1   629.695389         Stim
     63     1   341        1   753.378284         Stim
     64     4   181        1   705.113511         Stim
     65     4   341        1   690.920298         Stim
     66     4   183        1   484.157905         Stim
     67     1   343        1   564.394233         Stim
     68     4   182        1   582.858994         Stim
     69     1   341        1   541.843868         Stim
     70     4   384        1   733.544913         Stim
     71     1   385        1   771.286122         Stim
     72     1   282        1   735.241036         Stim
