file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_13_1414
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1467.291000         Stim
      2     0    28        0  1467.291000         Stim
      3     4    18        0   247.200019         Stim
      4     4    26        1   380.567663         Stim
      5     1    17        1   311.117517         Stim
      6     4    16        0   314.048502         Stim
      7     4    27        1   406.459334         Stim
      8     1    16        1   392.818031         Stim
      9     1    15        1   415.638961         Stim
     10     1    15        1   504.705573         Stim
     11     4    27        1   411.235541         Stim
     12     1    16        1   375.146096         Stim
     13     4    27        1   358.169327         Stim
     14     1    18        1   276.242725         Stim
     15     4    18        0   279.346973         Stim
     16     4    28        1   402.196880         Stim
     17     4    26        1   355.994784         Stim
     18     4    25        1   357.738584         Stim
     19     4    27        1   367.693065         Stim
     20     4    26        1   385.645118         Stim
     21     4    27        1   349.603366         Stim
     22     1    18        1   554.800959         Stim
     23     4    28        1   570.224397         Stim
     24     4    26        1   437.634928         Stim
     25     4    27        1   422.631668         Stim
     26     4    18        0   349.207034         Stim
     27     4    26        1   575.063389         Stim
     28     4    27        1   557.428280         Stim
     29     1    16        1   472.652496         Stim
     30     1    15        1   504.264869         Stim
     31     4    27        1   431.337386         Stim
     32     4    28        1   366.660428         Stim
     33     4    16        0   314.273080         Stim
     34     1    17        1   533.393905         Stim
     35     4    26        1   426.963850         Stim
     36     4    27        1   394.175159         Stim
     37     4    26        1   543.566927         Stim
     38     1    17        1   475.547560         Stim
     39     1    16        1   626.354713         Stim
     40     1    17        1   708.777559         Stim
     41     1    18        1   635.881771         Stim
     42     4    28        1   398.834851         Stim
     43     4    28        1   523.921180         Stim
     44     4    18        0   464.828488         Stim
     45     4    26        1   537.863430         Stim
     46     1    15        1   398.533602         Stim
     47     4    27        1   474.635363         Stim
     48     1    16        1   885.207131         Stim
     49     4    27        1   431.573736         Stim
     50     4    18        0   358.680665         Stim
     51     1    18        1   719.638804         Stim
     52     1    18        1   664.227198         Stim
     53     1    18        1   466.533047         Stim
     54     1    16        1   464.831808         Stim
     55     4    27        1   441.336843         Stim
     56     4    28        1   586.655418         Stim
     57     4    26        1   406.693874         Stim
     58     1    17        1   455.257963         Stim
     59     1    16        1   508.431033         Stim
     60     4    25        1   344.035703         Stim
     61     1    15        1   485.323344         Stim
     62     4    25        1   304.198764         Stim
     63     4    27        1   327.148886         Stim
     64     1    28        0   287.319492         Stim
     65     4    26        1   466.311185         Stim
     66     1    15        1   449.756405         Stim
     67     4    25        1   320.102449         Stim
     68     1    17        1   536.499964         Stim
     69     1    16        1   716.584965         Stim
     70     4    27        1   510.129253         Stim
     71     1    16        1   463.136003         Stim
     72     4    25        1   271.187003         Stim
     73     4    25        1   393.605564         Stim
     74     1    17        1   421.630726         Stim
     75     1    18        1   548.546280         Stim
     76     1    26        0   985.897165         Stim
     77     4    27        1   826.893820         Stim
     78     4    28        1   466.048876         Stim
     79     4    26        1   646.090411         Stim
     80     4    17        0   394.055323         Stim
     81     4    28        1   482.519137         Stim
     82     4    28        1   525.463041         Stim
     83     4    16        0   338.290249         Stim
     84     1    15        1   511.842566         Stim
     85     1    17        1   581.405605         Stim
     86     4    26        1   544.418753         Stim
     87     1    15        1   456.833329         Stim
     88     1    15        1   698.489532         Stim
     89     4    25        1   516.013559         Stim
     90     4    25        1   439.912403         Stim
     91     4    27        1   466.054309         Stim
     92     1    16        1   507.559586         Stim
     93     4    25        1   387.837169         Stim
     94     4    25        1   307.800765         Stim
     95     4    25        1   316.941755         Stim
