file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_13_1420
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     4   225        1  1166.331410         Stim
      2     4   161        1   773.048828         Stim
      3     4   241        1   818.624580         Stim
      4     1   164        1   442.911002         Stim
      5     4   241        1   647.913296         Stim
      6     4   261        1   598.399882         Stim
      7     4   362        1   555.896078         Stim
      8     1   283        1   651.815339         Stim
      9     4   263        1   512.969078         Stim
     10     1   261        1   789.540822         Stim
     11     4   262        1   589.317754         Stim
     12     1   362        1   752.899290         Stim
     13     1   284        1   623.676982         Stim
     14     4   262        1   655.170124         Stim
     15     4   166        1   690.388423         Stim
     16     0   243        0  1517.442000         Stim
     17     1   161        1   957.980066         Stim
     18     4   344        1   844.836517         Stim
     19     4   386        1   991.034991         Stim
     20     4   182        1   670.743884         Stim
     21     1   242        1   586.931311         Stim
     22     1   161        1   594.519572         Stim
     23     1   142        1   604.323730         Stim
     24     4   341        1   542.733815         Stim
     25     4   382        1   639.621417         Stim
     26     4   181        1   516.859953         Stim
     27     1   142        1   580.223250         Stim
     28     1   142        1   494.621900         Stim
     29     4   341        1   431.505216         Stim
     30     1   281        1   581.385984         Stim
     31     4   361        1   675.083009         Stim
     32     1   183        1   510.321533         Stim
     33     1   342        1   895.385284         Stim
     34     4   181        1   598.403806         Stim
     35     1   341        1   753.196614         Stim
     36     1   285        1   623.015020         Stim
     37     4   362        1  1137.885163         Stim
     38     4   185        1   776.212238         Stim
     39     1   342        1   784.784538         Stim
     40     0   381        0  1517.442000         Stim
     41     1   281        0   274.013547         Stim
     42     1   266        1   652.791831         Stim
     43     4   163        1   838.847166         Stim
     44     4   241        1   754.317995         Stim
     45     4   364        1   894.094564         Stim
     46     1   383        1   778.846200         Stim
     47     1   181        1   718.964164         Stim
     48     1   141        1   571.838099         Stim
     49     1   243        1   590.513692         Stim
     50     4   361        1   652.103306         Stim
     51     1   383        1  1082.888604         Stim
     52     1   184        1   555.453261         Stim
     53     1   142        1   643.844027         Stim
     54     1   343        1   845.124182         Stim
     55     4   281        1   812.305305         Stim
     56     4   161        1   848.060600         Stim
     57     4   241        1   454.380177         Stim
     58     1   261        1   485.056205         Stim
     59     1   262        1   594.790635         Stim
     60     4   264        1   723.759991         Stim
     61     4   163        1   812.507244         Stim
     62     1   144        1   866.955942         Stim
     63     1   341        1  1434.342325         Stim
     64     4   181        1  1312.118761         Stim
     65     4   341        1  1013.900292         Stim
     66     4   183        1   790.700539         Stim
     67     1   343        1   847.301442         Stim
     68     4   182        1   759.036246         Stim
     69     1   341        1  1189.416158         Stim
     70     4   384        1   986.515660         Stim
     71     1   385        1   929.311053         Stim
     72     1   282        1   527.162771         Stim
