file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_13_1411
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  6789.727065         Stim
      2     4     6        1  1969.880889         Stim
      3     1     7        1  2084.186569         Stim
      4     4     8        1  1195.090375         Stim
      5     4     6        1   789.343109         Stim
      6     4     8        1   594.124749         Stim
      7     1     5        1   516.198595         Stim
      8     1     7        1   941.451547         Stim
      9     1     5        1   688.682355         Stim
     10     1     7        1   642.981635         Stim
     11     4     8        1  2561.187245         Stim
     12     4     6        1  1006.975804         Stim
     13     1     5        1   640.348277         Stim
     14     4     8        1   654.540762         Stim
     15     4     6        1   531.104960         Stim
     16     1     7        1   628.482167         Stim
     17     4     6        1   680.611432         Stim
     18     1     7        1   476.663507         Stim
     19     4     6        1   660.470346         Stim
     20     4     8        1   494.023025         Stim
     21     4     6        1   467.257492         Stim
     22     4     8        1   418.037780         Stim
     23     4     8        1   632.175026         Stim
     24     1     5        1   769.991367         Stim
     25     1     7        1   763.345186         Stim
     26     1     5        1   747.269445         Stim
     27     1     7        1   610.877545         Stim
     28     1     5        1   630.406776         Stim
     29     1     5        1   620.667516         Stim
     30     4     6        1   576.403009         Stim
     31     1     7        1   630.969428         Stim
     32     4     8        1   501.847637         Stim
     33     4     6        1   534.414467         Stim
     34     4     8        1   612.892710         Stim
     35     1     5        1   624.257746         Stim
     36     1     7        1   582.886793         Stim
     37     1     5        1   760.546111         Stim
     38     1     7        1   759.448275         Stim
     39     4     8        1   738.469851         Stim
     40     4     6        1   993.052872         Stim
