file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14C1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_03_1016
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   223        1   818.185825         Stim
      2     6   361        1   883.145850         Stim
      3     1   181        1   715.945499         Stim
      4     6   243        1   588.683606         Stim
      5     1   364        1  1412.990194         Stim
      6     6   285        1  1078.109539         Stim
      7     6   362        1   951.335146         Stim
      8     6   384        0  1144.173759         Stim
      9     1   281        1  1177.263071         Stim
     10     6   361        0  1098.054770         Stim
     11     6   383        1  1226.843459         Stim
     12     1   281        1   835.814602         Stim
     13     6   261        1   756.616564         Stim
     14     6   263        1   917.395501         Stim
     15     1   163        1   822.397038         Stim
     16     1   143        1  1135.338995         Stim
     17     0   343        0  1516.638000         Stim
     18     1   181        1  1049.318678         Stim
     19     6   144        1   858.063910         Stim
     20     1   341        0   947.185209         Stim
     21     1   181        1   851.929563         Stim
     22     1   342        1   748.723596         Stim
     23     1   386        1   965.629907         Stim
     24     1   181        0  1030.925598         Stim
     25     0   142        0  1516.638000         Stim
     26     1   242        1  1207.920619         Stim
     27     1   364        1  1048.797973         Stim
     28     1   284        0  1449.877778         Stim
     29     6   363        1  1034.951169         Stim
     30     6   381        0  1131.938571         Stim
     31     6   184        1   756.717083         Stim
     32     0   142        0  1516.638000         Stim
     33     0   144        0  1516.638000         Stim
     34     1   342        1  1247.783310         Stim
     35     6   281        1  1376.666178         Stim
     36     6   362        1   929.444745         Stim
     37     1   281        1   962.309475         Stim
     38     1   362        1   923.113285         Stim
     39     1   181        1   803.990676         Stim
     40     1   141        1   572.749457         Stim
     41     6   141        1   597.479732         Stim
     42     1   146        1   702.278601         Stim
     43     1   243        1   751.584601         Stim
     44     6   162        1   816.608619         Stim
     45     6   242        1   809.479652         Stim
     46     1   261        1   516.745844         Stim
     47     6   162        1   898.465417         Stim
     48     6   341        0   747.324486         Stim
     49     1   383        0   580.084593         Stim
     50     6   385        1   829.106122         Stim
     51     1   281        1   710.291709         Stim
     52     6   163        1   727.093095         Stim
     53     6   341        1   840.036984         Stim
     54     6   182        1   768.840886         Stim
     55     1   241        1   737.696441         Stim
     56     1   162        1   986.467127         Stim
     57     0   242        0  1516.638000         Stim
     58     6   362        1   644.186739         Stim
     59     6   286        1   725.128305         Stim
     60     1   161        0  1342.424978         Stim
     61     6   145        0   599.195791         Stim
     62     1   341        0  1136.388553         Stim
     63     0   282        0  1516.638000         Stim
     64     1   261        1   706.089250         Stim
     65     1   361        1   802.835770         Stim
     66     1   285        1   795.615641         Stim
     67     0   262        0  1516.638000         Stim
     68     1   264        1   940.971172         Stim
     69     6   161        1   654.081022         Stim
     70     1   341        1   750.883084         Stim
     71     1   183        1   671.641579         Stim
     72     6   241        1   776.610394         Stim
