file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14C1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_03_1023
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1   947.788321         Stim
      2     6   242        1   539.976189         Stim
      3     1   262        1   540.839804         Stim
      4     1   163        1   757.692988         Stim
      5     6   141        1   670.704916         Stim
      6     1   146        1   719.477231         Stim
      7     1   344        1   992.795266         Stim
      8     1   281        1   777.879403         Stim
      9     6   161        1   778.659705         Stim
     10     1   245        0  1075.421499         Stim
     11     1   161        1  1452.614719         Stim
     *12     6   243        1   749.409114         Stim
     13     6   261        1   830.374225         Stim
     14     1   165        1   751.163811         Stim
     15     1   143        1   904.360089         Stim
     16     6   341        1   969.363884         Stim
     17     1   281        1   722.119993         Stim
     18     1   261        1   970.909998         Stim
     19     1   361        1   987.674255         Stim
     20     6   383        1   716.437829         Stim
     *21     1   386        1   869.445144         Stim
     22     1   281        1  1310.076122         Stim
     23     0   362        0  1516.636000         Stim
     24     6   182        1   671.734853         Stim
     25     6   242        1   648.587518         Stim
     26     6   362        1   777.512948         Stim
     27     0   184        0  1516.636000         Stim
     28     1   342        1  1131.441713         Stim
     29     6   282        1   668.351635         Stim
     30     1   163        1   917.200502         Stim
     31     6   241        1  1086.183019         Stim
     32     1   162        1   798.964146         Stim
     33     6   343        1   943.849987         Stim
     34     1   181        1   728.819417         Stim
     35     1   245        1   937.610291         Stim
     36     6   363        1   826.810194         Stim
     37     6   181        1   635.810496         Stim
     38     6   143        1   676.583891         Stim
     39     6   241        1   765.553054         Stim
     40     1   361        1   774.341936         Stim
     41     6   286        1   551.125596         Stim
     42     1   161        1   944.392122         Stim
     43     1   141        1   825.200992         Stim
     44     6   342        1   657.268637         Stim
     45     6   182        1   634.179259         Stim
     46     6   345        1   723.033716         Stim
     47     0   283        0  1516.636000         Stim
     48     0   263        0  1516.636000         Stim
     49     6   264        1  1038.204286         Stim
     50     1   262        1  1127.305361         Stim
     51     6   162        1   760.202027         Stim
     52     1   241        1  1177.046337         Stim
     53     1   364        1   809.846711         Stim
     54     6   383        1   978.922502         Stim
     55     6   181        1  1027.918192         Stim
     56     1   341        0   556.737730         Stim
     57     6   283        1   685.490497         Stim
     58     6   361        0   902.459897         Stim
     59     6   382        0   751.245011         Stim
     60     6   184        1   720.143129         Stim
     61     6   341        1  1185.171736         Stim
     62     1   384        1   578.014152         Stim
     63     6   381        1   970.388086         Stim
     64     6   184        1   675.184782         Stim
     65     1   341        1   948.310534         Stim
     66     1   181        1   893.080582         Stim
     67     1   341        1   733.831760         Stim
     68     1   281        1   822.633694         Stim
     69     6   162        1   479.384645         Stim
     70     1   244        1  1144.236243         Stim
     71     1   261        1   833.316127         Stim
     72     1   362        1   970.131809         Stim
