file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14C21BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_03_1008
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1466.637000         Stim
      2     1    18        1  1018.875448         Stim
      3     6    28        1   838.218896         Stim
      4     1    28        0   830.939604         Stim
      5     6    26        1  1054.442406         Stim
      6     1    15        1   872.505978         Stim
      7     0    17        0  1466.637000         Stim
      8     1    26        0   852.044571         Stim
      9     6    15        0   735.430699         Stim
     10     6    15        0   762.930215         Stim
     11     1    25        0   574.359866         Stim
     12     6    17        0   697.808092         Stim
     13     1    26        0   685.238748         Stim
     14     1    25        0   664.686482         Stim
     15     6    17        0   760.088227         Stim
     16     6    18        0   711.542908         Stim
     17     1    26        0   610.964308         Stim
     18     1    27        0   606.456670         Stim
     19     6    28        1   997.800365         Stim
     20     1    18        1   881.259542         Stim
     21     0    26        0  1466.637000         Stim
     22     1    15        1  1406.054113         Stim
     23     0    25        0  1466.637000         Stim
     24     6    15        0   748.935802         Stim
     25     6    15        0   620.402183         Stim
     26     1    17        1  1051.859110         Stim
     27     1    16        1   945.871224         Stim
     28     6    25        1  1329.292368         Stim
     29     0    27        0  1466.637000         Stim
     30     6    16        0   616.253756         Stim
     31     6    15        0   579.665011         Stim
     32     6    17        0   711.105215         Stim
     33     1    26        0   502.506322         Stim
     34     0    27        0  1466.637000         Stim
     35     1    26        0   697.352288         Stim
     36     6    17        0   932.853018         Stim
     37     1    26        0   728.278489         Stim
     38     6    15        0   911.679529         Stim
     39     6    17        0  1003.116074         Stim
     40     1    28        0   666.503060         Stim
     41     0    28        0  1466.637000         Stim
     42     6    16        0   780.693318         Stim
     43     1    25        0   656.184667         Stim
     44     6    15        0   607.573241         Stim
     45     6    17        0   591.042622         Stim
     46     6    18        0   666.484043         Stim
     47     6    16        0   609.864037         Stim
     48     1    27        0   705.343058         Stim
     49     6    18        0   604.772910         Stim
     50     6    18        0   620.196618         Stim
     51     1    28        0   719.632990         Stim
     52     1    26        0   819.046420         Stim
     53     6    15        0   554.455386         Stim
     54     1    25        0   609.917466         Stim
