file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_03_1132
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1  1053.765641         Stim
      2     1   342        0   790.689026         Stim
      3     6   285        0   647.575390         Stim
      4     1   161        1   744.752963         Stim
      5     6   242        1   577.525143         Stim
      6     0   265        0  1516.635000         Stim
      7     1   161        1   914.940193         Stim
      8     1   241        1   683.696257         Stim
      9     1   165        1   684.442750         Stim
     10     6   241        0   949.647159         Stim
     11     6   161        1   926.446999         Stim
     12     6   241        1   839.209894         Stim
     13     1   362        1   855.974151         Stim
     14     1   281        1  1128.847551         Stim
     15     6   361        1   961.622146         Stim
     16     0   181        0  1516.635000         Stim
     17     6   346        1  1035.171826         Stim
     18     6   381        1   908.477425         Stim
     19     1   284        1   645.245655         Stim
     20     6   362        1   878.342392         Stim
     21     6   281        1  1079.200754         Stim
     22     1   162        1   776.005774         Stim
     23     6   144        1   840.797362         Stim
     24     1   141        1   777.997429         Stim
     25     1   341        1   802.737666         Stim
     26     1   182        1   763.526081         Stim
     27     6   246        1   716.405530         Stim
     28     1   161        1  1013.726364         Stim
     29     0   344        0  1516.635000         Stim
     30     1   381        1   814.906143         Stim
     31     6   383        1   719.704832         Stim
     32     6   381        1   968.667800         Stim
     33     1   184        1   801.445716         Stim
     34     6   342        1   962.526511         Stim
     35     1   282        1   627.405276         Stim
     36     6   161        1   724.289443         Stim
     37     1   342        1   701.059399         Stim
     38     6   183        1   701.932371         Stim
     39     6   243        1   870.892852         Stim
     40     6   161        1  1087.899682         Stim
     41     1   242        1  1008.679609         Stim
     42     1   361        1  1113.562395         Stim
     43     1   283        1  1114.335754         Stim
     44     1   262        1   747.326599         Stim
     45     6   361        1   724.255635         Stim
     46     1   283        1   764.990996         Stim
     47     6   261        1   709.929178         Stim
     48     1   364        1   654.785557         Stim
     49     0   182        0  1516.635000         Stim
     50     1   341        1   904.728355         Stim
     51     6   281        1   720.841929         Stim
     52     0   163        0  1516.635000         Stim
     53     6   345        1  1018.565742         Stim
     54     6   381        0  1132.153795         Stim
     55     1   182        1   700.558919         Stim
     56     6   244        1   781.435284         Stim
     57     6   261        1  1206.508831         Stim
     58     6   261        1   647.336923         Stim
     59     1   162        1   664.112651         Stim
     60     0   344        0  1516.635000         Stim
     61     1   382        1  1114.037217         Stim
     62     1   282        1   914.958908         Stim
     63     0   363        0  1516.635000         Stim
     64     6   181        1   932.817700         Stim
     65     6   343        1   677.597830         Stim
     66     1   283        1   926.571364         Stim
     67     1   163        1   703.567834         Stim
     68     6   241        1   976.551411         Stim
     69     0   363        0  1516.635000         Stim
     70     6   182        1   945.630040         Stim
     71     1   146        1   994.499855         Stim
     72     6   143        1   915.817391         Stim
      1     6   123        1   702.878392         Stim
      2     1   241        1   687.880303         Stim
      3     1   161        1   760.662963         Stim
      4     1   143        1   745.429727         Stim
      5     6   243        1   914.435789         Stim
      6     1   261        1  1019.349364         Stim
      7     6   164        1   548.146263         Stim
      8     0   142        0  1516.636000         Stim
      9     1   141        1   653.468553         Stim
     10     0   341        0  1516.636000         Stim
     11     1   185        1  1031.030040         Stim
     12     6   342        1   960.230885         Stim
     13     6   283        1   945.085187         Stim
     14     1   361        1  1018.067678         Stim
     15     6   184        1   658.869085         Stim
     16     1   141        1  1283.935267         Stim
     17     6   241        1   732.749903         Stim
     18     6   361        1   757.511874         Stim
     19     1   381        1   878.272059         Stim
     20     6   182        1   671.037563         Stim
     21     6   245        1  1119.907740         Stim
     22     1   362        1   913.181571         Stim
     23     6   182        1   778.019163         Stim
     24     6   142        1   890.886380         Stim
     25     1   241        1   691.747398         Stim
     26     6   261        1  1116.542935         Stim
     27     0   163        0  1516.636000         Stim
     28     1   141        1   870.280081         Stim
     29     1   241        1   782.387040         Stim
     30     6   362        1   551.168460         Stim
     31     1   384        1  1072.065146         Stim
     32     0   384        0  1516.636000         Stim
     33     6   282        1   666.211767         Stim
     34     6   364        0   859.120713         Stim
     35     6   184        1   932.184404         Stim
     36     1   341        1   813.299658         Stim
     37     1   186        1   734.056040         Stim
     38     6   243        1   887.373967         Stim
     39     6   262        1  1096.371009         Stim
     40     1   261        1   713.233310         Stim
     41     1   262        1   706.026765         Stim
     42     0   266        0  1516.636000         Stim
     43     1   366        1   660.217180         Stim
     44     1   283        1   789.516612         Stim
     45     1   264        1   702.478431         Stim
     46     6   161        1   831.586182         Stim
     47     1   343        0  1047.704646         Stim
     48     0   285        0  1516.636000         Stim
     49     0   262        0  1516.636000         Stim
     50     6   161        1   890.732735         Stim
     51     1   141        1   683.548346         Stim
