file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14C31BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_03_1011
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    19        0  1466.637000         Stim
      2     1    18        1  1180.835553         Stim
      3     0    28        0  1466.637000         Stim
      4     6    28        1   657.583474         Stim
      5     6    26        1   513.120838         Stim
      6     1    15        1   724.546323         Stim
      7     1    17        1   639.977638         Stim
      8     6    26        1   683.411907         Stim
      9     1    15        1   638.816695         Stim
     10     1    15        1   498.250132         Stim
     11     6    25        1   469.688380         Stim
     12     6    17        0   665.144400         Stim
     13     0    26        0  1466.637000         Stim
     14     1    25        0   911.966897         Stim
     15     6    17        0   655.393800         Stim
     16     6    18        0   598.848353         Stim
     17     1    26        0   482.289420         Stim
     18     1    27        0  1085.719064         Stim
     19     6    28        1   545.105955         Stim
     20     1    18        1   460.565041         Stim
     21     6    26        1   671.995054         Stim
     22     1    15        1   403.436707         Stim
     23     1    25        0   558.832319         Stim
     24     6    15        0   722.291448         Stim
     25     6    15        0   849.698837         Stim
     26     6    17        0   953.161383         Stim
     27     6    16        0   804.563300         Stim
     28     1    25        0   568.011200         Stim
     29     0    27        0  1466.637000         Stim
     30     6    16        0   414.848428         Stim
     31     6    15        0   434.319139         Stim
     32     6    17        0  1421.748286         Stim
     33     1    26        0   665.120855         Stim
     34     1    27        0   620.603522         Stim
     35     1    26        0   572.015339         Stim
     36     0    17        0  1466.637000         Stim
     37     1    26        0   423.524113         Stim
     38     0    15        0  1466.637000         Stim
     39     6    17        0   618.460636         Stim
     40     1    28        0   753.865737         Stim
     41     1    28        0   645.297272         Stim
     42     6    16        0   688.712222         Stim
     43     1    25        0   852.139656         Stim
     44     6    15        0   627.529339         Stim
     45     6    17        0   618.977416         Stim
     46     0    18        0  1466.637000         Stim
     47     6    16        0   635.154862         Stim
     48     1    27        0   802.634431         Stim
     49     0    18        0  1466.637000         Stim
     50     6    18        0   661.452381         Stim
     51     1    28        0   672.960998         Stim
     52     1    26        0   588.383861         Stim
     53     6    15        0   499.814358         Stim
     54     1    25        0   523.208310         Stim
     55     6    15        0   574.624897         Stim
     56     1    25        0   490.114470         Stim
     57     6    17        0   405.504129         Stim
     58     6    18        0   692.933396         Stim
     59     1    26        0   480.366890         Stim
     60     6    15        0   747.821344         Stim
     61     6    27        1   839.214422         Stim
     62     6    18        0   802.684539         Stim
     63     1    26        0   622.130619         Stim
     64     6    15        0   565.562834         Stim
     65     1    27        0   448.976733         Stim
     66     6    18        0   692.418729         Stim
     67     1    28        0   591.854920         Stim
     68     1    28        0   683.268223         Stim
     69     6    26        1   694.688697         Stim
     70     6    27        1   666.178261         Stim
     71     1    16        1   489.566297         Stim
     72     6    27        1   780.998496         Stim
     73     6    28        1   636.433530         Stim
     74     0    28        0  1466.637000         Stim
     75     1    16        1   815.306406         Stim
     76     6    17        0   982.734056         Stim
     77     6    26        1  1282.152195         Stim
     78     1    15        1   585.600434         Stim
     79     0    27        0  1466.637000         Stim
     80     1    18        1   664.485747         Stim
     81     1    16        1   767.890638         Stim
     82     6    25        1   527.293649         Stim
     83     6    25        1   674.745278         Stim
     84     1    17        1   746.182258         Stim
     85     6    28        1   657.618791         Stim
     86     1    16        1   469.064743         Stim
     87     1    15        1   676.488203         Stim
     88     1    17        1   743.909875         Stim
     89     1    16        1   627.337961         Stim
     90     0    27        0  1466.637000         Stim
     91     1    16        1   934.203226         Stim
     92     1    15        1   585.637260         Stim
     93     1    15        1   765.075516         Stim
     94     0    25        0  1466.637000         Stim
     95     1    15        1   495.939715         Stim
     96     1    17        1   679.362791         Stim
     97     6    16        0   434.791244         Stim
     98     0    15        0  1466.637000         Stim
     99     6    15        0   505.633867         Stim
    100     1    17        1   717.095274         Stim
    101     1    28        0   948.516703         Stim
    102     6    16        0   583.922408         Stim
    103     6    17        0   675.307336         Stim
    104     1    26        0   382.767320         Stim
    105     1    25        0   862.199358         Stim
    106     1    27        0   777.609543         Stim
    107     1    28        0   641.038969         Stim
    108     6    18        0   876.519475         Stim
    109     6    18        0   723.925101         Stim
    110     1    26        0   631.370173         Stim
    111     6    17        0  1046.830165         Stim
    112     1    28        0   786.227573         Stim
    113     1    26        0   857.647347         Stim
    114     6    15        0   533.076332         Stim
    115     1    27        0   652.515891         Stim
    116     6    18        0   575.941599         Stim
    117     1    28        0   623.392986         Stim
    118     1    28        0   642.824758         Stim
    119     6    16        0   686.244839         Stim
    120     0    15        0  1466.637000         Stim
    121     1    27        0   717.104330         Stim
    122     0    28        0  1466.637000         Stim
    123     6    26        1   796.025866         Stim
    124     6    27        1  1199.361149         Stim
    125     0    26        0  1466.637000         Stim
    126     6    25        1   654.260024         Stim
    127     6    27        1   569.676548         Stim
    128     1    16        1   549.108887         Stim
    129     0    27        0  1466.637000         Stim
    130     1    18        1   575.987481         Stim
    131     0    16        0  1466.637000         Stim
    132     1    25        0   818.864098         Stim
    133     6    27        1   534.266556         Stim
    134     6    26        1   981.699892         Stim
    135     6    25        1   545.122557         Stim
    136     1    17        1   636.527710         Stim
    137     6    26        1   551.965062         Stim
    138     0    25        0  1466.637000         Stim
    139     6    27        1   734.879508         Stim
    140     6    28        1   522.323566         Stim
    141     1    18        1   509.747883         Stim
    142     6    26        1   665.184848         Stim
    143     6    27        1   928.621278         Stim
    144     1    26        0   584.042246         Stim
    145     6    27        1   771.476101         Stim
    146     1    18        1   718.896759         Stim
    147     0    26        0  1466.637000         Stim
    148     6    25        1   596.349276         Stim
    149     1    17        1   635.798724         Stim
    150     1    18        1   655.253436         Stim
    151     6    28        1   650.690559         Stim
    152     1    16        1   606.108629         Stim
    153     1    17        1   949.579543         Stim
    154     1    18        1   632.954019         Stim
    155     1    16        1   636.409381         Stim
    156     0    17        0  1466.637000         Stim
