file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14E1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_13_1329
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    24        0   757.076725         Stim
      2     6    27        1   680.472176         Stim
      3     6    16        0   551.922947         Stim
      4     1    27        0   667.351680         Stim
      5     1    28        0   590.793919         Stim
      6     6    18        0   542.242710         Stim
      7     6    18        0   721.622769         Stim
      8     6    16        0   609.057145         Stim
      9     1    27        0   516.499478         Stim
     10     6    16        0   679.943323         Stim
     11     6    27        1   559.367333         Stim
     12     6    18        0   890.769589         Stim
     13     1    26        0   574.221391         Stim
     14     0    15        0  1466.636000         Stim
     15     1    27        0   805.090026         Stim
     16     6    16        0   556.530183         Stim
     17     1    27        0   671.932956         Stim
     18     6    16        0   527.366314         Stim
     19     6    17        0   734.815107         Stim
     20     1    18        1   554.243620         Stim
     21     6    16        0   661.686738         Stim
     22     1    25        0   689.091690         Stim
     23     6    15        0   468.535380         Stim
     24     1    27        0   679.924306         Stim
     25     1    18        1   835.381933         Stim
     26     1    28        0   798.781828         Stim
     27     1    28        0   586.221698         Stim
     28     1    26        0   621.649996         Stim
     29     6    17        0   829.075244         Stim
     30     1    26        0   824.523851         Stim
     31     1    25        0   571.949921         Stim
     32     6    17        0   527.404650         Stim
     33     1    26        0   534.797116         Stim
     34     6    17        0   558.217863         Stim
     35     1    28        0   833.674331         Stim
     36     6    16        0   705.109405         Stim
     37     1    25        0   620.507771         Stim
     38     6    17        0   643.958100         Stim
     39     1    26        0   439.411657         Stim
     40     1    25        0   950.824853         Stim
     41     6    25        1   530.277116         Stim
     42     1    15        1   841.695866         Stim
     43     6    27        1   457.152068         Stim
     44     6    28        1   576.505238         Stim
     45     1    16        1   639.966953         Stim
     46     6    25        1   539.432123         Stim
     47     1    15        1   686.839538         Stim
     48     6    25        1   526.273593         Stim
     49     6    27        1   685.720254         Stim
     50     6    26        1   585.155541         Stim
     51     1    17        1   784.590344         Stim
     52     1    16        1  1004.017107         Stim
     53     1    17        1   751.450723         Stim
     54     6    26        1   530.882037         Stim
     55     6    25        1   486.321069         Stim
     56     1    17        1   577.738925         Stim
     57     1    16        1   553.171727         Stim
     58     1    15        1   540.620533         Stim
     59     1    15        1   568.025484         Stim
     60     1    15        1   679.447373         Stim
     61     6    17        0   514.875792         Stim
     62     6    26        1   698.337253         Stim
     63     6    27        1   597.783709         Stim
     64     1    16        1   625.190773         Stim
     65     6    27        1   644.640296         Stim
     66     6    28        1   524.052533         Stim
     67     1    18        1   791.486559         Stim
     68     6    26        1   718.882213         Stim
     69     6    27        1   610.335206         Stim
     70     1    16        1   585.773441         Stim
     71     6    15        0  1189.164437         Stim
     72     0    27        0  1466.636000         Stim
     73     1    18       -1     4.098608         Stim
     74     1    16        1  1263.490572         Stim
     75     1    15        1   618.941136         Stim
     76     6    25        1   514.375012         Stim
     77     1    17        1   909.769647         Stim
     78     1    16        1   817.226772         Stim
     79     1    15        1   812.655456         Stim
     80     6    27        1   740.071637         Stim
     81     6    18        0   687.531393         Stim
     82     1    26        0   762.949344         Stim
     83     6    15        0   582.389025         Stim
     84     1    25        0   609.774960         Stim
     85     1    27        0   581.211785         Stim
     86     1    28        0   720.642339         Stim
     87     1    26        0   772.107369         Stim
     88     6    15        0   671.508546         Stim
