file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14E1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_13_1341
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   886.348297         Stim
      2     1   262        1   719.120076         Stim
      3     1   361        1   935.992528         Stim
      4     6   385        1   624.145746         Stim
      5     6   182        1   817.289860         Stim
      6     1   141        1   722.137736         Stim
      7     1   145        1   714.951135         Stim
      8     1   243        0  1180.145869         Stim
      9     6   261        1   733.132860         Stim
     10     1   161        1   853.929206         Stim
     11     6   343        1   710.714579         Stim
     12     0   281        0  1516.637000         Stim
     13     0   164        0  1516.637000         Stim
     14     1   344        1   953.542769         Stim
     15     0   383        0  1516.637000         Stim
     16     6   181        1   867.597572         Stim
     17     1   341        1  1028.423717         Stim
     18     1   281        1   965.195941         Stim
     19     1   361        1   893.965043         Stim
     20     6   181        1   638.747150         Stim
     21     6   341        1   927.480476         Stim
     22     1   281        1   504.283042         Stim
     23     1   265        1   585.040231         Stim
     24     6   361        1  1161.555431         Stim
     25     1   382        1   986.366046         Stim
     26     1   183        1   675.241002         Stim
     27     1   244        1   716.177579         Stim
     28     0   162        0  1516.637000         Stim
     29     6   143        1   654.166586         Stim
     30     1   142        1   903.141783         Stim
     31     6   246        1   768.048606         Stim
     32     6   161        1   993.370325         Stim
     33     1   142        1   786.142793         Stim
     34     6   144        0  1347.004919         Stim
     35     1   241        0   804.120462         Stim
     36     6   163        1   772.899743         Stim
     37     6   342        1   965.849762         Stim
     38     6   281        1   814.762415         Stim
     39     1   364        1  1239.500222         Stim
     40     1   186        1  1144.581736         Stim
     41     6   342        1   881.920967         Stim
     42     6   282        1   954.776457         Stim
     43     1   363        1  1234.988071         Stim
     44     1   382        1  1212.019203         Stim
     45     6   284        1   708.879291         Stim
     46     6   361        1   973.966383         Stim
     47     6   281        1   718.730379         Stim
     48     6   364        1  1223.515409         Stim
     49     6   381        0  1128.614732         Stim
     50     1   181        0  1041.378796         Stim
     51     6   242        0   770.182128         Stim
     52     6   363        1   779.065766         Stim
     53     1   182        1   796.044291         Stim
     54     6   346        1   820.938701         Stim
     55     1   283        1   750.270162         Stim
     56     6   261        1   871.205965         Stim
     57     1   161        1   887.965040         Stim
     58     6   144        1   848.788589         Stim
     59     6   245        1   921.841796         Stim
     60     1   263        1   755.033760         Stim
     61     6   362        1   932.033076         Stim
     62     1   182        1  1268.322994         Stim
     63     6   242        0   941.146729         Stim
     64     1   163        0  1285.983714         Stim
     65     0   242        0  1516.637000         Stim
     66     1   161        0   783.905734         Stim
     67     1   341        0  1144.669274         Stim
     68     6   382        0  1089.463939         Stim
     69     0   283        0  1516.637000         Stim
     70     1   161        1   851.311808         Stim
     71     1   241        1   692.088823         Stim
     72     6   361        0   636.876847         Stim
