file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_13_1459
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   321        0   841.003407         Stim
      2     1   182        0   689.779017         Stim
      3     1   344        1  1314.661293         Stim
      4     1   381        1   963.743407         Stim
      5     6   182        1   836.551929         Stim
      6     1   244        1   781.392476         Stim
      7     1   361        1  1398.499532         Stim
      8     1   384        1   815.287645         Stim
      9     1   185        1   744.377318         Stim
     10     1   141        1   833.582566         Stim
     11     6   144        1  1338.346466         Stim
     12     1   143        1   931.509959         Stim
     13     1   346        1   804.421413         Stim
     14     6   285        1   877.735122         Stim
     15     6   262        1   582.956214         Stim
     16     6   363        1   711.841108         Stim
     17     1   281        1   824.821180         Stim
     18     6   161        1   593.579753         Stim
     19     1   341        1   497.692005         Stim
     20     6   181        1   608.447395         Stim
     21     6   343        1   777.273342         Stim
     22     1   382        1   970.268338         Stim
     23     1   184        0   651.141380         Stim
     24     6   141        0   756.215528         Stim
     25     1   343        0   605.014984         Stim
     26     1   282        1   837.991785         Stim
     27     6   263        1  1174.883000         Stim
     28     0   163        0  1516.638000         Stim
     29     1   141        1   992.835435         Stim
     30     1   141        1  1049.642723         Stim
     31     6   241        1   681.715825         Stim
     32     6   362        1   610.507264         Stim
     33     6   381        1   843.358190         Stim
     34     1   281        1   668.157033         Stim
     35     6   365        1   836.929853         Stim
     36     1   181        1  1070.106483         Stim
     37     0   341        0  1516.638000         Stim
     38     6   283        1   631.670124         Stim
     39     1   261        1   752.641848         Stim
     40     6   361        1   833.435260         Stim
     41     1   285        1   698.189947         Stim
     42     6   162        1   715.412976         Stim
     43     6   342        1   820.280956         Stim
     44     6   381        1  1021.158030         Stim
     45     6   282        1  1013.950602         Stim
     46     1   261        1   958.804733         Stim
     47     1   166        1  1015.601757         Stim
     48     6   243        1   880.872921         Stim
     49     6   262        1   905.864227         Stim
     50     0   261        0  1516.638000         Stim
     51     1   163        1   931.544672         Stim
     52     6   244        1   747.884891         Stim
     53     6   261        1   828.961444         Stim
     54     1   362        1   877.736028         Stim
     55     1   282        1  1126.597727         Stim
     56     1   364        1   695.503726         Stim
     57     1   182        1   680.574505         Stim
     58     1   241        1   833.458805         Stim
     59     6   361        1   618.253808         Stim
     60     6   286        1   931.010084         Stim
     61     6   161        1   764.291096         Stim
     62     1   241        1   765.095544         Stim
     63     1   163        1   933.865647         Stim
     64     6   342        0  1006.816524         Stim
     65     6   182        1  1199.732133         Stim
     66     0   241        0  1516.638000         Stim
     67     6   362       -1    25.408774         Stim
     68     1   283        1   650.285315         Stim
     69     1   162        1  1075.276380         Stim
     70     6   144        1  1068.121474         Stim
     71     6   141        1   757.225540         Stim
     72     6   343        1   670.005602         Stim
      1     6   321        1   906.592305         Stim
      2     6   284        1   699.386507         Stim
      3     6   163        1   716.445929         Stim
      4     1   342        1   813.508503         Stim
      5     6   183        1   654.338644         Stim
      6     1   344        1   695.262241         Stim
      7     1   381        1   856.406845         Stim
      8     1   282        1   729.202990         Stim
      9     1   363        1   826.057283         Stim
     10     6   181        1   787.042325         Stim
     11     1   145        1   803.862979         Stim
     12     6   241        1   717.051453         Stim
     13     1   263        1   781.806020         Stim
     14     6   164        1   646.786194         Stim
     15     1   142        1   847.871549         Stim
     16     1   243        1   872.105800         Stim
     17     1   261        1   721.076408         Stim
     18     6   365        1   913.867350         Stim
     19     1   183        1   715.063124         Stim
     20     6   142        1   684.069400         Stim
     21     6   241        1   692.943379         Stim
     22     1   361        1   637.724461         Stim
     23     1   282        1   910.467540         Stim
     24     1   162        1   695.413471         Stim
     25     6   343        1   920.238032         Stim
     26     6   286        1   937.220481         Stim
     27     0   162        0  1516.637000         Stim
     28     1   141        1   819.414930         Stim
     29     0   344        0  1516.637000         Stim
     30     6   281        1  1173.277124         Stim
     31     1   362        1   758.075568         Stim
     32     6   381        1  1334.928545         Stim
     33     0   281        0  1516.637000         Stim
     34     6   263        1   768.492033         Stim
     35     1   362        0  1193.451404         Stim
     36     6   281        1  1185.678900         Stim
     37     6   161        1   658.452647         Stim
     38     1   244        1   619.234540         Stim
     39     1   262        1   780.306095         Stim
     40     1   362        1   989.198667         Stim
     41     6   281        1   718.079878         Stim
     42     6   362        1   766.859291         Stim
     43     1   285        1   671.752446         Stim
     44     6   361        1  1168.918315         Stim
     45     1   383        1   777.720090         Stim
     46     6   384        1   938.692937         Stim
     47     1   181        1  1019.770396         Stim
     48     6   242        1   852.545798         Stim
     49     6   163        1   749.493485         Stim
     50     1   341        1   950.429421         Stim
     51     1   181        1   823.197796         Stim
     52     6   241        1   696.015373         Stim
     53     1   162        1   688.787418         Stim
     54     1   144        1   641.648897         Stim
     55     1   241        1   746.750213         Stim
     56     6   265        1   699.541057         Stim
     57     1   263        1   860.023388         Stim
     58     6   164        1   645.061687         Stim
     59     1   341        1   646.131467         Stim
     60     6   181        1   622.912964         Stim
     61     1   242        1   535.696045         Stim
     62     6   362        1   872.565527         Stim
     63     1   186        1   873.457211         Stim
     64     6   142        1  1114.716050         Stim
     65     6   341        1   747.612918         Stim
     66     6   383        1   708.427110         Stim
     67     1   381        1   805.404862         Stim
     68     6   181        1   910.175946         Stim
     69     6   241        1  1014.943408         Stim
     70     6   366        1   783.718885         Stim
     71     6   181        1  1081.004108         Stim
     72     1   141        1   737.793223         Stim
