file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P14E2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_13_1459
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   321        0   841.003407         Stim
      2     1   182        0   689.779017         Stim
      3     1   344        1  1314.661293         Stim
      4     1   381        1   963.743407         Stim
      5     6   182        1   836.551929         Stim
      6     1   244        1   781.392476         Stim
      7     1   361        1  1398.499532         Stim
      8     1   384        1   815.287645         Stim
      9     1   185        1   744.377318         Stim
     10     1   141        1   833.582566         Stim
     11     6   144        1  1338.346466         Stim
     12     1   143        1   931.509959         Stim
     13     1   346        1   804.421413         Stim
     14     6   285        1   877.735122         Stim
     15     6   262        1   582.956214         Stim
     16     6   363        1   711.841108         Stim
     17     1   281        1   824.821180         Stim
     18     6   161        1   593.579753         Stim
     19     1   341        1   497.692005         Stim
     20     6   181        1   608.447395         Stim
     21     6   343        1   777.273342         Stim
     22     1   382        1   970.268338         Stim
     23     1   184        0   651.141380         Stim
     24     6   141        0   756.215528         Stim
     25     1   343        0   605.014984         Stim
     26     1   282        1   837.991785         Stim
     27     6   263        1  1174.883000         Stim
     28     0   163        0  1516.638000         Stim
     29     1   141        1   992.835435         Stim
     30     1   141        1  1049.642723         Stim
     31     6   241        1   681.715825         Stim
     32     6   362        1   610.507264         Stim
     33     6   381        1   843.358190         Stim
     34     1   281        1   668.157033         Stim
     35     6   365        1   836.929853         Stim
     36     1   181        1  1070.106483         Stim
     37     0   341        0  1516.638000         Stim
     38     6   283        1   631.670124         Stim
     39     1   261        1   752.641848         Stim
     40     6   361        1   833.435260         Stim
     41     1   285        1   698.189947         Stim
     42     6   162        1   715.412976         Stim
     43     6   342        1   820.280956         Stim
     44     6   381        1  1021.158030         Stim
     45     6   282        1  1013.950602         Stim
     46     1   261        1   958.804733         Stim
     47     1   166        1  1015.601757         Stim
     48     6   243        1   880.872921         Stim
     49     6   262        1   905.864227         Stim
     50     0   261        0  1516.638000         Stim
     51     1   163        1   931.544672         Stim
     52     6   244        1   747.884891         Stim
     53     6   261        1   828.961444         Stim
     54     1   362        1   877.736028         Stim
     55     1   282        1  1126.597727         Stim
     56     1   364        1   695.503726         Stim
     57     1   182        1   680.574505         Stim
     58     1   241        1   833.458805         Stim
     59     6   361        1   618.253808         Stim
     60     6   286        1   931.010084         Stim
     61     6   161        1   764.291096         Stim
     62     1   241        1   765.095544         Stim
     63     1   163        1   933.865647         Stim
     64     6   342        0  1006.816524         Stim
     65     6   182        1  1199.732133         Stim
     66     0   241        0  1516.638000         Stim
     67     6   362       -1    25.408774         Stim
     68     1   283        1   650.285315         Stim
     69     1   162        1  1075.276380         Stim
     70     6   144        1  1068.121474         Stim
     71     6   141        1   757.225540         Stim
     72     6   343        1   670.005602         Stim
