file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P15BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jun_26_1424
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1049.709450         Stim
      2     4     6        1   480.965187         Stim
      3     1     7        1  1649.202152         Stim
      4     4     8        1   880.964462         Stim
      5     4     6        1   741.085850         Stim
      6     4     8        1   905.740705         Stim
      7     1     5        1   699.752871         Stim
      8     1     7        1   590.053703         Stim
      9     1     5        1   717.681840         Stim
     10     1     7        1   843.848697         Stim
     11     4     8        1   663.179841         Stim
     12     4     6        1   494.867110         Stim
     13     1     5        1   541.043349         Stim
     14     4     8        1   587.393457         Stim
     15     4     6        1   574.020987         Stim
     16     1     7        1   565.181169         Stim
     17     4     6        1   792.292198         Stim
     18     1     7        1   715.207536         Stim
     19     4     6        1   406.302306         Stim
     20     1     8        0   405.854957         Stim
     21     4     6        1   858.044325         Stim
     22     4     8        1   990.850781         Stim
     23     4     8        1   706.840422         Stim
     24     1     5        1   582.635923         Stim
     25     1     7        1   892.170822         Stim
     26     1     5        1   503.773336         Stim
     27     1     7        1   811.381194         Stim
     28     1     5        1   544.974102         Stim
     29     1     5        1   909.361151         Stim
     30     4     6        1   592.310068         Stim
     31     1     7        1   542.196434         Stim
     32     4     8        1   733.599851         Stim
     33     4     6        1   690.586748         Stim
     34     4     8        1   593.947932         Stim
     35     1     5        1   466.888792         Stim
     36     1     7        1   608.326484         Stim
     37     1     5        1   475.759701         Stim
     38     1     7        1   748.551625         Stim
     39     1     8        0   493.487030         Stim
     40     4     6        1   665.051039         Stim
