file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P17C1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_20_1022
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   878.042368         Stim
      2     1   262        1   630.796165         Stim
      3     1   361        1  1031.667311         Stim
      4     6   385        1   704.459262         Stim
      5     1   182        0  1153.634300         Stim
      6     1   141        1   866.505276         Stim
      7     1   145        1   955.320748         Stim
      8     6   243        1   908.511627         Stim
      9     6   261        1   877.494204         Stim
     10     1   161        1   806.258301         Stim
     11     6   343        1  1119.055927         Stim
     12     0   281        0  1516.635000         Stim
     13     6   164        1   944.813878         Stim
     14     1   344        1  1273.863527         Stim
     15     1   383        1   963.001678         Stim
     16     6   181        1   915.973413         Stim
     17     1   341        1  1084.759786         Stim
     18     1   281        1  1205.524196         Stim
     19     1   361        1  1206.289090         Stim
     20     6   181        1   822.435162         Stim
     21     6   341        1   839.164111         Stim
     22     1   281        1   855.975164         Stim
     23     1   265        1   720.716114         Stim
     24     1   361        0  1313.887313         Stim
     25     1   382        1   898.685736         Stim
     26     1   183        1   939.576139         Stim
     27     0   244        0  1516.635000         Stim
     28     6   162        1  1037.647908         Stim
     29     6   143        1   974.517640         Stim
     30     1   142        1  1463.504262         Stim
     31     6   246        1   992.398457         Stim
     32     6   161        1   881.689044         Stim
     33     1   142        1  1050.486887         Stim
     34     1   144        1   803.375311         Stim
     35     6   241        1   924.453044         Stim
     36     6   163        1   741.239043         Stim
     37     6   342        1  1246.314687         Stim
     38     6   281        1   934.401789         Stim
     39     6   364        0  1207.194344         Stim
     40     1   186        1  1088.290551         Stim
     41     6   342        1  1105.599358         Stim
     42     6   282        1  1074.464514         Stim
     43     1   363        1  1107.336819         Stim
     44     1   382        1   916.317222         Stim
     45     6   284        1   805.203026         Stim
     46     6   361        1   974.316003         Stim
     47     6   281        1   855.099792         Stim
     48     6   364        1   911.860979         Stim
     49     1   381        1   944.957560         Stim
     50     6   181        1  1009.735034         Stim
     51     1   242        1  1146.487950         Stim
     52     6   363        1   691.424984         Stim
     53     1   182        1   732.403226         Stim
     54     6   346        1   837.245237         Stim
     55     1   283        1   893.874514         Stim
     56     6   261        1   782.900377         Stim
     57     1   161        1   775.661358         Stim
     58     6   144        1   560.439255         Stim
     59     6   245        1   937.512980         Stim
     60     1   263        1   954.705272         Stim
     61     6   362        1   819.724831         Stim
     62     1   182        1   908.609729         Stim
     63     6   242        0  1493.433810         Stim
     64     6   163        1  1286.330926         Stim
     65     1   242        1   799.354338         Stim
     66     0   161        0  1516.635000         Stim
     67     6   341        1   921.090109         Stim
     68     1   382        1   737.785552         Stim
     69     1   283        1   850.683393         Stim
     70     1   161        1   987.627985         Stim
     71     1   241        1   964.401971         Stim
     72     1   361        1   749.199186         Stim
