file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P17C2BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_20_1128
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1466.636000         Stim
      2     0    25        0  1466.636000         Stim
      3     6    25        1   651.594987         Stim
      4     6    27        1   607.054285         Stim
      5     1    16        1   618.459165         Stim
      6     6    27        1   549.909444         Stim
      7     6    28        1   597.338871         Stim
      8     1    18        1   664.777776         Stim
      9     1    18        1   572.189153         Stim
     10     1    16        1   627.659318         Stim
     11     6    27        1   603.086438         Stim
     12     6    28        1   622.495231         Stim
     13     6    28        1   629.925624         Stim
     14     6    26        1   657.335611         Stim
     15     1    15        1   720.790370         Stim
     16     1    15        1   768.198063         Stim
     17     6    25        1   563.667866         Stim
     18     6    27        1   679.063534         Stim
     19     1    18        1   518.524365         Stim
     20     1    16        1   601.929137         Stim
     21     1    15        1   693.377363         Stim
     22     6    27        1   660.799063         Stim
     23     6    28        1   572.168023         Stim
     24     6    28        1   615.654053         Stim
     25     1    16        1   551.078820         Stim
     26     1    15        1   614.552595         Stim
     27     1    15        1   533.970141         Stim
     28     6    27        1   845.392529         Stim
     29     6    26        1   628.804545         Stim
     30     6    25        1   564.244705         Stim
     31     1    15        1   639.689937         Stim
     32     6    27        1   619.119316         Stim
     33     6    28        1   638.563123         Stim
     34     6    26        1   602.000072         Stim
     35     1    17        1   789.409215         Stim
     36     1    16        1   668.834066         Stim
     37     1    17        1   536.303458         Stim
     38     6    26        1   515.723479         Stim
     39     6    27        1   639.147811         Stim
     40     6    28        1   630.589397         Stim
     41     6    26        1   593.989822         Stim
     42     6    27        1   553.433267         Stim
     43     1    18        1   716.885006         Stim
     44     6    28        1   496.301405         Stim
     45     6    28        1   723.724373         Stim
     46     1    18        1   751.157905         Stim
     47     6    26        1   946.604767         Stim
     48     1    17        1   674.038903         Stim
     49     6    26        1   673.446669         Stim
     50     1    17        1   756.880116         Stim
     51     6    26        1   632.314482         Stim
     52     1    27        0   683.770918         Stim
     53     6    28        1   695.209304         Stim
     54     1    16        1   862.641871         Stim
     55     1    17        1   945.999251         Stim
