file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P17C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_20_1134
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   321        1   859.994325         Stim
      2     1   182        0   540.751250         Stim
      3     6   344        1   589.641641         Stim
      4     1   381        1   750.076670         Stim
      5     6   182        1   630.828162         Stim
      6     1   244        1   847.710149         Stim
      7     1   361        1   968.809616         Stim
      8     1   384        1   929.600831         Stim
      9     1   185        1   890.661600         Stim
     10     1   141        1   835.913465         Stim
     11     6   144        1   828.669617         Stim
     12     1   143        1  1005.731267         Stim
     13     1   346        1   878.736326         Stim
     14     6   285        1   768.056495         Stim
     15     6   262        1   729.282377         Stim
     16     6   363        1   818.157012         Stim
     17     1   281        1   851.118060         Stim
     18     6   161        1   915.882857         Stim
     19     1   341        1   812.683224         Stim
     20     6   181        1   997.440897         Stim
     21     6   343        1   846.186098         Stim
     22     1   382        1  1094.499952         Stim
     23     0   184        0  1516.637000         Stim
     24     1   141        1   744.513535         Stim
     25     6   343        1   873.254993         Stim
     26     1   282        1   970.236773         Stim
     27     6   263        1   715.102268         Stim
     28     6   163        1   780.115187         Stim
     29     1   141        1   909.101748         Stim
     30     1   141        1   829.875214         Stim
     31     6   241        1   614.664280         Stim
     32     6   362        1   623.408635         Stim
     33     6   381        1   672.315025         Stim
     34     1   281        1   801.042296         Stim
     35     6   365        1   785.875130         Stim
     36     1   181        1   795.051436         Stim
     37     1   341        1   859.831325         Stim
     38     6   283        1   636.614064         Stim
     39     1   261        1   829.603547         Stim
     40     6   361        1   686.380430         Stim
     41     1   285        1   647.149610         Stim
     42     6   162        1  1095.674458         Stim
     43     6   342        1   744.550059         Stim
     44     6   381        1   737.426952         Stim
     45     6   282        1   562.232559         Stim
     46     1   261        1  1219.134409         Stim
     47     1   166        1  1275.866618         Stim
     48     6   243        1   781.179216         Stim
     49     6   262        1  1358.131294         Stim
     50     6   261        1   895.055360         Stim
     51     1   163        1  1463.797663         Stim
     52     6   244        1   728.812091         Stim
     53     6   261        1   921.895752         Stim
     54     1   362        1   762.690167         Stim
     55     1   282        1   811.544940         Stim
     56     1   364        1   836.413634         Stim
     57     1   182        1   709.535208         Stim
     58     1   241        1   670.426336         Stim
     59     6   361        1   703.179409         Stim
     60     6   286        1   735.967798         Stim
     61     6   161        1   688.602062         Stim
     62     1   241        1   689.365446         Stim
     63     1   163        1   706.156879         Stim
     64     6   342        0   571.180665         Stim
     65     6   182        1   660.002475         Stim
     66     6   241        0   540.932965         Stim
     67     1   362        0   557.691797         Stim
     68     1   283        1   710.535848         Stim
     69     1   162        1   799.498322         Stim
     70     6   144        1   848.398674         Stim
     71     6   141        1   625.547862         Stim
     72     6   343        1   802.236725         Stim
