file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P17E1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_22_1004
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1  1034.120463         Stim
      2     1    18        1   613.516940         Stim
      3     6    28        1   608.987045         Stim
      4     6    28        1   620.393736         Stim
      5     6    26        1   603.827184         Stim
      6     1    15        1   543.212250         Stim
      7     1    17        1   634.673758         Stim
      8     6    26        1   534.154271         Stim
      9     1    15        1   529.574570         Stim
     10     1    15        1   556.947128         Stim
     11     6    25        1   600.373693         Stim
     12     1    17        1   579.852575         Stim
     13     6    26        1   583.300633         Stim
     14     6    25        1   570.701927         Stim
     15     1    17        1   666.141846         Stim
     16     1    18        1   681.551399         Stim
     17     6    26        1   668.969597         Stim
     18     6    27        1   688.398916         Stim
     19     6    28        1   615.858709         Stim
     20     1    18        1   683.242677         Stim
     21     6    26        1   566.723214         Stim
     22     1    15        1   538.155925         Stim
     23     6    25        1   525.548767         Stim
     24     1    15        1   720.969972         Stim
     25     1    15        1   608.416242         Stim
     26     1    17        1   687.836263         Stim
     27     1    16        1   651.262044         Stim
     28     6    25        1   710.716356         Stim
     29     6    27        1   594.130485         Stim
     30     1    16        1   621.585448         Stim
     31     1    15        1   744.990763         Stim
     32     1    17        1   748.398976         Stim
     33     6    26        1   595.856475         Stim
     34     6    27        1   647.338871         Stim
     35     6    26        1   742.696687         Stim
     36     1    17        1   706.158992         Stim
     37     6    26        1   821.567639         Stim
     38     1    15        1   773.028905         Stim
     39     1    17        1   808.429825         Stim
     40     6    28        1   775.877182         Stim
     41     6    28        1   699.266197         Stim
     42     1    16        1   710.709715         Stim
     43     6    25        1   666.182898         Stim
     44     1    15        1   649.543901         Stim
     45     1    17        1   680.964901         Stim
     46     1    18        1   540.435814         Stim
     47     1    16        1   651.837978         Stim
     48     6    27        1   643.304013         Stim
     49     1    18        1  1318.704269         Stim
     50     1    18        1   602.071913         Stim
     51     6    28        1   669.606204         Stim
     52     6    26        1   617.032612         Stim
     53     1    15        1   600.494434         Stim
     54     6    25        1  1087.906293         Stim
     55     1    15        1   611.295006         Stim
     56     6    25        1   638.743933         Stim
     57     1    17        1   626.203183         Stim
     58     1    18        1   561.612253         Stim
     59     6    26        1   733.092657         Stim
     60     1    15        1   752.494808         Stim
     61     6    27        1   987.917462         Stim
     62     1    18        1   711.321871         Stim
     63     6    26        1   602.785794         Stim
     64     1    15        1   682.213059         Stim
     65     6    27        1   637.675074         Stim
     66     1    18        1   625.122854         Stim
     67     6    28        1   684.488119         Stim
     68     6    28        1   679.957016         Stim
     69     6    26        1   731.382362         Stim
     70     6    27        1   622.829079         Stim
     71     1    16        1   582.265280         Stim
     72     6    27        1   681.670027         Stim
     73     6    28        1   617.100831         Stim
     74     6    28        1   740.568629         Stim
     75     1    16        1   651.972302         Stim
     76     1    17        1   771.406148         Stim
     77     6    26        1   734.786047         Stim
     78     1    15        1   734.246335         Stim
     79     0    27        0  1466.637000         Stim
     80     1    18        1   653.129603         Stim
     81     1    16        1   612.536524         Stim
     82     6    25        1   548.021661         Stim
     83     6    25        1   655.401343         Stim
     84     1    17        1   678.828089         Stim
     85     6    28        1   534.276521         Stim
     86     1    16        1   633.702700         Stim
     87     1    15        1   721.150177         Stim
     88     1    17        1  1228.593248         Stim
     89     1    16        1   767.974994         Stim
     90     6    27        1   623.426143         Stim
     91     1    16        1   898.855377         Stim
     92     1    15        1   798.311137         Stim
     93     1    15        1   625.767912         Stim
     94     6    25        1   557.179856         Stim
     95     1    15        1   580.592717         Stim
     96     1    17        1   700.022337         Stim
     97     1    16        1   431.438507         Stim
     98     1    15        1   514.899725         Stim
     99     1    15        1   638.288740         Stim
    100     1    17        1   681.721342         Stim
    101     6    28        1   689.172563         Stim
    102     1    16        1   860.583239         Stim
    103     1    17        1   760.041112         Stim
    104     6    26        1   547.500966         Stim
    105     6    25        1   578.958187         Stim
    106     6    27        1   614.315339         Stim
    107     6    28        1   781.791070         Stim
    108     1    18        1   665.213953         Stim
    109     1    18        1  1064.597571         Stim
    110     6    26        1   652.045954         Stim
    111     1    17        1   843.477578         Stim
    112     6    28        1   590.904892         Stim
    113     6    26        1   734.338702         Stim
    114     1    15        1   665.760305         Stim
    115     6    27        1   689.173468         Stim
    116     1    18        1   756.644370         Stim
    117     6    28        1   756.068738         Stim
    118     6    28        1  1007.513704         Stim
    119     1    16        1   666.908249         Stim
    120     1    15        1  1342.354990         Stim
    121     6    27        1   713.802492         Stim
    122     6    28        1  1297.162891         Stim
    123     6    26        1   568.666840         Stim
    124     6    27        1   836.070428         Stim
    125     6    26        1   983.497742         Stim
    126     6    25        1   674.930272         Stim
    127     6    27        1   934.323610         Stim
    128     1    16        1   697.783499         Stim
    129     6    27        1   637.203581         Stim
    130     1    18        1   756.674253         Stim
    131     1    16        1   676.074292         Stim
    132     6    25        1   639.522711         Stim
    133     6    27        1   698.983060         Stim
    134     6    26        1   714.356994         Stim
    135     6    25        1   733.800198         Stim
    136     1    17        1   601.237896         Stim
    137     6    26        1   532.715945         Stim
    138     6    25        1   596.112748         Stim
    139     6    27        1   603.552196         Stim
    140     6    28        1   758.950822         Stim
    141     1    18        1   874.432518         Stim
    142     6    26        1   581.844800         Stim
    143     6    27        1   589.304774         Stim
    144     6    26        1   556.688138         Stim
    145     6    27        1   608.163290         Stim
    146     1    18        1   963.553162         Stim
    147     6    26        1   646.979969         Stim
    148     6    25        1   898.437915         Stim
    149     1    17        1   817.813202         Stim
    150     1    18        1   781.261018         Stim
    151     6    28        1   728.711272         Stim
    152     1    16        1   748.137874         Stim
    153     1    17        1   931.548079         Stim
    154     1    18        1   639.003827         Stim
    155     1    16        1   650.443119         Stim
    156     1    17        1   661.877581         Stim
