file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P17E1BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_22_1010
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   223        1   657.664630         Stim
      2     6   361        1  1018.705175         Stim
      3     1   181        1   723.417691         Stim
      4     6   243        1   620.226812         Stim
      5     1   364        1   725.214617         Stim
      6     6   285        1   718.264773         Stim
      7     6   362        1   974.839716         Stim
      8     1   384        1   943.681027         Stim
      9     1   281        1   896.846249         Stim
     10     1   361        1   457.627804         Stim
     11     1   383        0   458.381227         Stim
     12     1   281        1   691.349219         Stim
     13     6   261        1   540.156601         Stim
     14     6   263        1   612.890295         Stim
     15     1   163        1   653.894497         Stim
     16     1   143        1   814.877991         Stim
     17     6   343        1  1503.860086         Stim
     18     1   181        1   816.868405         Stim
     19     6   144        1   689.592741         Stim
     20     6   341        1   874.721994         Stim
     21     1   181        1  1267.451281         Stim
     22     1   342        1  1004.200877         Stim
     23     1   386        1  1037.116346         Stim
     24     6   181        1   862.449591         Stim
     25     1   142        1   646.551037         Stim
     26     1   242        1   727.424779         Stim
     27     1   364        1   784.296443         Stim
     28     6   284        1  1017.382157         Stim
     29     6   363        1   874.504661         Stim
     30     1   381        1  1067.486296         Stim
     31     6   184        1   676.201674         Stim
     32     6   142        1  1013.338545         Stim
     33     6   144        1   750.211900         Stim
     34     1   342        1   951.334790         Stim
     35     0   281        0  1516.636000         Stim
     36     6   362        1  1112.997151         Stim
     37     1   281        1   641.856029         Stim
     38     1   362        1   658.644140         Stim
     39     1   181        1   763.552558         Stim
     40     1   141        1   732.280674         Stim
     41     6   141        1   661.042658         Stim
     42     1   146        1   645.857985         Stim
     43     1   243        1  1239.135435         Stim
     44     6   162        1  1367.444640         Stim
     45     0   242        0  1516.636000         Stim
     46     1   261        1   833.237244         Stim
     47     6   162        1   730.016783         Stim
     48     1   341        1   746.883075         Stim
     49     6   383        1   531.622335         Stim
     50     6   385        1   764.673336         Stim
     51     1   281        1   893.811427         Stim
     52     6   163        1   686.575729         Stim
     53     6   341        1   871.600843         Stim
     54     6   182        1   712.373222         Stim
     55     1   241        1   777.240347         Stim
     56     1   162        1   914.014392         Stim
     57     1   242        1   922.897298         Stim
     58     6   362        1   723.805571         Stim
     59     6   286        1   684.656251         Stim
     60     6   161        1   997.999324         Stim
     61     1   145        1   902.741421         Stim
     62     6   341        1   695.305293         Stim
     63     6   282        1   744.054418         Stim
     64     1   261        1   776.975623         Stim
     65     1   361        1   825.696071         Stim
     66     1   285        1   778.476130         Stim
     67     6   262        1   563.742122         Stim
     68     1   264        1  1420.517495         Stim
     69     6   161        1   725.686412         Stim
     70     1   341        1   782.410471         Stim
     71     1   183        1   783.197399         Stim
     72     6   241        1   688.221427         Stim
      1     6   221        1  1400.889257         Stim
      2     1   262        1   689.662469         Stim
      3     1   361        1   658.595240         Stim
      4     6   385        1   675.328415         Stim
      5     6   182        1   772.595446         Stim
      6     1   141        1   901.381276         Stim
      7     1   145        1   662.203279         Stim
      8     6   243        1   911.375903         Stim
      9     6   261        1   728.436587         Stim
     10     1   161        1   865.170184         Stim
     11     6   343        1   593.965070         Stim
     12     6   281        1   722.903033         Stim
     13     6   164        1   907.671573         Stim
     14     1   344        1   756.792579         Stim
     15     1   383        1  1005.900304         Stim
     16     6   181        1   582.918186         Stim
     17     1   341        1   663.639190         Stim
     18     1   281        1  1160.379489         Stim
     19     1   361        1   713.231690         Stim
     20     6   181        1   857.959540         Stim
     21     6   341        1   634.032322         Stim
     22     1   281        1   706.846007         Stim
     23     1   265        1   635.630931         Stim
     24     6   361        1  1132.834271         Stim
     25     1   382        1   661.573616         Stim
     26     0   183        0  1516.637000         Stim
     27     1   244        1   655.488578         Stim
     28     6   162        1  1176.535522         Stim
     29     6   143        1   913.460192         Stim
     30     1   142        1   730.443904         Stim
     31     6   246        1   691.312997         Stim
     32     6   161        1   964.624134         Stim
     33     1   142        1   677.377388         Stim
     34     1   144        1  1214.264628         Stim
     35     6   241        1   855.363611         Stim
     36     6   163        1  1152.123228         Stim
     37     6   342        1   937.099442         Stim
     38     6   281        1   850.026261         Stim
     39     1   364        1   794.780976         Stim
     40     0   186        0  1516.637000         Stim
     41     6   342        1   732.526382         Stim
     42     6   282        1   645.438410         Stim
     43     1   363        1   782.259243         Stim
     44     1   382        1   719.239755         Stim
     45     6   284        1   696.169496         Stim
     46     6   361        1   665.271908         Stim
     47     6   281        1   714.026768         Stim
     48     6   364        1   642.788148         Stim
     49     1   381        1  1083.901017         Stim
     50     6   181        1   724.622081         Stim
     51     1   242        1   709.421108         Stim
     52     6   363        1   790.323223         Stim
     53     1   182        1  1367.309410         Stim
     54     6   346        1   664.200031         Stim
     55     1   283        1   753.503598         Stim
     56     6   261        1   594.480633         Stim
     57     1   161        1   675.249028         Stim
     58     6   144        1   531.363949         Stim
     59     6   245        1   628.451981         Stim
     60     1   263        1   717.656541         Stim
     61     6   362        1  1398.592765         Stim
     62     1   182        1  1119.484255         Stim
     63     1   242        1   688.385634         Stim
     64     6   163        1  1001.257516         Stim
     65     1   242        1   738.272440         Stim
     66     6   161        1   731.120958         Stim
     67     6   341        1   883.826157         Stim
     68     1   382        1   660.684963         Stim
     69     1   283        1   677.545217         Stim
     70     1   161        1   614.516372         Stim
     71     1   241        1   631.322595         Stim
     72     1   361        1   864.047294         Stim
