file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P17E2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Jul_22_1131
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   123        1   936.445630         Stim
      2     0   241        0  1516.632000         Stim
      3     1   161        1   738.211466         Stim
      4     1   143        1   562.965456         Stim
      5     6   243        1   659.946934         Stim
      6     1   261        1   988.962776         Stim
      7     6   164        1   653.758663         Stim
      8     6   142        1   622.817307         Stim
      9     1   141        1  1255.669085         Stim
     10     1   341        1  1344.472181         Stim
     11     1   185        1   801.262044         Stim
     12     6   342        1  1058.458199         Stim
     13     6   283        1   939.304472         Stim
     14     1   361        1  1147.628951         Stim
     15     6   184        1  1252.429910         Stim
     16     1   141        1   829.488542         Stim
     17     6   241        1   582.317802         Stim
     18     6   361        1   583.085412         Stim
     19     1   381        1  1063.829357         Stim
     20     6   182        1   976.594081         Stim
     21     6   245        1   753.458622         Stim
     22     1   362        1  1362.678093         Stim
     23     6   182        1  1115.586136         Stim
     24     6   142        1   964.418572         Stim
     25     0   241        0  1516.632000         Stim
     26     1   261       -1    30.158352         Stim
     27     1   163        1   686.871846         Stim
     28     1   141        1   727.882084         Stim
     29     1   241        1   856.602714         Stim
     30     6   362        1   753.398252         Stim
     31     1   384        1  1154.284188         Stim
     32     1   384        1  1251.348675         Stim
     33     6   282        1  1091.802601         Stim
     34     1   364        1   708.692135         Stim
     35     6   184        1   589.804339         Stim
     36     1   341        1   742.883231         Stim
     37     0   186        0  1516.632000         Stim
     38     6   243        1   640.952585         Stim
     39     6   262        1   873.919973         Stim
     40     1   261        1   682.838195         Stim
     41     1   262        1   795.606240         Stim
     42     6   266        1   612.501509         Stim
     43     1   366        1   813.760535         Stim
     44     1   283        1   727.112060         Stim
     45     1   264        1   560.129857         Stim
     46     6   161        1   569.202325         Stim
     47     6   343        1   729.924416         Stim
     48     1   285        1   642.971070         Stim
     49     6   262        1   691.500447         Stim
     50     6   161        1   636.394617         Stim
     51     1   141        1   693.133467         Stim
     52     6   244        1   501.933363         Stim
     53     6   363        1   630.998708         Stim
     54     1   281        1   567.979522         Stim
     55     1   162        1   688.734274         Stim
     56     1   241        1   657.632030         Stim
     57     1   362        1   602.436853         Stim
     58     6   382        1   683.307273         Stim
     59     6   181        1   820.170365         Stim
     60     6   341        1   820.946427         Stim
     61     6   381        1   685.738693         Stim
     62     6   282        0   574.514018         Stim
     63     6   363        1   591.411702         Stim
     64     1   182        1   696.351815         Stim
     65     1   342        1  1361.240371         Stim
     66     6   281        1   842.126186         Stim
     67     6   363        1  1210.847359         Stim
     68     6   181        1   723.234165         Stim
     69     0   345        0  1516.632000         Stim
     70     1   183        1   645.188778         Stim
     71     1   341        1   718.191121         Stim
     72     6   381        1   566.943868         Stim
