file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= PP18C22BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Feb_03_1628
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   815.562091         Stim
      2     6    25        1   606.117256         Stim
      3     6    25        1   516.505885         Stim
      4     6    27        1   808.491806         Stim
      5     1    16        1   532.430976         Stim
      6     6    27        1   621.658261         Stim
      7     6    28        1   499.657745         Stim
      8     1    18        1   564.822921         Stim
      9     6    18        0   517.508550         Stim
     10     1    16        1   539.617265         Stim
     11     6    27        1   593.964289         Stim
     12     6    28        1   549.969538         Stim
     13     6    28        1   484.322932         Stim
     14     6    26        1   528.342875         Stim
     15     1    15        1   454.730924         Stim
     16     1    15        1   557.099223         Stim
     17     6    25        1   518.234425         Stim
     18     0    27        0  1465.794000         Stim
     19     1    18        1   637.399239         Stim
     20     1    16        1   606.637870         Stim
     21     1    15        1   658.247468         Stim
     22     6    27        1   720.579431         Stim
     23     6    28        1   638.928740         Stim
     24     6    28        1   576.211138         Stim
     25     1    16        1   622.195981         Stim
     26     1    15        1   636.549897         Stim
     27     1    15        1   586.947807         Stim
     28     6    27        1   521.335723         Stim
     29     6    26        1   463.679031         Stim
     30     0    25        0  1465.794000         Stim
     31     1    15        1   671.265016         Stim
     32     6    27        1   560.056838         Stim
     33     6    28        1   496.868380         Stim
     34     6    26        1   532.418535         Stim
     35     1    17        1   685.572593         Stim
     36     1    16        1   571.549551         Stim
     37     6    17        0   484.728788         Stim
     38     6    26        1   648.373513         Stim
     39     6    27        1   521.621221         Stim
     40     6    28        1   615.511958         Stim
     41     6    26        1   483.493494         Stim
     42     6    27        1   545.900407         Stim
     43     1    18        1   683.129374         Stim
     44     6    28        1   651.854543         Stim
     45     1    28        0   591.395737         Stim
     46     1    18        1   872.562883         Stim
     47     6    26        1   577.380188         Stim
     48     1    17        1   703.402874         Stim
     49     6    26        1   549.754014         Stim
     50     1    17        1   665.782077         Stim
     51     6    26        1   642.935982         Stim
     52     6    27        1  1099.669127         Stim
     53     6    28        1   581.303771         Stim
     54     1    16        1   651.702152         Stim
     55     1    17        1   799.627670         Stim
     56     1    16        1   624.849748         Stim
     57     6    25        1   441.639980         Stim
     58     6    25        1   631.926253         Stim
     59     1    17        1   792.705732         Stim
     60     6    28        1   689.564907         Stim
     61     6    26        1   574.240327         Stim
     62     6    17        0   476.671076         Stim
     63     6    28        1  1211.062039         Stim
     64     6    18        0  1120.805343         Stim
     65     1    16        1   615.388491         Stim
     66     6    25        1   573.799639         Stim
     67     6    27        1   570.494948         Stim
     68     1    18        1   718.548287         Stim
     69     1    16        1   612.893335         Stim
     70     6    17        0   654.357474         Stim
     71     1    16        1   730.411711         Stim
     72     6    25        1   590.429769         Stim
     73     1    15        1   772.658018         Stim
     74     1    17        1   693.545092         Stim
     75     6    28        1   601.146845         Stim
     76     1    16        1   676.559799         Stim
     77     6    27        1   656.631821         Stim
     78     6    26        1   543.040757         Stim
     79     6    27        1   663.294696         Stim
     80     1    16        1   715.385101         Stim
     81     6    27        1   708.543401         Stim
     82     6    28        1   669.615159         Stim
     83     1    16        1   670.853874         Stim
     84     6    25        1   532.917692         Stim
     85     1    17        1   702.375328         Stim
     86     6    28        1   562.419198         Stim
     87     1    18        1   592.757297         Stim
     88     6    26        1   619.144132         Stim
     89     6    25        1   583.923949         Stim
     90     1    15        1   606.295770         Stim
     91     0    25        0  1465.794000         Stim
     92     1    17        1   723.803262         Stim
     93     1    18        1   621.018845         Stim
     94     6    18        0   701.751150         Stim
     95     1    16        1   641.728367         Stim
     96     6    25        1   613.744232         Stim
     97     1    15        1   580.467490         Stim
     98     1    17        1   845.615001         Stim
     99     1    16        1   659.667497         Stim
    100     1    17        1   641.938915         Stim
    101     6    26        1   662.032033         Stim
    102     1    15        1   615.263781         Stim
    103     1    15        1   644.680383         Stim
    104     6    25        1   616.762491         Stim
    105     1    15        1   743.092135         Stim
    106     6    25        1   565.379923         Stim
    107     1    15        1   561.442345         Stim
    108     1    17        1   626.629914         Stim
    109     1    18        1   733.688102         Stim
