file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P18E1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_11_0922
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1   932.837889         Stim
      2     6   242        1   555.869839         Stim
      3     1   262        1   618.880715         Stim
      4     1   163        1   545.816437         Stim
      5     6   141        1   688.742622         Stim
      6     1   146        1   912.720822         Stim
      7     6   344        0   892.537823         Stim
      8     1   281        1   699.568860         Stim
      9     6   161        1   778.577291         Stim
     10     6   245        1   756.570274         Stim
     11     1   161        1   569.486684         Stim
     12     6   243        1  1072.391895         Stim
     13     0   261        0  1513.447000         Stim
     14     0   165        0  1513.447000         Stim
     15     1   143        1   653.259332         Stim
     16     0   341        0  1513.447000         Stim
     17     0   281        0  1513.447000         Stim
     18     0   261        0  1513.447000         Stim
     19     0   361        0  1513.447000         Stim
     20     0   383        0  1513.447000         Stim
     21     0   386        0  1513.447000         Stim
     22     1   281        1   588.933545         Stim
     23     1   362        0  1043.976403         Stim
     24     6   182        1   874.905028         Stim
     25     0   242        0  1513.447000         Stim
     26     0   362        0  1513.447000         Stim
     27     0   184        0  1513.447000         Stim
     28     1   342        1   838.859449         Stim
     29     6   282        1   685.781275         Stim
     30     1   163        1   773.701114         Stim
     31     6   241        1   841.622689         Stim
     32     1   162        1   739.682325         Stim
     33     0   343        0  1513.447000         Stim
     34     0   181        0  1513.447000         Stim
     35     0   245        0  1513.447000         Stim
     36     0   363        0  1513.447000         Stim
     37     0   181        0  1513.447000         Stim
     38     0   143        0  1513.447000         Stim
     39     6   241        1   794.369274         Stim
     40     6   361        0  1017.366889         Stim
     41     6   286        1   776.339020         Stim
     42     0   161        0  1513.447000         Stim
     43     0   141        0  1513.447000         Stim
     44     0   342        0  1513.447000         Stim
     45     0   182        0  1513.447000         Stim
     46     0   345        0  1513.447000         Stim
     47     0   283        0  1513.447000         Stim
     48     1   263        1   607.946249         Stim
     49     6   264        1   798.920144         Stim
     50     0   262        0  1513.447000         Stim
     51     0   162        0  1513.447000         Stim
     52     1   241        1   801.667833         Stim
     53     1   364        1   754.814365         Stim
     54     0   383        0  1513.447000         Stim
     55     0   181        0  1513.447000         Stim
     56     1   341        0   781.632249         Stim
     57     6   283        1  1116.589419         Stim
     58     0   361        0  1513.447000         Stim
     59     0   382        0  1513.447000         Stim
     60     6   184        1   586.540707         Stim
     61     0   341        0  1513.447000         Stim
     62     0   384        0  1513.447000         Stim
     63     0   381        0  1513.447000         Stim
     64     0   184        0  1513.447000         Stim
     65     0   341        0  1513.447000         Stim
     66     0   181        0  1513.447000         Stim
     67     1   341        1   889.262988         Stim
     68     1   281        1   571.240105         Stim
     69     6   162        1   690.290471         Stim
     70     0   244        0  1513.447000         Stim
     71     1   261        1   568.158401         Stim
     72     1   362        1   719.172465         Stim
