file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P18E2BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_11_1101
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   123        1   599.167949         Stim
      2     1   241        1   678.162074         Stim
      3     1   161        1   693.133949         Stim
      4     1   143        1   540.199768         Stim
      5     6   243        1   667.112849         Stim
      6     1   261        1   608.015602         Stim
      7     6   164        1   526.948659         Stim
      8     6   142        1   662.018972         Stim
      9     1   141        1   524.932132         Stim
     10     1   341        1   652.909456         Stim
     11     1   185        1   491.866249         Stim
     12     6   342        1   760.307567         Stim
     13     6   283        1   638.804651         Stim
     14     1   361        1   789.760558         Stim
     15     6   184        1   525.703102         Stim
     16     1   141        1   865.594606         Stim
     17     6   241        1   584.593222         Stim
     18     6   361        1   831.596655         Stim
     19     1   381        1   593.611614         Stim
     20     6   182        1   592.501032         Stim
     21     6   245        1   623.550077         Stim
     22     1   362        1   756.434678         Stim
     23     6   182        1   659.399104         Stim
     24     6   142        1   946.344018         Stim
     25     1   241        1   935.325582         Stim
     26     6   261        1  1072.371991         Stim
     27     1   163        1   895.320034         Stim
     28     1   141        1   980.268263         Stim
     29     6   241        0  1099.260783         Stim
     30     6   362        1   810.246160         Stim
     31     1   384        1   793.194625         Stim
     32     1   384        1   889.133301         Stim
     33     6   282        1   589.003209         Stim
     34     1   364        1   787.999984         Stim
     35     6   184        1   666.868713         Stim
     36     1   341        1   543.953855         Stim
     37     1   186        1   838.885573         Stim
     38     6   243        1  1170.764461         Stim
     39     0   262        0  1513.449000         Stim
     40     0   261        0  1513.449000         Stim
     41     0   262        0  1513.449000         Stim
     42     6   266        1   575.591313         Stim
     43     1   366        1   715.493329         Stim
     44     1   283        1  1008.383951         Stim
     45     1   264        1   807.374692         Stim
     46     6   161        1   843.284675         Stim
     47     1   343        0  1051.270919         Stim
     48     1   285        1   666.244846         Stim
     49     6   262        1   718.140876         Stim
     50     6   161        1   613.137469         Stim
     51     1   141        1  1229.072388         Stim
     52     6   244        1   788.010869         Stim
     53     6   363        1   712.044645         Stim
     54     1   281        1   782.989144         Stim
     55     1   162        1   821.911788         Stim
     56     1   241        1   565.883744         Stim
     57     6   362        0   540.846338         Stim
     58     6   382        1   819.844568         Stim
     59     6   181        1   570.927239         Stim
     60     6   341        1   817.771439         Stim
     61     6   381        1   552.802441         Stim
     62     1   282        1   775.835511         Stim
     63     6   363        1   622.802432         Stim
     64     1   182        1   630.739475         Stim
     65     1   342        1  1077.695076         Stim
     66     6   281        1   652.691134         Stim
     67     6   363        1   619.749651         Stim
     68     6   181        1   698.615333         Stim
     69     6   345        1   665.598587         Stim
     70     1   183        1   614.466063         Stim
     71     1   341        1   789.483456         Stim
     72     6   381        1   660.422295         Stim
