file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P18E_11BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2016_Mar_11_0929
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1   582.877433         Stim
      2     6   242        1   493.833638         Stim
      3     1   262        1   510.181690         Stim
      4     1   163        1   713.756391         Stim
      5     6   141        1   544.658582         Stim
      6     1   146        1   607.661373         Stim
      7     1   344        1   777.584266         Stim
      8     1   281        1   558.482243         Stim
      9     6   161        1   637.553807         Stim
     10     6   245        1   572.529202         Stim
     11     1   161        1   752.431791         Stim
     12     6   243        1   543.373839         Stim
     13     6   261        1   796.364342         Stim
     14     1   165        1   787.339419         Stim
     15     1   143        1   879.260901         Stim
     16     6   341        1   844.146147         Stim
     17     1   281        1   795.172588         Stim
     18     1   261        1  1242.179815         Stim
     19     1   361        1   684.141370         Stim
     20     6   383        1   595.100685         Stim
     21     1   386        1   752.054236         Stim
     22     0   281        0  1513.482000         Stim
     23     0   362        0  1513.482000         Stim
     24     6   182        1   727.930239         Stim
     25     6   242        1   982.856098         Stim
     26     6   362        1   837.820397         Stim
     27     6   184        1   585.773469         Stim
     28     1   342        1   886.709052         Stim
     29     6   282        1   757.750521         Stim
     30     1   163        1   580.651291         Stim
     31     6   241        1   785.579467         Stim
     32     1   162        1   600.624365         Stim
     33     6   343        1   695.523366         Stim
     34     1   181        1   899.544353         Stim
     35     1   245        1   683.482671         Stim
     36     1   363        0   999.437400         Stim
     37     6   181        1   835.265217         Stim
     38     6   143        1   819.330795         Stim
     39     6   241        1   826.234073         Stim
     40     1   361        1  1185.199238         Stim
     41     6   286        1   848.262549         Stim
     42     0   161        0  1513.482000         Stim
     43     0   141        0  1513.482000         Stim
     44     1   342        0   736.144384         Stim
     45     6   182        1   847.062087         Stim
     46     6   345        1   766.043349         Stim
     47     6   283        1   759.899845         Stim
     48     0   263        0  1513.482000         Stim
     49     6   264        1   595.892181         Stim
     50     1   262        1   663.815621         Stim
     51     6   162        1   862.862778         Stim
     52     1   241        1   542.774541         Stim
     53     1   364        1  1109.753629         Stim
     54     0   383        0  1513.482000         Stim
     55     6   181        1   742.564056         Stim
     56     6   341        1   853.461544         Stim
     57     6   283        1   548.533648         Stim
     58     1   361        1   795.513134         Stim
     59     1   382        1   730.468936         Stim
     60     6   184        1   695.546380         Stim
     61     1   341        0   699.470895         Stim
     62     1   384        1   738.249546         Stim
     63     1   381        0  1049.315037         Stim
     64     6   184        1   736.332850         Stim
     65     1   341        1   933.258983         Stim
     66     1   181        1   660.235073         Stim
     67     1   341        1   675.267593         Stim
     68     1   281        1   666.235827         Stim
     69     6   162        1   753.236349         Stim
     70     0   244        0  1513.482000         Stim
     71     1   261        1   970.037280         Stim
     72     1   362        1   804.132201         Stim
