file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P192BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_03_1519
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   639.276250         Stim
      2     6    25        1   493.842016         Stim
      3     6    25        1   572.186704         Stim
      4     6    27        1   472.268466         Stim
      5     1    16        1   364.151297         Stim
      6     6    27        1   501.368251         Stim
      7     6    28        1   395.385485         Stim
      8     6    18        0   460.514166         Stim
      9     1    18        1   525.364812         Stim
     10     1    16        1   475.248171         Stim
     11     6    27        1   529.726919         Stim
     12     6    28        1   365.666496         Stim
     13     1    28        0   436.068519         Stim
     14     6    26        1   488.044015         Stim
     15     1    15        1   318.456164         Stim
     16     1    15        1   436.779779         Stim
     17     6    25        1   414.040907         Stim
     18     6    27        1   537.538965         Stim
     19     1    18        1   471.992919         Stim
     20     1    16        1   457.085686         Stim
     21     1    15        1   420.745788         Stim
     22     6    27        1   395.151301         Stim
     23     6    28        1   713.526915         Stim
     24     6    28        1   458.715023         Stim
     25     1    16        1   408.621085         Stim
     26     1    15        1   391.078426         Stim
     27     1    15        1   477.381330         Stim
     28     6    27        1   499.874200         Stim
     29     6    26        1   418.223255         Stim
     30     6    25        1   593.211647         Stim
     31     1    15        1   505.759281         Stim
     32     6    27        1   450.602861         Stim
     33     6    28        1   651.301121         Stim
     34     6    26        1   526.908313         Stim
     35     1    17        1   408.089272         Stim
     36     1    16        1   374.233343         Stim
     37     1    17        1   431.322947         Stim
     38     6    26        1   498.859713         Stim
     39     6    27        1   524.167146         Stim
     40     6    28        1   626.056200         Stim
     41     6    26        1   605.981056         Stim
     42     6    27        1   556.380055         Stim
     43     1    18        1   525.665551         Stim
     44     6    28        1   502.372475         Stim
     45     6    28        1   561.964397         Stim
     46     1    18        1   467.160267         Stim
     47     6    26        1   523.981478         Stim
     48     1    17        1   617.796934         Stim
     49     6    26        1   616.398983         Stim
     50     6    17        0   484.332835         Stim
     51     6    26        1   885.401249         Stim
     52     1    27        0   494.252538         Stim
     53     6    28        1   849.830769         Stim
     54     1    16        1   432.320640         Stim
     55     1    17        1   540.203003         Stim
     56     1    16        1   549.396206         Stim
     57     6    25        1   438.199812         Stim
     58     6    25        1   534.938681         Stim
     59     1    17        1   567.701130         Stim
     60     6    28        1   480.526799         Stim
     61     6    26        1   641.291539         Stim
     62     1    17        1  1319.298356         Stim
     63     6    28        1   422.788445         Stim
     64     1    18        1   688.065537         Stim
     65     1    16        1   790.134972         Stim
     66     6    25        1  1004.448565         Stim
     67     6    27        1   565.891102         Stim
     68     1    18        1   769.573110         Stim
     69     1    16        1   999.966412         Stim
     70     1    17        1   840.717493         Stim
     71     1    16        1   452.763077         Stim
     72     6    25        1   464.764001         Stim
     73     1    15        1   460.725958         Stim
     74     6    17        0   301.897824         Stim
     75     6    28        1   473.490080         Stim
     76     1    16        1   477.481473         Stim
     77     6    27        1   577.457246         Stim
     78     6    26        1   551.881419         Stim
     79     6    27        1   552.991694         Stim
     80     1    16        1   516.621939         Stim
     81     6    27        1   541.820522         Stim
     82     1    28        0   387.777456         Stim
     83     1    16        1   436.990638         Stim
     84     6    25        1   458.912820         Stim
     85     1    17        1   590.951288         Stim
     86     6    28        1   514.858250         Stim
     87     1    18        1   465.317895         Stim
     88     6    26        1   463.625736         Stim
     89     6    25        1   443.633318         Stim
     90     1    15        1   434.102678         Stim
     91     6    25        1   414.048993         Stim
     92     1    17        1   386.040513         Stim
     93     1    18        1   683.226976         Stim
     94     6    18        0   345.211930         Stim
     95     1    16        1   493.156257         Stim
     96     6    25        1   353.204668         Stim
     97     1    15        1   479.585709         Stim
     98     1    17        1   872.734782         Stim
     99     1    16        1   550.651097         Stim
    100     6    17        0   290.693686         Stim
    101     6    26        1   350.689288         Stim
    102     1    15        1   447.909588         Stim
    103     1    15        1   573.861447         Stim
    104     6    25        1   513.831634         Stim
    105     1    15        1   424.255439         Stim
    106     6    25        1   377.424840         Stim
    107     1    15        1   420.999565         Stim
    108     1    17        1   814.185336         Stim
    109     6    18        0   369.718534         Stim
    110     6    26        1   389.803320         Stim
    111     0    27        0  1465.793000         Stim
    112     1    16        1   506.460278         Stim
    113     1    15        1   422.488640         Stim
    114     6    25        1   460.867775         Stim
    115     6    27        1   491.255416         Stim
    116     6    26        1   684.411581         Stim
    117     6    25        1   498.405340         Stim
    118     6    27        1   475.622617         Stim
    119     1    18        1   476.472895         Stim
    120     1    18        1   573.124374         Stim
    121     1    16        1  1104.705794         Stim
    122     1    15        1  1316.787641         Stim
    123     1    17        1   536.724452         Stim
    124     6    26        1   463.056603         Stim
    125     1    15        1   544.289562         Stim
    126     6    27        1   593.062055         Stim
    127     1    18        1   489.816102         Stim
    128     6    28        1   581.483782         Stim
    129     0    18        0  1465.793000         Stim
    130     6    26        1   418.615117         Stim
    131     6    25        1   454.240023         Stim
    132     1    17        1   511.334604         Stim
    133     6    28        1   496.167374         Stim
    134     6    26        1  1022.107228         Stim
    135     6    27        1   535.385279         Stim
    136     1    18        1   618.902855         Stim
    137     6    28        1   681.318049         Stim
    138     1    16        1   429.354619         Stim
    139     6    25        1   419.675010         Stim
    140     6    25        1   431.655097         Stim
    141     1    17        1   462.033719         Stim
    142     1    16        1   364.463543         Stim
    143     6    27        1   501.618296         Stim
    144     1    16        1   510.422747         Stim
    145     1    17        1   535.169444         Stim
    146     1    16        1   402.751243         Stim
    147     6    27        1   630.772226         Stim
    148     6    26        1   437.203363         Stim
    149     1    17        1   499.580304         Stim
    150     1    18        1   759.492309         Stim
    151     1    18        1   720.681815         Stim
    152     6    26        1   628.238497         Stim
    153     1    15        1   512.270407         Stim
    154     1    17        1   564.233464         Stim
    155     1    16        1   493.429006         Stim
    156     1    17        1   531.447379         Stim
