file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19BFb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_31_0936
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0   225        0  1517.442000         Stim
      2     4   161        1   428.550687         Stim
      3     1   241        0   447.225677         Stim
      4     1   164        1   369.167612         Stim
      5     4   241        1   374.546920         Stim
      6     4   261        1   424.918802         Stim
      7     4   362        1   378.531368         Stim
      8     1   283        1   303.384668         Stim
      9     4   263        1   440.903685         Stim
     10     1   261        1   378.227101         Stim
     11     4   262        1   451.938495         Stim
     12     1   362        1   621.524474         Stim
     13     4   284        0   299.269216         Stim
     14     4   262        1   403.715800         Stim
     15     4   166        1   452.869105         Stim
     16     1   243        1   319.084905         Stim
     17     1   161        1   373.598802         Stim
     18     4   344        1   372.362114         Stim
     19     4   386        1   405.765074         Stim
     20     1   182        0   326.137077         Stim
     21     1   242        1   441.111057         Stim
     22     1   161        1   409.129821         Stim
     23     1   142        1   613.901500         Stim
     24     4   341        1   473.245635         Stim
     25     4   382        1   468.103885         Stim
     26     4   181        1   403.970563         Stim
     27     4   142        0   384.848531         Stim
     28     1   142        1   579.114245         Stim
     29     4   341        1   344.167009         Stim
     30     1   281        1   435.826532         Stim
     31     4   361        1   340.734044         Stim
     32     1   183        1   381.492538         Stim
     33     1   342        1   351.018751         Stim
     34     4   181        1   250.964418         Stim
     35     1   341        1   390.829128         Stim
     36     1   285        1   527.564838         Stim
     37     4   362        1   380.524800         Stim
     38     4   185        1   399.842735         Stim
     39     1   342        1   326.827111         Stim
     40     1   381        1   469.660839         Stim
     41     4   281        1   380.481937         Stim
     42     1   266        1   321.305933         Stim
     43     4   163        1   484.453708         Stim
     44     4   241        1   403.889667         Stim
     45     4   364        1   546.706793         Stim
     46     1   383        1   428.409420         Stim
     47     1   181        1   486.580860         Stim
     48     1   141        1   417.345331         Stim
     49     1   243        1   470.920770         Stim
     50     4   361        1   341.672804         Stim
     51     1   383        1   514.958888         Stim
     52     1   184        1   407.986103         Stim
     53     4   142        0   355.372667         Stim
     54     4   343        0   589.790756         Stim
     55     4   281        1   336.918029         Stim
     56     4   161        1   406.597885         Stim
     57     4   241        1   543.910736         Stim
     58     1   261        1   279.656371         Stim
     59     1   262        1   381.355497         Stim
     60     4   264        1   369.368344         Stim
     61     4   163        1   474.093236         Stim
     62     1   144        1   518.226437         Stim
     63     1   341        1   449.022603         Stim
     64     4   181        1   573.815532         Stim
     65     4   341        1   453.592041         Stim
     66     4   183        1   342.372799         Stim
     67     1   343        1   333.924863         Stim
     68     4   182        1   329.544082         Stim
     69     1   341        1   401.342638         Stim
     70     4   384        1   389.082309         Stim
     71     1   385        1   548.871375         Stim
     72     1   282        1   438.831470         Stim
