file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19BFa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_31_0931
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1   742.257190         Stim
      2     4    28        1   430.007124         Stim
      3     1    18        1   334.984062         Stim
      4     4    26        1   239.937758         Stim
      5     1    17        1   326.855787         Stim
      6     4    16        0   197.941972         Stim
      7     4    27        1   404.818768         Stim
      8     1    16        1   301.985584         Stim
      9     1    15        1   593.746831         Stim
     10     4    15        0   218.700043         Stim
     11     4    27        1   412.830830         Stim
     12     1    16        1   375.815906         Stim
     13     4    27        1   368.833764         Stim
     14     1    18        1   211.871544         Stim
     15     1    18        1   328.950943         Stim
     16     4    28        1   421.048151         Stim
     17     4    26        1   354.595699         Stim
     18     4    25        1   252.866388         Stim
     19     1    27        0   281.935355         Stim
     20     4    26        1   233.270749         Stim
     21     4    27        1   240.008391         Stim
     22     1    18        1   277.086402         Stim
     23     4    28        1   397.416145         Stim
     24     4    26        1   277.838014         Stim
     25     4    27        1   256.978822         Stim
     26     1    18        1   467.474524         Stim
     27     4    26        1   261.304062         Stim
     28     4    27        1   191.752191         Stim
     29     1    16        1   237.449289         Stim
     30     1    15        1   303.122661         Stim
     31     4    27        1   253.072855         Stim
     32     4    28        1   479.440849         Stim
     33     1    16        1   361.502982         Stim
     34     1    17        1   256.533288         Stim
     35     4    26        1   318.033554         Stim
     36     4    27        1   200.482963         Stim
     37     4    26        1   379.403721         Stim
     38     1    17        1   376.717539         Stim
     39     1    16        1   346.769578         Stim
     40     4    17        0   170.544662         Stim
     41     1    18        1   336.545543         Stim
     42     4    28        1   411.172454         Stim
     43     4    28        1   318.474862         Stim
     44     4    18        0   246.142631         Stim
     45     4    26        1   277.279889         Stim
     46     1    15        1   259.816232         Stim
     47     4    27        1   315.484714         Stim
     48     1    16        1   236.413634         Stim
     49     1    27        0   272.841757         Stim
     50     1    18        1   454.749644         Stim
     51     4    18        0   251.882954         Stim
     52     4    18        0   217.075475         Stim
     53     4    18        0   411.832001         Stim
     54     1    16        1   408.119823         Stim
     55     4    27        1   409.520115         Stim
     56     1    28        0   178.966337         Stim
     57     4    26        1   405.198498         Stim
     58     1    17        1   386.731786         Stim
     59     1    16        1   377.183297         Stim
     60     4    25        1   351.448589         Stim
     61     1    15        1   355.905436         Stim
     62     4    25        1   245.205380         Stim
     63     1    27        0   298.270387         Stim
     64     4    28        1   470.340610         Stim
     65     4    26        1   314.769023         Stim
     66     1    15        1   192.108075         Stim
     67     4    25        1   352.570875         Stim
     68     1    17        1   456.959202         Stim
     69     1    16        1   335.090616         Stim
     70     4    27        1   358.693644         Stim
     71     1    16        1   285.275350         Stim
