file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19BFp
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Aug_31_0928
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1     5        1  1109.077600         Stim
      2     4     6        1   637.664509         Stim
      3     1     7        1  3941.320543         Stim
      4     4     8        1  7157.092017         Stim
      5     4     6        1  1028.668409         Stim
      6     4     8        1  1411.954553         Stim
      7     1     5        1  1651.669846         Stim
      8     1     7        1  1157.430393         Stim
      9     1     5        1  1225.882616         Stim
     10     1     7        1  1022.052715         Stim
     11     4     8        1   661.964816         Stim
     12     4     6        1   631.568605         Stim
     13     1     5        1   651.356222         Stim
     14     4     8        1   705.481937         Stim
     15     4     6        1   588.261875         Stim
     16     1     7        1   590.917872         Stim
     17     4     6        1   684.474536         Stim
     18     1     7        1   574.400220         Stim
     19     4     6        1   528.710065         Stim
     20     4     8        1   451.993432         Stim
     21     4     6        1   539.380539         Stim
     22     4     8        1   610.754691         Stim
     23     4     8        1   531.116129         Stim
     24     1     5        1   448.511869         Stim
     25     1     7        1   597.482251         Stim
     26     1     5        1   591.859349         Stim
     27     1     7        1   605.443904         Stim
     28     1     5        1   435.426879         Stim
     29     1     5        1   444.050494         Stim
     30     4     6        1   365.967678         Stim
     31     1     7        1   518.067059         Stim
     32     4     8        1   603.924984         Stim
     33     4     6        1   702.997392         Stim
     34     4     8        1   638.840525         Stim
     35     1     5        1   562.941912         Stim
     36     1     7        1   720.113013         Stim
     37     1     5        1   547.305064         Stim
     38     1     7        1   531.079604         Stim
     39     4     8        1   567.510142         Stim
     40     4     6        1   699.674603         Stim
