file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_04_1352
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1    19        1   501.729324         Stim
      2     6    18        0   393.941194         Stim
      3     6    28        1   333.926309         Stim
      4     1    28        0   337.903396         Stim
      5     6    26        1   504.241904         Stim
      6     1    15        1   324.155266         Stim
      7     1    17        1   384.262207         Stim
      8     6    26        1   401.487022         Stim
      9     1    15        1   364.965499         Stim
     10     1    15        1   326.212229         Stim
     11     6    25        1   278.923835         Stim
     12     1    17        1   479.735922         Stim
     13     6    26        1   379.340608         Stim
     14     1    25        0   263.300988         Stim
     15     1    17        1   517.693028         Stim
     16     1    18        1   516.120605         Stim
     17     6    26        1   312.025276         Stim
     18     6    27        1   564.060858         Stim
     19     1    28        0   426.458574         Stim
     20     1    18        1   510.378896         Stim
     21     6    26        1   407.615306         Stim
     22     1    15        1   419.180517         Stim
     23     6    25        1   380.402056         Stim
     24     1    15        1   431.970452         Stim
     25     1    15        1   446.306376         Stim
     26     1    17        1   452.709274         Stim
     27     1    16        1   384.727465         Stim
     28     6    25        1   412.681520         Stim
     29     6    27        1   349.928268         Stim
     30     1    16        1   406.669551         Stim
     31     0    15        0  1465.793000         Stim
     32     6    17        0   402.976719         Stim
     33     6    26        1   441.422098         Stim
     34     6    27        1   426.644241         Stim
     35     6    26        1   504.621637         Stim
     36     1    17        1   412.514201         Stim
     37     6    26        1   560.567068         Stim
     38     1    15        1   406.910577         Stim
     39     6    17        0   288.103665         Stim
     40     6    28        1   462.129819         Stim
     41     6    28        1   546.117629         Stim
     42     1    16        1   358.090501         Stim
     43     6    25        1   410.080304         Stim
     44     1    15        1   384.455027         Stim
     45     1    17        1  1398.790329         Stim
     46     0    18        0  1465.793000         Stim
     47     1    16        1   397.994476         Stim
     48     6    27        1   388.435224         Stim
     49     1    18        1   357.512349         Stim
     50     6    18        0   339.564144         Stim
