file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19C1BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_04_1404
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     1   122        1   475.181928         Stim
      2     6   242        1   417.593477         Stim
      3     0   262        0  1515.793000         Stim
      4     1   163        1   574.052713         Stim
      5     6   141        1   399.166330         Stim
      6     1   146        1   458.379763         Stim
      7     1   344        1   429.363638         Stim
      8     1   281        1   386.184196         Stim
      9     6   161        1   516.969017         Stim
     10     6   245        1   415.727157         Stim
     11     1   161        1   551.609293         Stim
     12     6   243        1   450.475039         Stim
     13     6   261        1   675.935858         Stim
     14     6   165        0   550.794158         Stim
     15     1   143        1   534.713205         Stim
     16     6   341        1   584.177054         Stim
     17     1   281        1   643.021329         Stim
     18     1   261        1   557.623439         Stim
     19     1   361        1   584.929678         Stim
     20     6   383        1   603.764237         Stim
     21     1   386        1   621.348260         Stim
     22     1   281        1   584.385425         Stim
     23     6   362        1   539.280573         Stim
     24     6   182        1   752.567239         Stim
     25     6   242        1   735.499479         Stim
     26     6   362        1   925.521060         Stim
     27     6   184        1   651.809298         Stim
     28     1   342        1   552.632176         Stim
     29     6   282        1   630.543018         Stim
     30     1   163        1   588.915162         Stim
     31     6   241        1   534.056992         Stim
     32     1   162        1   672.811848         Stim
     33     6   343        1   663.161784         Stim
     34     1   181        1   496.055724         Stim
     35     1   245        1   523.453086         Stim
     36     6   363        1   451.436345         Stim
     37     6   181        1   668.569788         Stim
     38     6   143        1   671.769993         Stim
     39     6   241        1   496.926528         Stim
     40     1   361        1   530.135575         Stim
     41     6   286        1   622.851641         Stim
     42     1   161        1   833.969383         Stim
     43     1   141        1   444.785267         Stim
     44     6   342        1   503.438588         Stim
     45     1   182        0   381.931251         Stim
     46     6   345        1   563.939878         Stim
     47     6   283        1   507.815622         Stim
     48     6   263        0   533.325828         Stim
     49     6   264        1   438.896766         Stim
     50     6   262        0   675.608373         Stim
     51     6   162        1   425.557291         Stim
     52     1   241        1   559.638728         Stim
     53     1   364        1   594.723425         Stim
     54     6   383        1   431.462898         Stim
     55     6   181        1   504.590848         Stim
     56     6   341        1   579.438947         Stim
     57     6   283        1   550.597605         Stim
     58     1   361        1   391.742103         Stim
     59     1   382        1   433.571799         Stim
     60     1   184        0   360.891380         Stim
     61     6   341        1   469.617801         Stim
     62     1   384        1   600.416618         Stim
     63     6   381        1   405.124806         Stim
     64     6   184        1   535.944149         Stim
     65     1   341        1   476.660429         Stim
     66     1   181        1   543.425911         Stim
     67     1   341        1   769.714305         Stim
     68     1   281        1   717.413500         Stim
     69     6   162        1   384.165485         Stim
     70     1   244        1   438.189860         Stim
     71     6   261        0   690.885698         Stim
     72     6   362        0   493.119559         Stim
