file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_04_1519
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1   457.009491         Stim
      2     6   342        1   566.023277         Stim
      3     1   285        1   492.264305         Stim
      4     1   161        1   732.163367         Stim
      5     6   242        1   542.945414         Stim
      6     6   265        1   500.451730         Stim
      7     1   161        1   565.228668         Stim
      8     1   241        1   664.006464         Stim
      9     1   165        1   490.805708         Stim
     10     1   241        1   562.719509         Stim
     11     6   161        1   501.529039         Stim
     12     6   241        1   514.832748         Stim
     13     1   362        1   539.281195         Stim
     14     1   281        1   561.034503         Stim
     15     6   361        1   571.928262         Stim
     16     6   181        1   574.264816         Stim
     17     6   346        1   514.887484         Stim
     18     6   381        1   572.880548         Stim
     19     1   284        1   514.912675         Stim
     20     6   362        1   428.435299         Stim
     21     6   281        1   434.805542         Stim
     22     1   162        1   533.546639         Stim
     23     6   144        1   627.500180         Stim
     24     1   141        1   424.196971         Stim
     25     1   341        1   547.041925         Stim
     26     1   182        1   462.187665         Stim
     27     6   246        1   452.188968         Stim
     28     1   161        1   479.203799         Stim
     29     6   344        0   497.645252         Stim
     30     1   381        1   478.782081         Stim
     31     6   383        1   515.115448         Stim
     32     1   381        0   595.141100         Stim
     33     1   184        1   461.362267         Stim
     34     6   342        1   474.645140         Stim
     35     1   282        1   464.949358         Stim
     36     6   161        1   614.920793         Stim
     37     1   342        1   545.782369         Stim
     38     6   183        1   400.071033         Stim
     39     1   243        0   457.563695         Stim
     40     6   161        1   498.739356         Stim
     41     1   242        1   525.644714         Stim
     42     1   361        1   379.949860         Stim
     43     6   283        0   526.661689         Stim
     44     1   262        1   514.974565         Stim
     45     6   361        1   470.150235         Stim
     46     1   283        1   603.792849         Stim
     47     6   261        1   492.966858         Stim
     48     1   364        1   487.721507         Stim
     49     6   182        1   588.496554         Stim
     50     1   341        1   482.835363         Stim
     51     6   281        1   465.110768         Stim
     52     6   163        1   507.942200         Stim
     53     6   345        1   461.498486         Stim
     54     1   381        1   517.418103         Stim
     55     1   182        1   576.225369         Stim
     56     6   244        1   478.602633         Stim
     57     6   261        1   570.938966         Stim
     58     6   261        1   694.117625         Stim
     59     1   162        1   504.942280         Stim
     60     6   344        1   510.922216         Stim
     61     1   382        1   451.599309         Stim
     62     1   282        1   537.905013         Stim
     63     1   363        1   559.966835         Stim
     64     6   181        1   497.395518         Stim
     65     6   343        1   548.283754         Stim
     66     1   283        1   437.833141         Stim
     67     1   163        1   582.911278         Stim
     68     6   241        1   608.398159         Stim
     69     1   363        1   683.284822         Stim
     70     6   182        1   572.787559         Stim
     71     1   146        1   562.781709         Stim
     72     6   143        1   446.311974         Stim
      1     6   123        1   453.923734         Stim
      2     1   241        1   479.654440         Stim
      3     1   161        1   546.449467         Stim
      4     1   143        1   437.584340         Stim
      5     6   243        1   514.841456         Stim
      6     6   261        0   712.281043         Stim
      7     6   164        1   547.097905         Stim
      8     6   142        1   575.850923         Stim
      9     1   141        1   645.821587         Stim
     10     1   341        1   744.969785         Stim
     11     1   185        1   515.718169         Stim
     12     6   342        1   523.642486         Stim
     13     6   283        1   545.536678         Stim
     14     1   361        1   643.184294         Stim
     15     6   184        1   677.937463         Stim
     16     1   141        1   610.597561         Stim
     17     6   241        1   685.480182         Stim
     18     6   361        1   632.636991         Stim
     19     1   381        1   467.385433         Stim
     20     6   182        1   669.704944         Stim
     21     6   245        1   763.791904         Stim
     22     0   362        0  1515.666000         Stim
     23     6   182        1   578.093866         Stim
     24     6   142        1   647.968119         Stim
     25     1   241        1   470.390951         Stim
     26     6   261        1   501.902240         Stim
     27     1   163        1   585.913376         Stim
     28     1   141        1   795.129344         Stim
     29     1   241        1   534.292731         Stim
     30     6   362        1   545.056181         Stim
     31     1   384        1   679.055824         Stim
     32     1   384        1   563.682991         Stim
     33     6   282        1   514.891216         Stim
     34     1   364        1   646.482776         Stim
     35     6   184        1   515.209682         Stim
     36     1   341        1   503.835115         Stim
     37     1   186        1   498.692083         Stim
     38     6   243        1   438.108377         Stim
     39     6   262        1   719.342642         Stim
     40     1   261        1   477.741470         Stim
     41     6   262        0   579.633945         Stim
     42     6   266        1   546.016553         Stim
     43     1   366        1   933.151480         Stim
     44     1   283        1   584.261958         Stim
     45     1   264        1   713.803706         Stim
     46     6   161        1   638.369681         Stim
     47     6   343        1  1073.292159         Stim
     48     1   285        1   514.979852         Stim
     49     6   262        1   626.741647         Stim
     50     6   161        1   600.735083         Stim
     51     1   141        1   571.991395         Stim
     52     6   244        1   518.757276         Stim
     53     6   363        1   603.446083         Stim
     54     1   281        1   724.583639         Stim
     55     1   162        1   662.753750         Stim
     56     1   241        1   525.712201         Stim
     57     1   362        1   520.451611         Stim
     58     6   382        1   574.831772         Stim
     59     6   181        1   500.885266         Stim
     60     6   341        1   479.582910         Stim
     61     1   381        0   434.800566         Stim
     62     1   282        1   373.570287         Stim
     63     6   363        1   643.504004         Stim
     64     1   182        1   533.017936         Stim
     65     1   342        1   515.032722         Stim
     66     6   281        1   514.866025         Stim
     67     6   363        1   732.194467         Stim
     68     6   181        1   589.753000         Stim
     69     6   345        1   560.509843         Stim
     70     1   183        1   520.405583         Stim
     71     1   341        1   466.005830         Stim
     72     6   381        1   780.712249         Stim
