file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P19C2BOLa
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_04_1519
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   124        1   457.009491         Stim
      2     6   342        1   566.023277         Stim
      3     1   285        1   492.264305         Stim
      4     1   161        1   732.163367         Stim
      5     6   242        1   542.945414         Stim
      6     6   265        1   500.451730         Stim
      7     1   161        1   565.228668         Stim
      8     1   241        1   664.006464         Stim
      9     1   165        1   490.805708         Stim
     10     1   241        1   562.719509         Stim
     11     6   161        1   501.529039         Stim
     12     6   241        1   514.832748         Stim
     13     1   362        1   539.281195         Stim
     14     1   281        1   561.034503         Stim
     15     6   361        1   571.928262         Stim
     16     6   181        1   574.264816         Stim
     17     6   346        1   514.887484         Stim
     18     6   381        1   572.880548         Stim
     19     1   284        1   514.912675         Stim
     20     6   362        1   428.435299         Stim
     21     6   281        1   434.805542         Stim
     22     1   162        1   533.546639         Stim
     23     6   144        1   627.500180         Stim
     24     1   141        1   424.196971         Stim
     25     1   341        1   547.041925         Stim
     26     1   182        1   462.187665         Stim
     27     6   246        1   452.188968         Stim
     28     1   161        1   479.203799         Stim
     29     6   344        0   497.645252         Stim
     30     1   381        1   478.782081         Stim
     31     6   383        1   515.115448         Stim
     32     1   381        0   595.141100         Stim
     33     1   184        1   461.362267         Stim
     34     6   342        1   474.645140         Stim
     35     1   282        1   464.949358         Stim
     36     6   161        1   614.920793         Stim
     37     1   342        1   545.782369         Stim
     38     6   183        1   400.071033         Stim
     39     1   243        0   457.563695         Stim
     40     6   161        1   498.739356         Stim
     41     1   242        1   525.644714         Stim
     42     1   361        1   379.949860         Stim
     43     6   283        0   526.661689         Stim
     44     1   262        1   514.974565         Stim
     45     6   361        1   470.150235         Stim
     46     1   283        1   603.792849         Stim
     47     6   261        1   492.966858         Stim
     48     1   364        1   487.721507         Stim
     49     6   182        1   588.496554         Stim
     50     1   341        1   482.835363         Stim
     51     6   281        1   465.110768         Stim
     52     6   163        1   507.942200         Stim
     53     6   345        1   461.498486         Stim
     54     1   381        1   517.418103         Stim
     55     1   182        1   576.225369         Stim
     56     6   244        1   478.602633         Stim
     57     6   261        1   570.938966         Stim
     58     6   261        1   694.117625         Stim
     59     1   162        1   504.942280         Stim
     60     6   344        1   510.922216         Stim
     61     1   382        1   451.599309         Stim
     62     1   282        1   537.905013         Stim
     63     1   363        1   559.966835         Stim
     64     6   181        1   497.395518         Stim
     65     6   343        1   548.283754         Stim
     66     1   283        1   437.833141         Stim
     67     1   163        1   582.911278         Stim
     68     6   241        1   608.398159         Stim
     69     1   363        1   683.284822         Stim
     70     6   182        1   572.787559         Stim
     71     1   146        1   562.781709         Stim
     72     6   143        1   446.311974         Stim
