file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P191BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_03_1359
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     0    24        0  1465.792000         Stim
      2     1    27        0   348.921245         Stim
      3     1    16        1   299.259288         Stim
      4     6    27        1   572.497084         Stim
      5     1    28        0   341.237954         Stim
      6     1    18        1   419.269153         Stim
      7     1    18        1   503.193518         Stim
      8     1    16        1   461.598006         Stim
      9     1    27        0   430.785226         Stim
     10     1    16        1   410.420850         Stim
     11     6    27        1   416.712721         Stim
     12     6    18        0   396.691691         Stim
     13     6    26        1   552.754089         Stim
     14     1    15        1   417.947397         Stim
     15     6    27        1   421.508674         Stim
     16     1    16        1   403.853743         Stim
     17     6    27        1   525.052256         Stim
     18     1    16        1   403.028968         Stim
     19     6    17        0   473.472353         Stim
     20     1    18        1   469.466965         Stim
     21     1    16        1   790.569130         Stim
     22     6    25        1   410.534988         Stim
     23     1    15        1   334.194082         Stim
     24     6    27        1   370.206496         Stim
     25     1    18        1   550.048376         Stim
     26     1    28        0   386.199435         Stim
     27     1    28        0   318.128679         Stim
     28     6    26        1   535.299132         Stim
     29     1    17        1   389.263421         Stim
     30     6    26        1   361.279199         Stim
     31     6    25        1   314.484675         Stim
     32     1    17        1   371.239020         Stim
     33     6    26        1   321.283167         Stim
     34     1    17        1   423.641833         Stim
     35     6    28        1   392.774628         Stim
     36     1    16        1   406.749478         Stim
     37     6    25        1   378.880637         Stim
     38     1    17        1   297.164693         Stim
     39     6    26        1   306.363494         Stim
     40     6    25        1   368.350128         Stim
     41     6    25        1   436.322918         Stim
     42     1    15        1   258.714028         Stim
     43     1    27        0   393.039912         Stim
     44     1    28        0   343.437667         Stim
     45     1    16        1   325.847736         Stim
     46     6    25        1   390.992900         Stim
     47     1    15        1   367.876473         Stim
     48     6    25        1   325.864530         Stim
     49     6    27        1   476.159717         Stim
     50     6    26        1   445.386433         Stim
     51     1    17        1   483.457677         Stim
     52     1    16        1   364.510504         Stim
     53     1    17        1   464.156926         Stim
     54     0    26        0  1465.792000         Stim
     55     6    25        1   429.266917         Stim
     56     1    17        1   574.058000         Stim
     57     1    16        1   444.036687         Stim
     58     6    15        0   301.267113         Stim
     59     1    15        1   512.793512         Stim
     60     0    15        0  1465.792000         Stim
     61     1    17        1   563.139983         Stim
     62     6    26        1   377.550795         Stim
     63     6    27        1   378.759347         Stim
     64     0    16        0  1465.792000         Stim
     65     6    27        1   423.142054         Stim
     66     6    28        1   549.478933         Stim
     67     1    18        1   473.447784         Stim
     68     6    26        1   455.855986         Stim
     69     6    27        1   521.037849         Stim
     70     1    16        1   454.955948         Stim
     71     1    15        1   616.288577         Stim
     72     6    27        1   387.761595         Stim
     73     1    18        1   423.794224         Stim
     74     1    16        1   496.987484         Stim
     75     1    15        1   417.764528         Stim
     76     6    25        1   415.671799         Stim
     77     1    17        1   499.768459         Stim
     78     1    16        1   428.952183         Stim
     79     1    15        1   440.482562         Stim
     80     1    27        0   502.862924         Stim
     81     1    18        1   527.984067         Stim
     82     6    26        1   528.820972         Stim
     83     1    15        1   476.409140         Stim
     84     6    25        1   544.459680         Stim
     85     6    27        1   713.624881         Stim
     86     6    28        1   525.164217         Stim
     87     6    26        1   457.070136         Stim
     88     1    15        1   357.120798         Stim
     89     6    25        1   451.561678         Stim
     90     6    27        1   497.885657         Stim
     91     1    16        1   397.895267         Stim
     92     1    15        1   511.087358         Stim
     93     0    17        0  1465.792000         Stim
     94     1    18        1   844.562093         Stim
     95     1    18        1   563.040773         Stim
     96     1    18        1   532.196582         Stim
     97     6    26        1   303.827899         Stim
     98     1    17        1   486.165567         Stim
     99     6    28        1   436.640139         Stim
    100     6    28        1   488.593555         Stim
    101     6    28        1   494.974061         Stim
    102     6    26        1   496.135340         Stim
    103     6    27        1   502.105324         Stim
    104     6    28        1   650.089771         Stim
    105     1    18        1   432.484538         Stim
    106     6    28        1   489.601200         Stim
    107     6    28        1   517.252028         Stim
    108     6    28        1   742.456582         Stim
    109     6    26        1   585.993925         Stim
    110     1    15        1   501.984967         Stim
    111     6    25        1   500.391084         Stim
    112     1    17        1   610.763325         Stim
    113     0    18        0  1465.792000         Stim
    114     6    26        1   453.073767         Stim
    115     6    25        1   441.109852         Stim
    116     6    25        1   450.292481         Stim
    117     6    27        1   464.337929         Stim
    118     6    26        1   409.518013         Stim
    119     1    17        1   530.267128         Stim
    120     6    26        1   371.066104         Stim
    121     1    15        1   387.816020         Stim
    122     1    17        1   295.455118         Stim
    123     1    16        1   491.454457         Stim
    124     1    15        1   441.738386         Stim
    125     1    17        1   530.979944         Stim
    126     1    18        1   438.552798         Stim
    127     6    26        1   428.950628         Stim
    128     1    15        1   472.949560         Stim
    129     6    25        1   359.288478         Stim
    130     1    17        1   451.300437         Stim
    131     6    28        1   484.324127         Stim
    132     6    28        1   456.081151         Stim
    133     1    16        1   449.213617         Stim
    134     1    17        1  1007.262506         Stim
    135     6    26        1   342.717388         Stim
    136     1    17        1   474.311435         Stim
    137     1    16        1   440.754067         Stim
    138     1    15        1   436.766406         Stim
    139     6    25        1   885.973803         Stim
    140     1    17        1   465.574160         Stim
    141     1    18        1   551.922471         Stim
    142     6    18        0   371.859468         Stim
    143     6    28        1   405.137558         Stim
    144     1    16        1   427.101725         Stim
    145     6    25        1   428.286018         Stim
    146     6    25        1   490.223514         Stim
    147     1    17        1   496.602776         Stim
    148     1    16        1   471.024150         Stim
    149     1    15        1   562.961468         Stim
    150     6    17        0   372.180422         Stim
    151     6    28        1   476.991335         Stim
    152     6    28        1  1037.700219         Stim
    153     6    28        1   787.748035         Stim
    154     6    28        1   485.016105         Stim
    155     1    18        1   293.742744         Stim
    156     6    26        1   478.471391         Stim
