file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P191BOLb
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Sep_03_1412
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6   221        1   585.737349         Stim
      2     1   262        1   381.022815         Stim
      3     1   361        1   451.016182         Stim
      4     6   385        1   463.337749         Stim
      5     6   182        1   863.258568         Stim
      6     1   141        1   453.297999         Stim
      7     1   145        1   479.153417         Stim
      8     6   243        1   496.359572         Stim
      9     6   261        1   577.497676         Stim
     10     1   161        1   612.271682         Stim
     11     6   343        1   567.471922         Stim
     12     6   281        1   504.559437         Stim
     13     6   164        1   539.767601         Stim
     14     1   344        1   552.126177         Stim
     15     1   383        1   604.895972         Stim
     16     6   181        1   430.345470         Stim
     17     1   341        1   409.132060         Stim
     18     1   281        1   515.975989         Stim
     19     1   361        1   407.129522         Stim
     20     6   181        1   385.906471         Stim
     21     6   341        1   436.740282         Stim
     22     1   281        1   431.502084         Stim
     23     1   265        1   442.553832         Stim
     24     6   361        1   522.603120         Stim
     25     1   382        1   517.337243         Stim
     26     1   183        1   523.329308         Stim
     27     1   244        1   524.816206         Stim
     28     0   162        0  1515.670000         Stim
     29     6   143        1   615.602508         Stim
     30     1   142        1   465.120098         Stim
     31     6   246        1   511.042573         Stim
     32     6   161        1   634.575774         Stim
     33     1   142        1   413.368522         Stim
     34     1   144        1   563.304502         Stim
     35     6   241        1   584.081577         Stim
     36     6   163        1   602.824391         Stim
     37     6   342        1   620.370782         Stim
     38     6   281        1   610.276608         Stim
     39     1   364        1   541.572343         Stim
     40     1   186        1   514.879709         Stim
     41     6   342        1   515.037387         Stim
     42     6   282        1   627.295852         Stim
     43     1   363        1   401.706278         Stim
     44     1   382        1   578.856752         Stim
     45     6   284        1   514.980163         Stim
     46     6   361        1   733.944472         Stim
     47     6   281        1   624.721382         Stim
     48     6   364        1   691.446745         Stim
     49     1   381        1   408.270897         Stim
     50     6   181        1   459.027268         Stim
     51     1   242        1   453.557375         Stim
     52     6   363        1   580.199346         Stim
     53     1   182        1   477.727475         Stim
     54     6   346        1   691.688393         Stim
     55     1   283        1   638.815346         Stim
     56     6   261        1   480.339576         Stim
     57     1   161        1   539.152129         Stim
     58     6   144        1   533.847999         Stim
     59     6   245        1   634.659744         Stim
     60     1   263        1   450.579847         Stim
     61     6   362        1   532.090841         Stim
     62     1   182        1   449.506892         Stim
     63     1   242        1   488.391715         Stim
     64     6   163        1   366.419431         Stim
     65     1   242        1   423.963720         Stim
     66     6   161        1   445.885591         Stim
     67     6   341        1   793.023242         Stim
     68     1   382        1   419.855080         Stim
     69     1   283        1   457.828669         Stim
     70     1   161        1   467.354954         Stim
     71     1   241        1   518.204626         Stim
     72     1   361        1   457.343195         Stim
