file version= 2.0
gentask.....= PsychoPy
id..........=
operator....=
doctor......=
referral....=
institution.=
subject.....= P20_1C1BEH
age.........=
sex.........=
hand........=
medications.=
class.......=
state.......=
label.......=
date........= 2015_Oct_09_1510
time........=
education...=
occupation..=
  Trial  Resp  Type  Correct      Latency    Stim/Resp
  ----- ----- -----    -----        -----        -----
      1     6    24        1   628.026908         Stim
      2     6    27        1   488.191553         Stim
      3     1    16        1   462.572425         Stim
      4     6    27        1   415.765952         Stim
      5     6    28        1   416.486233         Stim
      6     6    18        0   494.525426         Stim
      7     1    18        1   522.436019         Stim
      8     1    16        1   464.844297         Stim
      9     6    27        1   490.041394         Stim
     10     1    16        1   461.625112         Stim
     11     6    27        1   547.994812         Stim
     12     1    18        1   527.996430         Stim
     13     6    26        1   475.911315         Stim
     14     1    15        1   445.173399         Stim
     15     1    27        0   608.778352         Stim
     16     1    16        1   423.220056         Stim
     17     6    27        1   376.303178         Stim
     18     1    16        1   398.316855         Stim
     19     1    17        1   532.687589         Stim
     20     1    18        1   392.712593         Stim
     21     1    16        1   473.797432         Stim
     22     6    25        1   421.462582         Stim
     23     1    15        1   385.458464         Stim
     24     6    27        1   437.373150         Stim
     25     1    18        1   609.368012         Stim
     26     6    28        1   581.355099         Stim
     27     6    28        1   529.366395         Stim
     28     6    26        1   578.495744         Stim
     29     1    17        1   584.536964         Stim
     30     6    26        1   500.464326         Stim
     31     6    25        1   477.839529         Stim
     32     1    17        1   598.429749         Stim
     33     6    26        1   460.498972         Stim
     34     1    17        1   514.851605         Stim
     35     6    28        1   612.045120         Stim
     36     1    16        1   514.045487         Stim
     37     6    25        1   477.965174         Stim
     38     1    17        1   596.444310         Stim
     39     6    26        1   613.618481         Stim
     40     6    25        1   515.671096         Stim
     41     6    25        1   575.592537         Stim
     42     1    15        1   789.937520         Stim
     43     6    27        1   580.334390         Stim
     44     6    28        1   498.733910         Stim
     45     1    16        1   473.092078         Stim
     46     6    25        1   730.217919         Stim
     47     1    15        1   387.030270         Stim
     48     6    25        1   705.032951         Stim
     49     6    27        1   647.406085         Stim
     50     6    26        1   528.616879         Stim
     51     1    17        1   702.552707         Stim
     52     1    16        1   495.771923         Stim
     53     6    17        0   475.362084         Stim
     54     1    26        0   551.360169         Stim
     55     6    25        1   800.498226         Stim
     56     1    17        1   497.294280         Stim
     57     1    16        1   407.256617         Stim
     58     1    15        1   432.509384         Stim
     59     1    15        1   436.007228         Stim
     60     1    15        1   434.373221         Stim
     61     1    17        1   686.385251         Stim
     62     0    26        0  1465.793000         Stim
     63     6    27        1   573.968794         Stim
     64     1    16        1   462.898666         Stim
     65     6    27        1   858.386333         Stim
     66     0    28        0  1465.793000         Stim
     67     1    18        1   668.787495         Stim
     68     6    26        1   403.128994         Stim
     69     1    27        0   388.332748         Stim
     70     1    16        1   370.317005         Stim
     71     1    15        1   475.596891         Stim
     72     6    27        1   511.068884         Stim
     73     1    18        1   411.055511         Stim
     74     1    16        1   388.245978         Stim
     75     1    15        1   461.090188         Stim
     76     6    25        1   554.947581         Stim
     77     1    17        1   414.964810         Stim
     78     1    16        1   440.148224         Stim
     79     1    15        1   467.787623         Stim
     80     6    27        1   578.163282         Stim
     81     1    18        1   499.280652         Stim
     82     0    26        0  1465.793000         Stim
     83     1    15        1   543.667837         Stim
     84     6    25        1   659.607328         Stim
     85     6    27        1   548.832031         Stim
     86     6    28        1   512.469949         Stim
     87     6    26        1   492.360850         Stim
     88     1    15        1   456.391875         Stim
     89     6    25        1   510.803288         Stim
     90     6    27        1   477.162477         Stim
     91     1    16        1   417.141204         Stim
     92     1    15        1   410.338650         Stim
     93     6    17        0   475.156201         Stim
     94     1    18        1   574.672903         Stim
     95     1    18        1   437.085162         Stim
     96     1    18        1   398.278913         Stim
     97     6    26        1   489.889625         Stim
     98     1    17        1   472.245530         Stim
     99     6    28        1   518.631217         Stim
    100     6    28        1   562.596061         Stim
    101     6    28        1   456.983402         Stim
    102     6    26        1   402.223356         Stim
    103     6    27        1   496.195820         Stim
    104     6    28        1   428.141046         Stim
    105     1    18        1   458.599681         Stim
    106     6    28        1   403.725497         Stim
    107     6    28        1   423.255510         Stim
    108     6    28        1   448.474067         Stim
    109     6    26        1   460.088760         Stim
    110     1    15        1   520.056540         Stim
    111     6    25        1   518.448036         Stim
    112     1    17        1   476.800781         Stim
    113     1    18        1   824.805235         Stim
    114     6    26        1   615.239114         Stim
    115     6    25        1   571.215179         Stim
    116     6    25        1   436.403445         Stim
    117     6    27        1   570.321981         Stim
    118     6    26        1   507.456903         Stim
    119     1    17        1   460.365863         Stim
    120     0    26        0  1465.793000         Stim
    121     1    15        1   565.869049         Stim
    122     1    17        1   529.420509         Stim
    123     1    16        1   437.553220         Stim
    124     1    15        1   387.858469         Stim
    125     1    17        1   516.973574         Stim
    126     1    18        1   424.613968         Stim
    127     6    26        1   518.993845         Stim
    128     1    15        1   410.918359         Stim
    129     6    25        1   545.397321         Stim
    130     1    17        1   517.311945         Stim
    131     6    28        1   494.488106         Stim
    132     6    28        1   530.197082         Stim
    133     1    16        1   443.308940         Stim
    134     1    17        1   609.270668         Stim
    135     6    26        1   445.276652         Stim
    136     1    17        1   521.220311         Stim
    137     1    16        1   655.660087         Stim
    138     1    15        1   835.578977         Stim
    139     6    25        1   492.827975         Stim
    140     1    17        1   520.401131         Stim
    141     1    18        1   462.758404         Stim
    142     1    18        1   458.832311         Stim
    143     1    28        0   388.001219         Stim
    144     1    16        1   473.923699         Stim
    145     6    25        1   411.118644         Stim
    146     1    25        0   353.068504         Stim
    147     1    17        1   503.517747         Stim
    148     1    16        1   517.775338         Stim
    149     1    15        1   417.869883         Stim
    150     1    17        1   546.998983         Stim
    151     6    28        1   547.783331         Stim
    152     6    28        1   516.550611         Stim
    153     6    28        1   586.649292         Stim
    154     6    28        1   547.774312         Stim
    155     1    18        1   548.481220         Stim
    156     6    26        1   485.364541         Stim
